POA_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
POA2600,7,10,12,3,9,3,3,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,22,27,12,26,13,3,118,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,22,27,17,26,13,3,123,7,3,10,6,13,3,3,44,0,0,0,0,0,0,0,0,21,24,37,24,40,19,5,169
POA2601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,4,15,4,0,0,3,3,4,0,12,0,0,0,0,0,0,0,0,3,0,3,3,3,10,4,27
POA2602,33,62,42,30,28,9,10,213,5,0,0,0,3,4,0,15,0,0,0,0,0,0,0,5,62,152,120,80,114,56,32,617,0,9,3,4,9,3,0,28,0,12,5,0,0,0,0,27,3,23,13,3,11,5,0,60,68,173,134,84,129,63,32,673,69,67,41,21,32,10,9,251,3,3,0,0,0,0,0,10,139,248,171,99,163,71,36,938
POA2603,5,19,16,13,9,3,0,70,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,23,51,42,34,46,15,5,213,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,11,23,50,43,33,50,22,5,222,12,10,3,6,10,8,5,52,0,0,0,0,0,0,0,0,32,62,49,39,53,26,14,272
POA2604,15,18,10,5,11,4,0,65,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,38,48,36,33,54,25,8,237,0,0,0,0,3,0,0,4,3,6,3,3,9,0,0,21,3,5,3,3,12,0,0,29,37,59,41,34,65,24,8,266,22,22,12,7,11,6,5,97,0,0,0,0,0,0,0,0,66,81,49,43,80,35,10,359
POA2605,13,18,20,11,14,3,0,84,0,0,3,0,3,4,0,8,0,0,0,0,0,0,0,0,16,62,57,23,47,22,9,244,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,3,0,4,4,0,0,0,0,8,16,67,63,24,45,26,7,254,13,18,6,3,10,7,0,57,0,0,0,0,0,0,0,0,34,87,66,33,58,32,13,313
POA2606,10,19,11,11,8,3,3,62,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,21,32,34,28,39,10,8,173,0,3,0,0,0,0,0,3,0,0,4,0,0,0,0,5,0,4,4,0,0,0,0,5,21,35,30,24,40,10,8,174,19,32,10,13,6,7,0,92,0,0,0,0,0,0,0,0,37,72,46,38,50,15,8,272
POA2607,11,22,15,10,9,5,3,88,3,0,0,0,3,0,0,6,0,0,0,0,3,0,0,7,31,65,48,40,67,30,16,290,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,4,3,0,11,28,64,47,39,73,32,12,301,24,29,10,8,15,7,5,100,0,0,0,0,0,0,0,5,54,94,59,47,83,42,21,407
POA2609,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,3,0,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,0,0,0,3,0,17,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,9,7,0,0,0,3,0,21
POA2611,43,81,49,46,42,8,7,271,8,0,3,3,0,0,3,23,0,0,0,0,0,0,0,5,85,194,132,97,133,45,27,721,3,8,0,3,3,3,0,24,0,7,3,4,3,0,0,17,3,20,4,6,3,0,0,39,89,209,140,109,143,49,31,762,67,55,30,14,16,15,5,204,0,3,0,0,0,0,0,3,151,266,164,120,160,65,38,966
POA2612,5,15,11,3,4,4,0,39,0,5,0,0,0,3,0,12,0,0,0,0,0,0,0,0,16,35,25,18,22,7,6,138,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,13,11,39,27,18,23,14,10,146,17,16,6,5,3,3,0,59,0,0,0,0,0,0,0,0,30,55,34,28,30,19,14,206
POA2614,21,49,30,18,17,7,0,145,3,5,0,0,0,0,0,11,0,5,3,0,0,0,0,14,52,104,83,61,85,39,20,444,4,3,3,0,5,0,0,22,3,11,0,3,0,0,0,23,3,11,3,7,8,4,0,42,62,117,90,63,93,39,20,486,60,57,29,18,31,7,4,214,0,3,0,0,0,0,0,6,118,180,120,86,126,44,23,705
POA2615,83,162,110,55,84,24,10,524,20,10,3,3,4,3,3,46,0,0,4,0,0,3,0,13,198,340,276,165,221,75,28,1303,6,0,7,0,11,3,7,31,16,20,9,12,12,3,0,64,23,22,16,10,21,7,7,97,219,360,286,181,249,77,30,1399,186,203,87,50,70,31,16,639,4,3,5,0,0,0,0,15,405,565,379,233,315,110,50,2052
