POA_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
POA2600,244,273,234,190,64,18,1195,7,69,63,98,101,54,12,6,409,100,355,319,323,314,283,100,52,1841,17,51,70,87,79,117,40,22,481,21,38,47,72,37,40,18,11,285,7,4,6,4,0,4,0,0,26,3,0,9,14,23,17,7,5,83,34,39,60,96,59,61,24,18,394,0,3,7,17,12,10,11,8,67,38,67,56,64,52,87,51,36,448,195,754,822,950,845,804,301,161,4832
POA2601,142,71,58,20,4,0,756,11,80,8,18,17,0,0,0,140,544,631,118,56,53,24,5,3,1434,73,48,25,30,16,10,3,0,206,58,31,15,12,4,4,0,3,130,30,4,0,0,0,0,0,0,34,12,4,3,6,5,4,0,0,33,94,38,19,18,13,11,0,3,191,25,8,3,0,0,6,0,3,47,204,172,59,46,34,21,8,6,556,997,1392,376,242,187,95,20,18,3323
POA2602,1157,909,591,296,91,34,4123,24,322,305,336,255,152,25,3,1429,746,2084,1428,1130,826,420,184,72,6896,99,361,328,338,253,144,112,50,1683,267,398,305,310,232,136,118,62,1825,46,29,31,21,10,6,3,9,153,13,30,55,60,52,50,33,21,317,328,452,390,385,296,198,154,86,2294,16,27,20,24,18,24,12,13,151,250,390,297,243,202,185,217,170,1958,1508,4644,3923,3364,2450,1416,803,430,18541
POA2603,284,352,224,153,51,23,1347,7,92,74,103,99,59,4,3,441,172,578,389,448,367,249,86,39,2317,16,70,81,117,106,86,35,16,529,46,76,65,98,74,40,23,10,439,11,4,8,11,8,0,5,0,49,11,3,10,21,17,16,6,11,95,59,83,85,126,105,63,37,21,584,3,5,9,10,8,8,3,3,53,71,146,91,109,115,87,75,119,800,344,1220,1015,1261,1019,702,294,214,6070
POA2604,372,341,212,92,25,7,1500,8,178,86,100,90,30,14,0,512,168,963,502,323,265,172,60,27,2472,30,147,132,127,134,50,29,14,667,60,174,113,114,95,40,16,16,626,10,16,4,8,3,9,0,0,48,4,8,14,26,27,14,9,9,111,75,202,133,145,123,57,25,21,787,3,11,3,14,17,3,8,6,67,68,225,107,134,113,83,125,149,1007,370,2152,1345,1176,958,489,289,225,7001
POA2605,380,382,262,172,60,26,1466,3,54,110,126,103,67,23,0,483,137,483,559,541,403,259,170,61,2611,26,80,124,146,127,114,89,32,742,59,75,96,129,81,62,70,35,605,14,6,6,4,8,3,4,4,47,4,11,8,23,32,24,33,11,149,76,89,109,159,121,85,100,50,796,3,5,7,16,13,17,21,9,80,46,86,115,114,98,115,117,109,803,297,977,1407,1475,1128,823,588,289,6980
POA2606,228,175,132,79,29,9,943,8,95,83,85,62,49,9,0,384,128,810,442,319,220,145,65,21,2159,37,178,167,119,82,63,56,9,718,78,175,118,98,72,66,65,12,687,14,13,11,11,9,3,0,0,60,9,13,13,26,24,22,15,3,125,100,199,143,136,95,96,79,16,872,5,18,8,4,7,4,9,0,67,92,198,114,81,73,82,70,20,737,387,1788,1189,915,673,520,322,87,5883
POA2607,305,320,240,167,62,19,1282,5,47,101,123,135,82,21,4,525,161,524,593,500,464,330,186,56,2810,47,155,191,264,196,153,107,33,1153,111,151,166,201,132,105,92,22,971,15,15,9,9,16,12,6,0,90,15,10,19,33,35,63,33,11,213,141,174,196,250,182,180,127,33,1278,8,12,10,6,11,25,17,3,94,75,82,77,77,73,109,83,61,640,446,1160,1472,1544,1306,1052,596,209,7787
POA2609,0,3,3,0,0,0,21,0,0,0,7,3,0,0,0,10,0,16,18,6,13,11,3,0,73,0,6,4,10,7,9,0,0,40,6,15,19,33,28,14,3,4,119,3,0,3,0,0,0,0,0,8,0,7,4,11,3,3,0,0,25,13,22,26,41,34,16,3,4,158,0,0,0,0,0,0,3,0,7,16,24,20,36,33,38,14,0,185,34,77,73,105,98,78,27,10,490
POA2611,710,483,381,240,92,11,2339,10,180,291,251,221,147,18,4,1122,217,1334,1392,880,615,558,213,67,5283,78,339,484,493,318,300,157,43,2209,244,506,425,416,297,267,147,42,2347,45,41,19,22,10,20,6,0,175,22,36,56,78,83,94,32,19,425,315,581,505,519,391,390,193,60,2954,5,22,37,19,30,36,22,10,192,172,286,257,207,182,231,237,186,1759,810,3170,3674,2851,2137,1901,933,382,15857
POA2612,511,352,284,189,55,16,2414,32,276,116,105,91,66,22,4,711,718,1774,521,377,322,221,83,44,4065,84,233,140,149,106,73,35,15,841,205,250,92,98,68,29,16,12,776,51,14,13,11,6,4,0,0,103,20,20,21,26,27,22,5,10,145,278,287,127,136,104,54,22,24,1031,18,21,8,10,6,11,9,5,95,337,461,223,192,126,104,66,42,1560,1520,4003,1651,1322,1034,718,295,158,10707
POA2614,546,498,329,278,106,21,2124,5,119,199,204,177,137,28,3,873,254,868,897,652,532,418,232,60,3912,78,217,248,243,193,191,113,46,1334,151,309,257,228,149,140,113,46,1388,41,26,28,12,9,12,5,5,140,23,24,40,42,40,65,38,9,283,211,364,325,285,196,217,151,60,1809,7,19,19,11,16,31,26,11,133,114,148,135,127,98,145,167,110,1042,685,2065,2363,2029,1537,1415,826,316,11229
POA2615,740,446,360,198,66,9,2345,7,220,304,220,229,163,23,3,1166,319,1677,1578,953,751,610,184,34,6111,160,760,871,664,545,387,99,29,3511,493,1287,1261,887,621,441,160,38,5192,110,93,93,57,47,33,5,3,437,52,90,128,129,137,154,42,11,736,648,1464,1484,1066,806,631,205,52,6367,14,33,45,40,44,47,25,5,258,297,349,335,269,304,316,175,78,2112,1459,5007,5352,3666,3042,2352,781,210,21877
