POA_CODE_2016,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
POA2600,0,11,26,23,42,43,21,9,175,4,28,32,37,24,12,0,0,137,5,42,39,41,32,55,18,9,246,0,20,19,27,20,17,10,6,125,0,11,14,9,12,7,3,3,47,3,14,33,39,43,30,18,7,180,0,3,3,13,6,15,3,0,53,13,75,80,110,72,51,10,7,426,20,91,92,102,100,126,39,20,597,7,28,9,9,8,8,0,0,75,0,5,8,11,4,0,0,0,30,0,0,0,0,0,0,0,0,5,0,6,8,5,6,7,5,5,40,16,41,34,31,25,37,11,3,198,80,363,391,463,398,412,145,77,2330,6,16,15,24,21,15,8,3,115,0,3,16,16,14,4,0,0,53,4,7,10,5,9,3,0,0,39,0,3,9,3,6,5,0,0,28,0,3,3,3,8,6,3,0,25,9,50,47,71,63,66,34,16,349,5,20,16,38,67,66,28,13,260,27,71
POA2601,55,96,14,5,12,10,0,0,198,33,59,21,11,7,3,0,0,131,43,88,20,12,3,8,0,0,173,0,8,8,4,7,0,0,0,29,0,8,5,4,0,0,0,0,18,4,24,12,4,10,0,0,0,53,8,8,3,4,4,0,0,0,20,83,130,40,24,20,7,3,0,302,83,174,57,25,25,13,0,0,383,6,25,6,0,0,0,0,0,46,9,4,4,0,0,0,0,0,23,17,0,0,0,0,0,0,0,16,10,6,4,3,0,0,0,0,19,93,110,38,21,20,10,3,3,304,434,744,229,113,108,52,10,8,1708,78,59,8,3,3,0,0,0,162,15,18,8,0,3,0,0,0,44,24,32,3,3,0,0,0,0,63,3,5,0,3,0,0,0,0,10,0,12,3,0,0,0,0,0,19,11,49,10,11,15,4,3,0,100,4,14,9,15,8,4,0,0,52,155,134
POA2602,66,204,157,157,135,75,30,14,842,48,198,169,138,72,19,3,0,648,74,241,208,202,132,106,76,36,1077,37,92,99,67,86,45,44,22,502,10,52,62,54,36,13,9,0,248,18,84,57,46,45,16,8,6,287,15,48,67,64,66,33,23,10,316,94,331,289,218,136,69,20,19,1174,109,543,408,379,289,200,62,28,2017,56,133,93,89,57,25,7,0,459,19,77,38,24,17,7,13,4,194,5,3,4,0,0,0,0,3,24,3,35,33,23,14,10,11,5,142,129,214,167,149,94,74,72,48,954,703,2251,1861,1617,1174,707,386,198,8878,72,205,160,147,79,38,19,13,731,7,45,44,34,20,6,3,0,170,15,51,40,21,11,11,15,9,161,12,38,30,23,11,3,0,0,118,28,45,60,42,23,13,4,0,209,53,186,171,161,136,67,60,30,860,29,143,129,163,191,129,89,21,892,136,368
POA2603,10,42,25,32,43,38,17,10,213,16,39,41,42,27,8,0,0,177,17,38,44,71,49,39,21,5,281,8,19,28,33,32,24,9,10,160,0,4,4,3,14,9,5,0,35,4,29,50,52,47,30,11,8,233,3,19,16,6,11,14,0,0,74,24,91,96,132,85,38,12,3,473,32,149,91,140,141,115,34,17,716,11,20,8,17,5,4,0,0,66,4,16,6,10,11,0,0,0,54,3,0,0,0,0,0,0,0,6,0,11,9,14,12,6,0,0,45,38,78,47,66,55,35,29,33,381,164,560,456,625,509,372,139,86,2921,15,33,30,34,29,13,0,10,157,0,15,15,19,9,3,0,0,64,0,11,7,12,8,3,7,0,51,4,6,4,8,6,9,0,0,34,3,4,4,8,3,0,0,0,24,16,69,63,83,74,26,25,11,365,0,38,31,55,59,65,17,5,271,32,102
POA2604,14,40,31,45,35,30,7,3,201,16,75,53,44,28,3,0,0,225,14,109,80,72,72,39,15,15,422,3,35,27,31,17,17,11,5,158,0,10,7,14,10,3,0,0,51,3,37,32,24,15,9,3,3,121,4,19,17,10,21,8,4,4,84,23,155,120,99,92,34,5,3,534,32,330,158,116,123,62,25,10,851,0,40,32,15,26,7,0,0,121,12,28,12,6,4,0,0,0,66,0,4,0,0,0,0,0,0,3,3,19,12,11,6,3,3,0,55,46,112,65,71,51,41,44,37,461,163,1012,647,555,505,255,127,85,3346,13,55,45,29,20,7,3,7,178,4,12,10,10,8,0,0,0,40,3,16,11,9,11,3,0,0,47,0,13,11,11,4,0,0,0,39,3,16,9,6,6,5,0,0,42,18,122,61,58,48,28,22,5,366,4,65,39,61,52,35,16,9,288,31,182
POA2605,3,15,38,51,51,52,27,12,257,19,38,72,53,41,9,3,0,243,11,50,76,82,54,55,53,34,413,5,32,31,41,31,22,22,10,190,3,6,10,17,13,8,5,7,69,8,58,69,45,27,12,7,9,235,0,15,15,20,17,15,10,4,104,9,81,120,129,90,43,30,14,516,25,67,127,161,139,126,62,18,721,19,18,24,19,16,5,4,0,101,0,12,9,5,8,3,4,0,47,0,0,0,0,3,0,0,0,6,0,4,12,15,14,7,3,3,59,28,56,60,62,47,52,51,25,380,134,453,657,705,550,425,288,133,3346,18,25,42,55,32,22,7,10,204,9,24,27,20,14,0,3,0,93,0,4,11,12,7,9,12,3,61,0,3,13,13,4,4,0,0,42,3,8,11,13,9,3,3,0,47,32,143,127,108,100,52,45,19,632,3,29,45,61,69,85,58,16,368,25,78
POA2606,11,46,30,28,31,27,9,10,180,15,86,62,47,27,8,3,0,251,17,101,97,64,43,58,51,7,432,10,32,26,26,16,24,25,3,154,0,9,11,7,4,3,3,0,38,5,129,57,34,22,12,7,0,264,4,16,16,15,15,12,9,4,96,23,122,104,74,65,29,7,14,440,17,113,96,81,72,57,22,8,463,8,34,17,20,4,0,3,0,91,10,41,16,10,5,3,3,0,88,0,0,0,0,0,0,0,0,6,0,6,8,9,9,4,3,3,37,44,97,59,43,41,27,29,6,351,164,832,609,448,360,252,178,47,2895,15,45,31,24,14,10,0,0,150,3,45,20,24,6,3,0,0,94,3,26,12,3,3,3,8,6,63,3,10,9,3,3,0,0,0,34,3,15,6,7,3,3,0,0,34,30,253,137,69,55,38,28,3,608,9,44,43,42,43,56,16,6,255,32,155
POA2607,9,30,31,46,40,45,24,15,238,14,64,93,81,56,20,3,0,327,22,75,93,106,118,75,82,28,600,18,35,49,54,39,21,31,7,267,5,3,11,19,23,3,10,3,79,3,58,50,40,40,30,9,4,239,4,11,25,26,28,30,7,3,134,25,104,123,170,112,81,31,9,651,29,78,112,107,145,118,62,18,672,17,36,32,21,16,10,4,3,137,13,24,14,18,6,9,4,0,85,0,0,0,0,3,0,0,0,4,0,4,5,14,7,15,11,3,71,42,45,36,38,28,36,24,13,268,201,564,676,741,659,502,308,107,3770,24,33,40,48,30,24,5,5,210,7,16,22,26,19,13,0,0,108,3,11,14,5,12,8,0,4,57,3,4,6,7,6,3,0,0,34,3,4,6,10,0,4,0,0,21,19,128,126,137,115,82,53,17,685,11,46,58,69,97,103,77,11,470,37,125
POA2609,0,0,0,0,0,0,0,0,8,0,0,3,0,0,3,0,0,3,3,6,15,12,18,4,3,0,58,4,9,3,14,4,3,0,0,33,0,0,3,3,3,0,0,0,9,0,0,4,0,0,3,0,0,8,0,0,0,0,0,0,0,0,4,0,5,0,6,3,4,0,0,15,3,8,0,6,6,4,4,0,28,0,0,0,0,0,0,0,0,3,3,0,0,0,5,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,17,25,11,18,9,0,114,25,38,40,66,55,47,11,3,297,0,0,3,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,5,0,3,3,4,5,3,0,0,10,0,0,0,3,4,3,0,0,13,3,6
POA2611,17,82,97,108,103,99,48,5,550,30,149,234,161,63,34,0,0,677,48,204,250,222,168,211,105,40,1246,42,117,127,89,67,76,57,4,581,13,31,40,47,39,22,14,3,205,8,83,97,49,48,26,12,7,333,3,43,59,52,46,48,25,7,283,29,227,312,268,170,124,48,17,1181,57,214,241,209,175,209,70,26,1208,29,69,82,51,28,12,3,3,278,26,48,46,27,17,15,6,3,191,0,0,0,0,0,0,0,0,7,0,16,40,27,16,17,15,5,143,78,144,133,111,76,90,97,44,776,374,1439,1754,1422,1016,978,506,163,7656,24,89,117,79,63,41,12,8,420,12,46,55,46,29,16,4,0,205,6,29,37,9,21,15,18,5,135,7,19,32,21,5,3,3,0,92,4,22,35,23,16,4,3,0,115,51,287,258,182,162,142,75,20,1166,33,173,164,158,176,157,72,19,949,67,354
