POA_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA2600,845,804,301,161,4832
POA2601,187,95,20,18,3323
POA2602,2450,1416,803,430,18541
POA2603,1019,702,294,214,6070
POA2604,958,489,289,225,7001
POA2605,1128,823,588,289,6980
POA2606,673,520,322,87,5883
POA2607,1306,1052,596,209,7787
POA2609,98,78,27,10,490
POA2611,2137,1901,933,382,15857
POA2612,1034,718,295,158,10707
POA2614,1537,1415,826,316,11229
POA2615,3042,2352,781,210,21877
POA2617,2445,1574,528,260,18855
POA2618,145,129,56,3,798
POA2900,147,120,50,15,1194
POA2902,1381,1094,322,55,7624
POA2903,984,556,153,25,4657
POA2904,1550,760,316,220,6983
POA2905,2439,945,342,114,13511
POA2906,1192,519,230,60,8040
POA2911,176,90,33,4,2591
POA2912,317,110,33,12,3363
POA2913,2034,981,357,62,18382
POA2914,932,376,128,16,12709
