POA_CODE_2016,M_NatPhySci_Occ_Mng,M_NatPhySci_Occ_Pro,M_NatPhySci_Occ_TTW,M_NatPhySci_Occ_CPS,M_NatPhySci_Occ_CA,M_NatPhySci_Occ_Sal,M_NatPhySci_Occ_MOD,M_NatPhySci_Occ_Lab,M_NatPhySci_Occ_IDNS,M_NatPhySci_Total,M_InfoTechn_Occ_Mng,M_InfoTechn_Occ_Pro,M_InfoTechn_Occ_TTW,M_InfoTechn_Occ_CPS,M_InfoTechn_Occ_CA,M_InfoTechn_Occ_Sal,M_InfoTechn_Occ_MOD,M_InfoTechn_Occ_Lab,M_InfoTechn_Occ_IDNS,M_InfoTechn_Total,M_EngRelTech_Occ_Mng,M_EngRelTech_Occ_Pro,M_EngRelTech_Occ_TTW,M_EngRelTech_Occ_CPS,M_EngRelTech_Occ_CA,M_EngRelTech_Occ_Sal,M_EngRelTech_Occ_MOD,M_EngRelTech_Occ_Lab,M_EngRelTech_Occ_IDNS,M_EngRelTech_Total,M_ArchitBuild_Occ_Mng,M_ArchitBuild_Occ_Pro,M_ArchitBuild_Occ_TTW,M_ArchitBuild_Occ_CPS,M_ArchitBuild_Occ_CA,M_ArchitBuild_Occ_Sal,M_ArchitBuild_Occ_MOD,M_ArchitBuild_Occ_Lab,M_ArchitBuild_Occ_IDNS,M_ArchitBuild_Total,M_AgriEnviRelStu_Occ_Mng,M_AgriEnviRelStu_Occ_Pro,M_AgriEnviRelStu_Occ_TTW,M_AgriEnviRelStu_Occ_CPS,M_AgriEnviRelStu_Occ_CA,M_AgriEnviRelStu_Occ_Sal,M_AgriEnviRelStu_Occ_MOD,M_AgriEnviRelStu_Occ_Lab,M_AgriEnviRelStu_Occ_IDNS,M_AgriEnviRelStu_Total,M_Health_Occ_Mng,M_Health_Occ_Pro,M_Health_Occ_TTW,M_Health_Occ_CPS,M_Health_Occ_CA,M_Health_Occ_Sal,M_Health_Occ_MOD,M_Health_Occ_Lab,M_Health_Occ_IDNS,M_Health_Total,M_Educat_Occ_Mng,M_Educat_Occ_Pro,M_Educat_Occ_TTW,M_Educat_Occ_CPS,M_Educat_Occ_CA,M_Educat_Occ_Sal,M_Educat_Occ_MOD,M_Educat_Occ_Lab,M_Educat_Occ_IDNS,M_Educat_Total,M_ManagCom_Occ_Mng,M_ManagCom_Occ_Pro,M_ManagCom_Occ_TTW,M_ManagCom_Occ_CPS,M_ManagCom_Occ_CA,M_ManagCom_Occ_Sal,M_ManagCom_Occ_MOD,M_ManagCom_Occ_Lab,M_ManagCom_Occ_IDNS,M_ManagCom_Total,M_SocietCultu_Occ_Mng,M_SocietCultu_Occ_Pro,M_SocietCultu_Occ_TTW,M_SocietCultu_Occ_CPS,M_SocietCultu_Occ_CA,M_SocietCultu_Occ_Sal,M_SocietCultu_Occ_MOD,M_SocietCultu_Occ_Lab,M_SocietCultu_Occ_IDNS,M_SocietCultu_Total,M_CreatArt_Occ_Mng,M_CreatArt_Occ_Pro,M_CreatArt_Occ_TTW,M_CreatArt_Occ_CPS,M_CreatArt_Occ_CA,M_CreatArt_Occ_Sal,M_CreatArt_Occ_MOD,M_CreatArt_Occ_Lab,M_CreatArt_Occ_IDNS,M_CreatArt_Total,M_FoodHospPersServ_Occ_Mng,M_FoodHospPersServ_Occ_Pro,M_FoodHospPersServ_Occ_TTW,M_FoodHospPersServ_Occ_CPS,M_FoodHospPersServ_Occ_CA,M_FoodHospPersServ_Occ_Sal,M_FoodHospPersServ_Occ_MOD,M_FoodHospPersServ_Occ_Lab,M_FoodHospPersServ_Occ_IDNS,M_FoodHospPersServ_Total,M_MixFieldProg_Occ_Mng,M_MixFieldProg_Occ_Pro,M_MixFieldProg_Occ_TTW,M_MixFieldProg_Occ_CPS,M_MixFieldProg_Occ_CA,M_MixFieldProg_Occ_Sal,M_MixFieldProg_Occ_MOD,M_MixFieldProg_Occ_Lab,M_MixFieldProg_Occ_IDNS,M_MixFieldProg_Total,M_FS_ID_Occ_Mng,M_FS_ID_Occ_Pro,M_FS_ID_Occ_TTW,M_FS_ID_Occ_CPS,M_FS_ID_Occ_CA,M_FS_ID_Occ_Sal,M_FS_ID_Occ_MOD,M_FS_ID_Occ_Lab,M_FS_ID_Occ_IDNS,M_FS_ID_Total,M_FS_NS_Occ_Mng,M_FS_NS_Occ_Pro,M_FS_NS_Occ_TTW,M_FS_NS_Occ_CPS,M_FS_NS_Occ_CA,M_FS_NS_Occ_Sal,M_FS_NS_Occ_MOD,M_FS_NS_Occ_Lab,M_FS_NS_Occ_IDNS,M_FS_NS_Total,M_Tot_Occ_Mng,M_Tot_Occ_Pro,M_Tot_Occ_TTW,M_Tot_Occ_CPS,M_Tot_Occ_CA,M_Tot_Occ_Sal,M_Tot_Occ_MOD,M_Tot_Occ_Lab,M_Tot_Occ_IDNS,M_Total_Total,F_NatPhySci_Occ_Mng,F_NatPhySci_Occ_Pro,F_NatPhySci_Occ_TTW,F_NatPhySci_Occ_CPS,F_NatPhySci_Occ_CA,F_NatPhySci_Occ_Sal,F_NatPhySci_Occ_MOD,F_NatPhySci_Occ_Lab,F_NatPhySci_Occ_IDNS,F_NatPhySci_Total,F_InfoTechn_Occ_Mng,F_InfoTechn_Occ_Pro,F_InfoTechn_Occ_TTW,F_InfoTechn_Occ_CPS,F_InfoTechn_Occ_CA,F_InfoTechn_Occ_Sal,F_InfoTechn_Occ_MOD,F_InfoTechn_Occ_Lab,F_InfoTechn_Occ_IDNS,F_InfoTechn_Total,F_EngRelTech_Occ_Mng,F_EngRelTech_Occ_Pro,F_EngRelTech_Occ_TTW,F_EngRelTech_Occ_CPS,F_EngRelTech_Occ_CA,F_EngRelTech_Occ_Sal,F_EngRelTech_Occ_MOD,F_EngRelTech_Occ_Lab,F_EngRelTech_Occ_IDNS,F_EngRelTech_Total,F_ArchitBuild_Occ_Mng,F_ArchitBuild_Occ_Pro,F_ArchitBuild_Occ_TTW,F_ArchitBuild_Occ_CPS,F_ArchitBuild_Occ_CA,F_ArchitBuild_Occ_Sal,F_ArchitBuild_Occ_MOD,F_ArchitBuild_Occ_Lab,F_ArchitBuild_Occ_IDNS,F_ArchitBuild_Total,F_AgriEnviRelStu_Occ_Mng,F_AgriEnviRelStu_Occ_Pro,F_AgriEnviRelStu_Occ_TTW,F_AgriEnviRelStu_Occ_CPS,F_AgriEnviRelStu_Occ_CA,F_AgriEnviRelStu_Occ_Sal,F_AgriEnviRelStu_Occ_MOD,F_AgriEnviRelStu_Occ_Lab,F_AgriEnviRelStu_Occ_IDNS,F_AgriEnviRelStu_Total
POA2600,26,60,3,3,6,0,0,0,3,98,28,62,9,3,6,0,3,0,6,113,44,70,20,4,11,4,3,0,5,160,36,17,20,0,4,3,0,3,0,95,11,17,7,0,4,0,0,0,3,39,5,134,0,0,3,0,0,0,0,142,8,19,0,3,0,0,0,0,0,36,121,134,7,10,37,13,4,0,10,340,109,227,4,26,30,8,0,0,16,412,13,33,0,3,3,0,0,0,0,53,7,0,9,0,4,3,0,0,0,31,0,0,0,0,0,0,0,0,0,0,12,10,0,3,0,0,0,0,0,25,4,3,0,3,0,0,0,0,6,21,429,779,80,56,101,32,16,11,47,1554,16,34,0,6,6,0,0,0,0,67,7,19,3,0,9,0,0,0,0,42,7,10,0,3,7,0,0,0,0,28,3,10,0,0,3,0,0,0,0,13,3,5,0,0,4,0,0,0,0,15
POA2601,9,44,5,10,0,0,0,5,0,75,18,65,3,3,5,0,0,0,0,100,17,51,6,3,3,4,4,3,0,94,11,5,3,0,0,0,0,3,0,23,3,0,0,0,3,0,0,3,0,8,3,37,0,3,0,0,0,0,0,43,0,7,0,4,0,0,0,0,0,14,47,70,4,10,15,9,0,10,7,174,43,135,4,17,35,11,0,11,7,249,3,10,3,4,3,3,0,0,0,31,3,4,3,3,0,0,0,0,0,15,0,0,0,4,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,12,0,4,0,0,3,0,0,0,3,12,157,444,35,58,71,29,10,30,23,853,6,28,0,3,12,7,0,0,0,58,7,9,4,0,0,3,0,0,0,25,8,17,0,3,4,3,0,3,0,31,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7
POA2602,105,346,33,24,42,5,0,15,22,589,82,323,46,6,35,13,10,24,5,556,141,264,164,22,48,15,17,39,18,721,63,72,137,4,21,6,5,23,8,341,43,57,43,10,22,10,3,15,4,199,25,151,10,21,15,4,0,0,3,229,28,132,4,15,13,7,0,20,0,225,276,313,34,65,133,33,6,51,27,939,341,756,38,122,180,27,9,38,45,1545,39,177,38,25,35,16,8,14,8,361,22,10,78,19,4,6,0,7,0,152,4,0,0,3,0,0,0,3,0,8,21,36,5,12,15,3,0,5,3,100,18,29,21,3,4,13,3,11,36,129,1210,2653,652,337,565,161,75,261,170,6093,104,256,31,29,77,9,3,7,10,524,15,63,11,6,18,7,0,0,6,126,20,38,9,3,12,6,0,4,0,96,23,47,7,3,8,9,0,3,0,107,34,67,8,9,28,3,0,9,0,161
POA2603,32,71,4,5,14,0,0,0,6,135,37,81,6,5,11,3,0,3,5,157,63,79,24,9,8,7,10,3,7,209,51,15,21,0,3,3,0,11,3,119,11,4,4,3,3,0,0,3,0,25,9,155,8,4,5,0,0,0,3,185,10,37,0,0,4,0,0,0,0,55,139,163,8,10,49,25,4,6,6,407,158,252,8,24,51,12,7,8,25,537,10,23,5,0,6,3,0,0,0,57,7,0,29,4,0,0,0,3,0,49,0,0,0,0,0,0,0,0,0,0,15,10,0,0,0,4,0,0,3,34,10,3,0,0,0,0,0,0,0,19,547,902,122,72,163,63,18,38,65,1987,23,57,3,0,24,0,0,0,4,112,17,16,5,0,4,3,0,0,0,46,13,11,7,0,4,0,0,0,3,37,7,12,3,0,0,0,0,0,0,28,3,8,3,0,3,3,0,0,3,20
POA2604,37,79,0,8,28,0,0,3,4,154,31,115,11,8,16,4,3,0,3,194,69,142,69,8,18,6,7,11,7,339,30,16,43,3,7,3,4,6,3,112,16,8,3,3,3,0,0,3,0,38,11,71,3,9,4,3,0,0,0,96,14,35,3,3,3,3,0,0,0,63,168,165,8,18,65,26,3,4,13,465,175,355,7,50,85,16,0,3,11,704,16,60,4,6,4,3,0,0,0,97,8,4,28,3,3,0,0,4,0,55,0,0,0,0,0,0,0,0,0,4,13,16,3,0,3,0,0,4,0,39,5,9,4,0,8,5,0,5,0,32,592,1069,183,117,247,76,24,37,38,2395,34,65,5,6,24,3,0,0,3,141,6,17,3,0,3,0,0,0,0,30,12,16,0,5,0,0,0,0,0,35,6,5,9,0,9,0,0,0,0,30,5,19,0,3,9,0,0,0,0,34
POA2605,25,85,4,4,17,0,0,0,3,143,36,121,9,3,17,4,0,3,7,207,43,91,50,14,12,5,7,10,7,246,39,17,52,3,10,0,3,5,0,142,9,12,7,0,6,0,3,0,0,45,13,164,0,13,6,5,3,0,3,202,11,44,0,3,3,3,0,0,0,71,138,142,11,13,47,23,11,15,10,404,145,216,9,35,54,9,3,8,13,490,11,36,8,3,10,6,0,3,0,81,10,0,22,3,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,16,10,3,3,0,0,0,0,0,39,9,11,3,3,0,3,0,0,6,30,509,960,177,101,186,58,36,55,52,2126,21,57,7,12,33,0,0,0,0,130,8,45,0,3,5,3,0,0,0,69,3,15,0,0,3,3,3,0,0,32,8,16,3,0,5,3,0,0,0,28,11,6,9,3,3,3,0,0,0,30
POA2606,20,62,11,0,14,3,0,11,3,122,28,120,22,4,15,4,3,9,4,215,46,99,68,14,12,10,12,30,3,296,20,12,48,3,3,0,4,4,3,98,3,6,7,0,3,0,0,7,0,35,11,186,5,31,0,0,0,4,0,238,10,35,0,9,8,0,3,0,0,61,112,86,8,23,63,20,4,19,12,354,71,115,7,47,59,6,4,16,7,333,13,30,9,4,12,8,0,4,0,74,8,3,42,4,3,0,8,3,0,69,0,0,0,0,0,0,0,0,0,0,5,11,0,0,3,0,0,0,3,27,0,4,7,6,0,0,0,3,8,25,346,777,235,143,197,58,44,115,43,1956,25,45,3,5,18,0,0,3,0,102,5,33,3,10,12,3,0,3,3,71,7,15,0,3,3,0,0,3,0,32,8,9,0,0,8,3,0,0,0,27,5,4,3,4,3,0,0,0,0,23
POA2607,23,85,8,5,14,3,3,4,4,145,47,154,16,4,25,8,9,9,7,278,78,107,109,17,26,7,15,24,5,395,61,11,87,5,8,6,6,6,3,192,11,12,11,3,4,0,4,3,3,57,13,140,4,26,6,0,0,3,0,193,16,55,0,10,6,0,0,0,0,90,174,152,22,22,74,30,9,10,16,508,121,179,8,45,55,6,4,10,5,442,21,45,12,4,7,9,0,5,0,109,9,3,42,0,3,0,3,3,0,65,0,0,0,0,0,0,0,0,0,4,8,11,0,11,3,0,0,3,4,39,6,3,3,5,4,3,3,6,5,35,586,965,326,161,232,82,56,89,55,2554,36,64,13,12,21,7,0,0,3,154,17,36,5,3,13,0,0,0,0,79,0,15,3,4,6,7,0,0,0,35,4,9,3,0,4,3,0,0,0,31,3,8,0,0,0,0,0,0,0,15
POA2609,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,9,6,12,3,0,0,3,8,0,42,3,0,7,0,0,0,3,3,3,20,0,0,3,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,11,4,5,0,11,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,12,28,25,34,16,3,0,17,16,3,143,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
POA2611,78,205,19,9,30,10,8,6,13,364,115,357,50,6,37,8,7,3,17,603,146,241,277,37,55,17,23,45,12,850,102,44,205,5,14,12,12,33,3,425,29,31,40,0,19,0,6,10,0,146,20,205,4,34,9,3,3,3,3,284,28,133,4,15,14,3,0,0,3,200,310,309,32,33,157,44,11,21,16,947,190,341,26,128,94,16,9,20,24,842,47,97,24,15,30,8,5,11,3,239,20,5,73,20,5,11,0,6,0,140,0,3,0,0,0,0,0,0,0,3,24,21,14,11,15,7,0,3,0,95,18,17,19,3,3,3,5,10,14,88,1122,1998,786,317,488,139,91,169,110,5212,54,161,14,19,53,7,0,0,7,306,47,79,5,4,18,8,0,6,5,168,13,33,3,3,12,10,4,6,3,81,10,35,3,0,11,3,0,3,3,72,15,23,10,0,20,9,0,0,0,87
