POA_CODE_2016,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
POA2600,17,148,0,12,21,4,0,0,5,201,21,81,0,9,14,3,0,0,5,135,102,90,0,16,107,12,0,0,8,339,107,256,4,35,78,9,0,3,12,501,20,51,0,4,13,3,0,0,3,96,4,3,7,3,3,0,0,3,0,25,0,0,0,0,0,0,0,0,0,0,15,5,0,4,9,3,0,0,0,28,3,9,0,0,3,0,0,0,0,19,329,715,16,87,273,36,5,11,41,1515,44,91,3,8,10,3,0,0,3,164,40,81,9,3,15,0,3,0,10,152,56,84,20,4,16,4,3,0,6,190,38,28,20,0,7,3,0,3,0,109,10,23,7,0,9,0,0,0,4,47,18,280,3,14,28,4,0,0,7,350,32,99,3,10,10,3,0,0,4,174,225,222,3,27,144,29,4,5,17,680,217,483,10,55,106,17,0,4,30,915,34,82,3,6,14,7,0,0,3,146
POA2601,7,49,0,8,3,3,0,0,0,69,7,27,0,3,3,0,0,0,0,37,31,62,0,18,39,18,0,3,0,173,33,148,4,22,33,18,0,8,4,265,7,23,3,0,7,7,0,0,0,52,0,0,6,3,3,3,0,0,0,16,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,112,364,20,63,111,65,0,17,6,752,16,70,8,13,8,7,0,7,3,133,23,80,8,3,3,7,0,0,0,123,21,67,6,5,5,3,4,8,0,128,8,7,3,0,0,0,0,3,0,32,4,4,0,0,3,0,0,3,0,16,5,88,0,7,0,3,0,0,0,112,7,35,0,5,3,0,0,0,0,55,81,130,7,28,50,26,0,13,7,339,81,279,9,31,68,25,0,13,9,520,13,37,4,9,14,10,0,0,0,80
POA2602,62,380,15,84,49,8,0,6,9,614,60,342,5,64,41,13,0,23,7,555,268,291,18,59,279,40,0,53,17,1024,431,1107,22,194,328,40,0,27,51,2211,79,249,20,41,91,30,0,6,8,529,14,4,49,37,27,18,0,9,3,165,0,3,0,0,0,0,0,0,0,6,33,68,7,20,34,3,0,3,0,166,8,19,3,3,19,4,0,5,17,83,1157,2940,204,556,1011,199,5,158,137,6363,205,601,64,50,121,13,3,16,30,1109,101,391,51,13,53,16,10,28,13,680,161,297,177,22,58,20,17,42,18,815,90,119,142,11,28,16,9,28,8,451,73,126,51,16,56,11,7,21,6,364,86,537,21,105,66,7,0,11,7,836,89,474,12,80,56,16,0,37,8,772,541,601,57,122,411,74,11,104,44,1965,770,1866,54,319,504,75,11,60,91,3756,122,428,64,63,127,47,11,20,17,890
POA2603,12,175,0,15,38,6,0,0,3,263,17,106,3,13,25,3,0,0,0,166,125,134,0,21,115,21,0,9,13,437,149,340,3,32,104,9,0,0,17,659,28,55,0,10,20,5,0,0,0,117,3,3,8,11,7,3,0,0,0,40,0,0,0,0,0,0,0,0,0,0,6,11,0,4,17,3,0,3,0,45,4,4,0,0,3,0,0,0,0,14,411,929,36,112,371,64,4,14,49,1993,55,123,8,4,38,0,0,0,6,253,52,101,11,5,14,3,0,3,4,205,74,91,31,11,12,7,10,3,11,242,61,31,25,0,8,8,0,11,3,145,16,11,4,3,8,3,0,3,3,49,26,332,8,26,44,6,4,4,6,447,23,141,3,13,30,8,3,0,3,222,263,294,13,32,165,49,4,10,23,842,305,596,11,57,156,24,5,7,35,1199,31,81,6,10,31,12,0,3,0,175
POA2604,13,214,6,15,24,0,0,0,0,280,23,131,0,16,20,4,0,3,3,193,142,167,7,18,128,22,3,3,14,507,163,482,5,58,119,13,0,5,32,880,44,84,9,16,21,15,0,0,8,187,5,4,17,9,7,6,0,7,0,59,0,0,0,0,0,0,0,0,0,0,14,14,0,5,13,0,0,0,0,54,7,10,0,0,9,0,0,0,7,31,483,1236,58,157,377,64,5,27,61,2463,72,142,5,11,47,7,0,4,5,294,39,134,18,9,23,4,3,0,3,228,83,160,69,12,18,6,7,11,7,370,38,26,50,3,16,3,4,6,3,144,24,30,8,6,8,3,0,3,0,74,28,279,8,23,29,3,0,0,0,378,36,167,3,19,17,9,0,3,3,261,307,332,17,42,189,48,3,11,24,974,337,835,14,112,201,30,0,10,45,1585,54,141,10,22,26,13,0,3,7,278
POA2605,25,363,4,31,34,3,0,0,3,463,29,127,0,20,12,4,0,0,0,197,97,138,4,20,124,22,0,6,9,412,128,297,9,52,90,5,0,4,12,597,30,48,3,8,25,0,0,3,3,120,3,3,10,7,6,3,3,3,0,37,0,0,0,0,0,0,0,0,0,3,16,20,0,3,15,3,0,0,0,54,4,9,3,0,4,0,0,0,4,23,376,1132,50,173,349,53,5,21,39,2202,47,146,7,13,44,4,0,0,3,271,48,165,12,6,21,8,0,3,9,272,53,102,54,17,20,7,9,9,7,279,43,35,55,7,17,4,3,10,0,172,21,16,17,3,13,3,3,0,0,75,34,530,4,46,40,7,3,0,3,664,39,168,0,22,20,5,0,3,3,260,235,279,8,32,170,40,8,20,14,821,268,511,11,89,141,14,3,10,31,1082,43,83,13,14,27,4,3,5,3,201
POA2606,24,375,5,50,27,7,0,3,3,503,20,81,3,21,11,0,0,3,0,144,84,94,11,29,137,31,0,20,3,413,68,181,6,68,83,5,3,8,16,438,21,25,4,9,19,3,0,0,4,89,10,3,15,8,8,8,0,3,3,63,0,0,0,0,0,0,0,0,0,0,10,7,3,0,11,3,0,3,0,40,3,0,4,4,5,0,0,4,8,26,276,889,66,213,344,69,4,63,46,1962,45,108,12,13,33,3,0,15,3,230,29,152,32,11,30,10,3,9,10,280,53,115,75,17,16,10,12,26,3,328,26,23,48,3,10,3,3,4,3,125,9,14,9,3,3,4,0,8,0,51,31,567,15,85,32,8,0,12,5,740,26,115,3,31,16,3,3,7,0,208,195,186,20,50,201,57,4,41,18,768,141,301,12,112,135,17,6,18,24,768,27,61,11,15,34,8,0,4,3,166
POA2607,33,347,8,53,40,3,0,3,4,492,19,152,0,32,33,0,0,6,0,248,141,144,3,36,205,39,0,5,18,591,106,226,10,94,102,11,0,3,10,569,20,58,0,3,29,3,0,3,3,124,7,0,34,16,23,7,0,3,3,98,0,0,0,0,0,0,0,0,0,0,10,13,0,9,10,7,0,0,9,53,4,6,0,5,11,3,0,0,4,39,404,1080,77,265,493,94,4,31,56,2520,59,148,14,14,37,14,3,5,10,301,59,190,24,6,40,4,9,10,7,350,78,122,111,21,32,14,15,26,5,429,62,26,90,5,11,11,6,11,3,221,13,25,12,3,7,0,4,4,3,74,52,488,8,71,42,4,0,6,4,683,34,206,3,41,35,5,0,11,0,335,311,303,26,59,276,69,7,17,30,1098,226,399,18,136,161,21,6,18,22,1007,42,101,16,13,31,11,0,8,3,233
POA2609,0,3,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,4,3,5,3,0,9,0,0,3,0,17,3,9,0,4,4,0,0,0,0,19,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,16,23,9,9,16,10,0,5,0,82,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,9,6,13,5,3,0,3,8,0,50,6,0,7,0,0,0,3,3,3,26,3,0,3,0,0,0,0,0,0,13,0,4,0,3,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,3,9,5,3,0,4,0,3,3,0,30,6,13,0,8,6,0,0,3,0,44,0,0,0,0,0,0,0,0,0,4
POA2611,51,574,17,72,75,10,0,10,7,823,50,434,4,74,61,6,0,7,0,629,286,322,17,75,466,46,0,13,27,1249,252,499,26,189,265,27,0,16,25,1297,56,136,11,9,58,19,0,10,4,306,21,16,46,26,49,16,0,7,5,178,0,0,0,0,0,0,0,0,0,0,32,26,7,4,22,5,0,0,3,97,3,17,3,10,15,5,0,4,13,64,893,2348,155,491,1119,159,10,76,105,5355,129,367,29,20,84,8,8,5,15,668,160,431,57,15,57,15,3,12,18,766,157,271,281,39,60,28,29,54,16,927,112,75,207,9,26,11,12,36,8,500,50,60,54,3,38,5,6,14,0,230,69,780,20,107,85,12,3,9,12,1108,78,562,12,90,75,9,0,7,3,832,599,628,48,107,620,93,15,35,46,2188,445,836,53,312,357,48,14,32,50,2142,100,231,39,26,84,26,7,19,7,537
