POA_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
POA2600,12,0,16,8,10,3,0,3,0,52,0,0,0,0,0,0,0,0,0,0,21,17,0,3,5,3,3,0,0,53,5,10,3,3,0,0,0,0,5,37,754,1496,91,145,380,75,19,19,86,3066
POA2601,3,4,11,7,3,4,0,0,0,37,0,0,0,4,0,0,0,0,0,6,3,9,0,0,3,0,0,0,0,18,3,4,0,0,5,0,0,0,3,15,270,801,61,115,178,89,10,51,29,1608
POA2602,32,19,132,54,31,22,0,14,3,317,3,3,0,5,0,0,0,3,0,16,58,102,13,29,43,5,0,10,4,266,24,46,23,8,25,17,3,20,55,216,2371,5596,856,892,1575,353,81,423,303,12455
POA2603,12,3,33,16,14,3,0,3,0,88,0,0,0,0,0,0,0,0,0,0,20,26,0,3,19,9,0,3,5,84,9,10,0,0,4,0,0,0,4,31,958,1829,160,186,534,127,23,55,107,3979
POA2604,13,9,38,19,13,12,0,8,0,109,0,0,0,0,0,0,0,0,0,3,29,29,3,5,17,0,0,4,0,92,12,17,7,0,11,3,0,5,8,65,1074,2303,240,274,629,141,25,65,106,4857
POA2605,8,3,29,8,8,6,4,3,0,80,0,0,0,0,0,0,0,0,0,4,28,34,3,8,13,3,0,0,0,93,13,15,8,3,3,3,0,0,8,52,883,2088,224,273,536,105,48,70,89,4329
POA2606,11,5,57,16,12,9,4,11,3,133,0,0,0,0,0,0,0,6,0,6,18,15,7,4,17,3,0,3,3,68,10,3,8,9,8,0,0,4,13,54,623,1660,297,357,538,127,48,173,90,3915
POA2607,14,5,72,22,26,6,4,8,3,162,0,0,0,0,0,0,0,0,0,7,17,22,0,17,13,8,0,3,11,98,13,5,6,12,16,3,3,6,9,71,992,2048,407,428,729,175,60,119,116,5071
POA2609,0,0,5,0,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,17,37,41,41,23,21,10,17,23,7,224
POA2611,40,15,119,43,57,22,0,11,5,318,0,3,0,0,0,0,0,0,0,4,53,45,18,15,41,10,0,3,3,185,23,31,21,12,16,5,5,12,23,149,2014,4351,937,806,1611,298,96,250,210,10569
POA2612,45,11,58,30,16,4,0,10,5,172,0,0,0,0,0,0,0,0,0,3,37,44,3,16,26,3,0,0,8,144,8,25,4,7,10,5,0,3,18,85,1555,3297,284,508,857,216,25,180,184,7105
POA2614,23,5,86,25,27,20,3,13,9,214,0,0,0,0,0,0,0,4,0,8,27,36,10,18,27,0,4,4,5,124,10,13,10,9,16,11,0,14,22,104,1296,2947,576,585,940,245,95,205,186,7081
POA2615,84,30,248,121,124,48,27,33,14,721,0,0,3,0,0,0,0,6,0,10,30,55,14,32,56,5,16,19,15,232,28,46,40,31,46,7,16,27,45,279,2217,4838,2029,1662,2616,574,342,521,370,15180
POA2617,48,14,169,80,67,41,15,22,7,473,0,0,0,0,0,3,0,0,0,5,50,42,11,24,58,3,3,9,18,223,14,29,21,26,26,13,11,14,29,182,1958,4642,1216,1256,1887,571,176,414,267,12387
POA2618,3,0,4,0,5,0,0,3,0,21,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,11,3,0,3,3,0,0,0,3,0,18,126,149,73,37,61,23,11,19,8,509
POA2900,4,0,12,3,10,3,0,0,0,34,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,10,3,0,0,0,0,0,0,0,3,13,100,337,72,75,122,28,6,8,12,763
POA2902,26,9,86,36,36,16,3,19,3,223,0,0,0,0,0,0,0,0,0,0,17,17,3,10,12,0,0,4,8,70,10,13,12,16,14,10,4,0,14,91,828,1701,594,496,825,171,78,148,130,4969
POA2903,9,10,29,12,38,9,3,5,3,124,0,0,0,0,0,0,0,0,0,3,12,21,8,4,12,4,4,0,0,56,8,8,6,5,11,5,3,11,13,65,504,1090,336,319,565,118,61,79,71,3144
POA2904,20,13,57,30,41,15,5,11,5,204,0,0,0,0,0,0,0,0,0,4,14,12,4,6,19,3,0,0,0,68,13,4,14,8,11,3,4,4,10,76,914,1606,536,437,843,141,73,117,104,4766
POA2905,58,27,175,58,106,40,25,33,7,530,0,0,0,0,0,0,0,5,0,10,27,24,9,32,21,5,15,5,6,141,24,13,33,24,37,16,16,12,39,214,1468,2685,1546,1088,1786,388,274,354,254,9837
POA2906,36,10,111,42,66,27,9,24,3,336,0,3,3,0,0,0,0,0,0,8,17,14,4,14,22,3,4,0,4,86,10,8,19,13,22,12,10,13,25,133,908,1599,883,651,1140,236,153,181,179,5923
POA2911,13,3,25,12,18,4,0,3,0,81,0,0,0,0,0,0,0,0,0,0,11,9,0,5,8,4,0,0,0,38,0,10,3,3,0,0,0,0,6,27,377,851,153,189,321,74,21,46,56,2084
POA2912,16,0,42,13,11,10,3,7,0,107,0,0,0,0,0,0,0,3,0,8,8,8,3,3,6,0,0,0,3,43,6,4,5,7,12,5,0,3,3,45,404,794,261,259,382,115,33,101,60,2406
POA2913,82,29,250,81,114,48,11,38,3,655,0,0,0,0,0,0,0,0,0,6,31,51,8,32,51,8,7,14,16,226,22,28,24,27,41,22,12,18,34,225,2304,4702,1534,1382,2356,627,188,399,314,13816
POA2914,44,17,154,62,67,31,18,25,6,432,0,0,0,0,0,0,0,0,0,3,45,38,11,32,25,11,3,3,14,172,16,27,16,20,9,11,4,8,18,138,1766,3699,951,1054,1613,427,141,238,235,10127
