POA_CODE_2016,M_PoDe_PoDe_NFD_Mng,M_PoDe_PoDe_NFD_Pro,M_PoDe_PoDe_NFD_TTW,M_PoDe_PoDe_NFD_CPS,M_PoDe_PoDe_NFD_CA,M_PoDe_PoDe_NFD_Sal,M_PoDe_PoDe_NFD_MOD,M_PoDe_PoDe_NFD_Lab,M_PoDe_PoDe_NFD_IDNS,M_PoDe_PoDe_NFD_Tot,M_PoDe_DoctDe_Mng,M_PoDe_DoctDe_Pro,M_PoDe_DoctDe_TTW,M_PoDe_DoctDe_CPS,M_PoDe_DoctDe_CA,M_PoDe_DoctDe_Sal,M_PoDe_DoctDe_MOD,M_PoDe_DoctDe_Lab,M_PoDe_DoctDe_IDNS,M_PoDe_DoctDe_Tot,M_PoDe_MasDe_Mng,M_PoDe_MasDe_Pro,M_PoDe_MasDe_TTW,M_PoDe_MasDe_CPS,M_PoDe_MasDe_CA,M_PoDe_MasDe_Sal,M_PoDe_MasDe_MOD,M_PoDe_MasDe_Lab,M_PoDe_MasDe_IDNS,M_PoDe_MasDe_Tot,M_GrDiGrCer_GrDiGrCerNFD_Mng,M_GrDiGrCer_GrDiGrCerNFD_Pro,M_GrDiGrCer_GrDiGrCerNFD_TTW,M_GrDiGrCer_GrDiGrCerNFD_CPS,M_GrDiGrCer_GrDiGrCerNFD_CA,M_GrDiGrCer_GrDiGrCerNFD_Sal,M_GrDiGrCer_GrDiGrCerNFD_MOD,M_GrDiGrCer_GrDiGrCerNFD_Lab,M_GrDiGrCer_GrDiGrCerNFD_IDNS,M_GrDiGrCer_GrDiGrCerNFD_Tot,M_GrDi_GrCer_GrDi_Mng,M_GrDi_GrCer_GrDi_Pro,M_GrDi_GrCer_GrDi_TTW,M_GrDi_GrCer_GrDi_CPS,M_GrDi_GrCer_GrDi_CA,M_GrDi_GrCer_GrDi_Sal,M_GrDi_GrCer_GrDi_MOD,M_GrDi_GrCer_GrDi_Lab,M_GrDi_GrCer_GrDi_IDNS,M_GrDi_GrCer_GrDi_Tot,M_GrDi_GrCer_GradCer_Mng,M_GrDi_GrCer_GradCer_Pro,M_GrDi_GrCer_GradCer_TTW,M_GrDi_GrCer_GradCer_CPS,M_GrDi_GrCer_GradCer_CA,M_GrDi_GrCer_GradCer_Sal,M_GrDi_GrCer_GradCer_MOD,M_GrDi_GrCer_GradCer_Lab,M_GrDi_GrCer_GradCer_IDNS,M_GrDi_GrCer_GradCer_Tot,M_BaDe_BaDe_Mng,M_BaDe_BaDe_Pro,M_BaDe_BaDe_TTW,M_BaDe_BaDe_CPS,M_BaDe_BaDe_CA,M_BaDe_BaDe_Sal,M_BaDe_BaDe_MOD,M_BaDe_BaDe_Lab,M_BaDe_BaDe_IDNS,M_BaDe_BaDe_Tot,M_AdvDi_Di_AdvDi_Di_NFD_Mng,M_AdvDi_Di_AdvDi_Di_NFD_Pro,M_AdvDi_Di_AdvDi_Di_NFD_TTW,M_AdvDi_Di_AdvDi_Di_NFD_CPS,M_AdvDi_Di_AdvDi_Di_NFD_CA,M_AdvDi_Di_AdvDi_Di_NFD_Sal,M_AdvDi_Di_AdvDi_Di_NFD_MOD,M_AdvDi_Di_AdvDi_Di_NFD_Lab,M_AdvDi_Di_AdvDi_Di_NFD_IDNS,M_AdvDi_Di_AdvDi_Di_NFD_Tot,M_AdvDi_Di_AdvDi_AsDe_Mng,M_AdvDi_Di_AdvDi_AsDe_Pro,M_AdvDi_Di_AdvDi_AsDe_TTW,M_AdvDi_Di_AdvDi_AsDe_CPS,M_AdvDi_Di_AdvDi_AsDe_CA,M_AdvDi_Di_AdvDi_AsDe_Sal,M_AdvDi_Di_AdvDi_AsDe_MOD,M_AdvDi_Di_AdvDi_AsDe_Lab,M_AdvDi_Di_AdvDi_AsDe_IDNS,M_AdvDi_Di_AdvDi_AsDe_Tot,M_AdvDi_Di_Dip_Mng,M_AdvDi_Di_Dip_Pro,M_AdvDi_Di_Dip_TTW,M_AdvDi_Di_Dip_CPS,M_AdvDi_Di_Dip_CA,M_AdvDi_Di_Dip_Sal,M_AdvDi_Di_Dip_MOD,M_AdvDi_Di_Dip_Lab,M_AdvDi_Di_Dip_IDNS,M_AdvDi_Di_Dip_Tot,M_Cert_CertIII_IV_Mng,M_Cert_CertIII_IV_Pro,M_Cert_CertIII_IV_TTW,M_Cert_CertIII_IV_CPS,M_Cert_CertIII_IV_CA,M_Cert_CertIII_IV_Sal,M_Cert_CertIII_IV_MOD,M_Cert_CertIII_IV_Lab,M_Cert_CertIII_IV_IDNS,M_Cert_CertIII_IV_Tot,M_Cert_CertI_II_Mng,M_Cert_CertI_II_Pro,M_Cert_CertI_II_TTW,M_Cert_CertI_II_CPS,M_Cert_CertI_II_CA,M_Cert_CertI_II_Sal,M_Cert_CertI_II_MOD,M_Cert_CertI_II_Lab,M_Cert_CertI_II_IDNS,M_Cert_CertI_II_Tot,M_Cert_Cert_nfd_Mng,M_Cert_Cert_nfd_Pro,M_Cert_Cert_nfd_TTW,M_Cert_Cert_nfd_CPS,M_Cert_Cert_nfd_CA,M_Cert_Cert_nfd_Sal,M_Cert_Cert_nfd_MOD,M_Cert_Cert_nfd_Lab,M_Cert_Cert_nfd_IDNS,M_Cert_Cert_nfd_Tot,M_LE_ID_Mng,M_LE_ID_Pro,M_LE_ID_TTW,M_LE_ID_CPS,M_LE_ID_CA,M_LE_ID_Sal,M_LE_ID_MOD,M_LE_ID_Lab,M_LE_ID_IDNS,M_LE_ID_Tot,M_LE_NS_Mng,M_LE_NS_Pro,M_LE_NS_TTW,M_LE_NS_CPS,M_LE_NS_CA,M_LE_NS_Sal,M_LE_NS_MOD,M_LE_NS_Lab,M_LE_NS_IDNS,M_LE_NS_Tot,M_Tot_Mng,M_Tot_Pro,M_Tot_TTW,M_Tot_CPS,M_Tot_CA,M_Tot_Sal,M_Tot_MOD,M_Tot_Lab,M_Tot_IDNS,M_Tot_Tot,F_PoDe_PoDe_NFD_Mng,F_PoDe_PoDe_NFD_Pro,F_PoDe_PoDe_NFD_TTW,F_PoDe_PoDe_NFD_CPS,F_PoDe_PoDe_NFD_CA,F_PoDe_PoDe_NFD_Sal,F_PoDe_PoDe_NFD_MOD,F_PoDe_PoDe_NFD_Lab,F_PoDe_PoDe_NFD_IDNS,F_PoDe_PoDe_NFD_Tot,F_PoDe_DoctDe_Mng,F_PoDe_DoctDe_Pro,F_PoDe_DoctDe_TTW,F_PoDe_DoctDe_CPS,F_PoDe_DoctDe_CA,F_PoDe_DoctDe_Sal,F_PoDe_DoctDe_MOD,F_PoDe_DoctDe_Lab,F_PoDe_DoctDe_IDNS,F_PoDe_DoctDe_Tot,F_PoDe_MasDe_Mng,F_PoDe_MasDe_Pro,F_PoDe_MasDe_TTW,F_PoDe_MasDe_CPS,F_PoDe_MasDe_CA,F_PoDe_MasDe_Sal,F_PoDe_MasDe_MOD,F_PoDe_MasDe_Lab,F_PoDe_MasDe_IDNS,F_PoDe_MasDe_Tot,F_GrDiGrCer_GrDiGrCerNFD_Mng,F_GrDiGrCer_GrDiGrCerNFD_Pro,F_GrDiGrCer_GrDiGrCerNFD_TTW,F_GrDiGrCer_GrDiGrCerNFD_CPS,F_GrDiGrCer_GrDiGrCerNFD_CA,F_GrDiGrCer_GrDiGrCerNFD_Sal,F_GrDiGrCer_GrDiGrCerNFD_MOD,F_GrDiGrCer_GrDiGrCerNFD_Lab,F_GrDiGrCer_GrDiGrCerNFD_IDNS,F_GrDiGrCer_GrDiGrCerNFD_Tot
POA2600,0,7,0,0,0,0,0,0,0,6,28,98,0,0,3,0,0,0,3,137,124,168,3,8,25,4,0,0,8,342,3,10,0,0,4,0,0,0,0,19,25,63,3,0,3,3,0,0,4,99,0,8,0,0,0,0,0,0,0,18,157,363,17,25,47,10,3,3,20,642,0,0,0,0,0,0,0,0,0,3,20,16,3,3,0,6,0,0,4,56,19,10,9,12,6,3,0,0,0,65,33,9,45,12,11,3,4,3,0,113,0,0,0,0,0,0,0,0,0,9,3,3,0,0,0,3,3,0,0,12,4,12,0,0,0,0,0,0,0,13,4,7,3,4,0,0,0,0,3,23,429,779,80,56,101,32,16,11,47,1554,0,3,0,0,0,0,0,0,0,6,16,58,0,3,3,0,0,0,0,86,87,173,3,4,47,0,0,0,14,332,3,6,0,0,0,0,0,0,0,13
POA2601,0,3,0,0,0,0,0,0,0,4,4,53,0,0,0,0,0,0,0,59,57,110,3,9,14,3,0,4,10,209,0,0,0,0,0,0,0,0,0,4,5,17,0,3,3,3,0,0,0,34,3,4,0,0,3,0,0,0,0,14,56,213,16,15,34,10,7,18,8,373,0,0,0,0,0,0,0,0,0,0,3,7,4,3,5,0,0,0,0,27,7,11,8,3,6,3,0,0,0,35,9,10,8,4,3,4,4,0,0,46,0,3,0,0,0,3,0,0,0,6,3,3,0,7,0,0,0,0,0,11,3,3,0,0,0,3,0,0,0,11,0,5,0,6,0,0,0,0,3,19,157,444,35,58,71,29,10,30,23,853,0,3,0,0,0,0,0,0,0,3,3,23,0,0,0,0,0,0,0,28,34,107,3,5,18,9,0,5,3,185,0,0,0,0,0,0,0,0,0,0
POA2602,0,9,0,0,0,0,0,0,0,14,89,416,5,4,25,4,3,0,9,549,292,535,17,24,102,15,3,30,25,1042,5,9,0,0,3,0,0,0,0,17,77,192,6,10,44,5,0,6,8,352,30,37,3,9,7,0,0,0,3,85,471,1179,133,133,231,67,18,111,70,2408,0,0,0,0,0,0,0,0,0,3,55,61,27,21,33,15,7,18,11,225,60,97,79,41,43,10,9,20,4,356,101,79,329,65,56,31,26,52,18,769,3,6,7,11,11,3,4,7,0,50,10,16,13,10,6,3,0,8,0,63,6,12,9,3,0,7,3,8,0,50,13,15,22,10,5,10,4,10,22,103,1210,2653,652,337,565,161,75,261,170,6093,0,6,0,0,0,0,0,0,0,14,71,365,4,3,26,0,0,0,6,479,310,611,15,49,116,15,0,20,37,1170,4,20,0,3,3,0,0,0,0,35
POA2603,3,3,0,0,0,0,0,0,0,5,32,118,0,0,9,0,0,0,0,160,129,199,4,6,33,3,0,0,20,398,5,7,0,0,0,0,0,0,0,19,36,55,3,0,6,0,0,0,3,104,7,4,0,0,3,0,0,0,3,19,209,452,31,23,77,20,6,11,24,848,3,0,0,0,0,0,0,0,0,6,32,18,8,0,9,7,0,3,0,84,25,16,9,3,9,4,3,3,0,74,49,14,59,18,14,22,10,13,3,197,0,3,0,6,4,0,0,3,0,12,7,3,3,0,0,0,0,3,0,17,5,7,3,3,0,0,0,0,0,18,6,8,0,0,3,0,0,0,8,20,547,902,122,72,163,63,18,38,65,1987,0,5,0,0,0,0,0,0,0,6,15,68,7,3,9,0,0,0,0,100,115,196,3,13,60,3,0,0,10,403,3,11,0,0,0,0,0,0,0,19
POA2604,0,7,0,0,0,0,0,0,0,7,31,85,0,3,8,0,0,0,0,124,158,270,6,12,49,3,0,4,11,519,0,5,0,0,0,0,0,0,0,14,38,72,0,3,12,0,0,0,0,133,9,11,0,3,4,0,0,0,0,32,226,491,23,41,110,26,5,7,11,933,0,0,0,0,0,0,0,0,0,0,25,45,13,14,5,5,3,3,0,108,46,37,18,16,27,3,3,5,3,148,48,29,106,29,28,29,5,15,3,297,0,0,0,0,0,3,0,0,0,4,0,3,3,0,3,0,3,3,0,25,3,9,4,0,0,4,0,0,0,19,4,11,4,0,3,8,0,0,4,25,592,1069,183,117,247,76,24,37,38,2395,0,11,0,0,0,0,0,0,0,8,21,68,0,0,3,0,0,0,3,96,126,297,3,14,65,9,0,4,15,532,5,6,0,0,0,0,0,0,0,14
POA2605,0,9,0,0,0,0,0,0,0,10,28,113,0,0,10,0,0,0,3,153,142,216,3,6,46,3,0,4,11,432,3,7,0,0,0,0,0,0,0,9,31,58,3,4,8,0,3,0,3,109,9,9,0,0,3,0,0,0,0,26,199,468,30,44,76,22,11,20,16,882,0,0,0,0,0,0,0,0,0,0,15,25,10,7,16,10,3,3,3,86,25,31,16,10,11,4,5,6,0,104,45,13,117,20,11,14,17,15,3,248,3,0,0,3,0,0,0,0,0,14,5,3,4,4,3,3,0,0,0,21,4,9,3,3,0,0,0,0,0,21,0,4,3,0,6,3,0,0,3,26,509,960,177,101,186,58,36,55,52,2126,0,7,0,0,0,0,0,0,0,15,10,60,0,0,5,0,0,0,0,85,108,249,6,14,36,0,0,0,9,427,0,5,0,0,3,0,0,0,0,13
POA2606,0,0,0,0,0,0,0,3,0,4,9,76,0,0,0,0,0,3,3,93,71,158,3,13,32,8,7,7,6,317,0,6,0,0,0,0,0,0,0,11,21,49,0,3,7,0,0,0,0,87,15,16,3,3,8,0,0,0,0,40,137,381,36,38,85,23,13,39,20,765,0,0,0,0,0,0,0,0,0,0,18,21,15,12,12,5,5,8,0,94,23,31,37,31,18,7,3,18,3,157,35,16,135,35,14,15,15,21,5,295,0,0,0,0,3,3,0,3,0,11,3,9,7,7,5,0,3,4,0,32,0,7,3,0,3,0,0,0,0,17,4,5,3,3,0,0,0,5,5,27,346,777,235,143,197,58,44,115,43,1956,0,3,0,0,0,0,0,0,0,5,6,38,0,0,3,0,0,3,0,49,64,133,8,20,39,3,0,3,9,286,0,6,0,0,0,0,0,0,0,14
POA2607,3,13,0,0,0,0,0,0,0,14,27,79,0,0,9,0,0,0,3,119,125,189,4,17,47,8,0,4,10,412,3,3,0,0,3,0,0,0,0,10,34,50,3,0,15,3,0,0,0,111,11,13,0,4,3,0,0,0,0,40,193,464,31,47,76,28,7,28,17,903,0,0,0,0,0,0,0,0,0,0,35,37,21,24,12,7,0,3,3,144,57,54,31,22,24,11,5,10,5,214,75,28,219,33,30,18,24,30,12,468,3,0,6,3,3,4,0,0,0,18,7,9,4,3,5,3,7,3,0,41,3,9,3,4,5,0,0,0,0,21,5,10,3,3,0,3,3,6,3,41,586,965,326,161,232,82,56,89,55,2554,0,6,0,0,0,0,0,0,0,9,15,49,0,0,3,0,0,0,0,65,72,192,3,19,46,5,0,0,3,343,3,7,0,0,0,0,0,0,0,19
POA2609,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,3,0,4,24,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,9,11,3,31,4,0,0,7,12,0,71,0,0,3,5,0,0,0,0,0,3,0,0,0,4,0,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,11,28,25,34,16,3,0,17,16,3,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
POA2611,0,5,0,0,0,0,0,0,0,12,43,190,3,0,8,3,0,3,3,259,201,361,12,23,74,10,3,8,19,707,4,14,0,0,4,0,0,0,0,26,52,140,8,12,7,3,0,5,3,234,13,25,4,5,12,0,0,0,3,59,402,928,88,68,198,33,20,18,40,1791,0,3,0,0,0,0,0,0,0,10,85,86,47,36,34,19,10,14,3,326,102,105,70,47,46,17,7,11,12,420,167,81,518,93,75,35,29,93,14,1107,5,12,5,17,8,4,4,3,0,57,21,19,4,9,6,8,3,8,3,78,6,23,12,0,5,4,0,0,3,54,18,12,24,9,0,6,3,12,9,86,1122,1998,786,317,488,139,91,169,110,5212,7,12,0,0,3,0,0,0,0,24,37,120,3,4,14,0,0,0,3,177,159,402,11,18,82,9,0,5,11,697,7,17,0,0,0,0,0,0,0,21
POA2612,0,3,0,0,0,0,0,0,0,3,36,201,3,0,17,3,0,3,0,266,208,377,6,21,68,13,4,27,25,752,3,10,0,3,0,0,0,0,0,12,41,116,0,9,19,3,0,0,4,190,18,27,0,0,5,0,0,0,0,50,360,814,55,105,173,43,8,47,42,1654,0,0,0,0,0,0,0,0,0,0,35,28,13,13,17,7,0,7,4,132,55,39,28,41,18,10,0,7,6,207,103,57,72,53,33,12,5,17,8,367,22,3,4,4,0,3,4,4,0,44,13,4,0,0,4,0,0,3,0,22,12,12,0,3,0,0,0,3,0,31,4,15,4,3,9,0,0,3,5,44,904,1710,197,262,365,96,26,125,96,3776,3,6,0,0,4,0,0,0,0,10,33,146,8,0,10,0,0,0,0,200,162,348,6,24,79,9,0,13,17,658,3,6,0,0,0,0,0,0,0,14
POA2614,0,0,0,0,0,0,0,0,0,3,53,229,3,3,14,0,0,0,4,313,131,229,11,9,52,3,6,7,19,478,3,3,0,0,0,0,0,0,0,9,54,108,6,3,20,4,0,0,3,207,14,19,0,3,5,3,0,0,0,42,268,618,64,69,134,37,17,43,34,1293,0,0,3,0,0,0,0,0,0,5,30,54,24,18,17,3,6,8,3,149,52,65,44,29,23,9,6,15,5,251,77,51,287,55,48,29,35,47,7,629,0,3,5,5,3,9,6,8,4,38,16,0,8,13,5,3,3,8,3,54,3,14,3,0,4,0,0,0,0,25,4,3,5,9,4,7,3,12,10,51,703,1407,461,220,329,106,85,144,103,3552,0,8,0,0,0,0,0,0,0,5,37,142,6,0,18,0,0,0,7,206,123,305,5,23,60,10,0,9,14,544,5,13,0,0,5,0,0,0,0,16
POA2615,0,6,0,0,0,0,0,0,0,9,42,189,4,7,9,0,0,0,3,255,179,331,20,28,85,17,13,12,21,706,3,3,0,0,0,0,0,0,0,15,47,129,4,10,17,3,3,3,12,223,26,21,4,10,8,0,0,0,3,70,368,969,122,116,231,61,28,47,66,2009,0,0,0,0,0,0,0,0,0,3,80,113,51,51,71,14,16,11,8,421,121,165,147,92,111,34,24,29,23,749,297,188,1270,185,193,90,191,194,48,2661,14,8,18,30,19,10,13,27,0,135,22,23,17,24,18,14,15,22,3,162,6,20,5,5,9,4,7,9,3,69,16,16,35,8,12,7,11,27,17,149,1223,2194,1705,565,782,258,322,378,210,7641,0,11,0,0,0,0,0,0,0,11,19,118,4,3,13,0,0,0,3,158,126,392,14,37,111,23,0,3,12,720,4,23,0,0,3,0,0,0,0,29
POA2617,0,6,0,0,0,0,0,0,0,6,44,276,11,0,18,0,0,0,4,358,196,473,31,38,126,24,10,28,20,941,10,10,0,0,0,0,0,0,7,26,57,118,4,9,17,4,3,0,3,215,22,36,0,5,16,0,0,0,5,84,412,1040,124,149,262,89,25,94,46,2244,0,0,0,3,0,0,0,0,0,10,84,75,51,28,32,25,10,15,10,326,94,73,81,56,55,28,14,24,9,441,158,100,630,118,97,62,72,88,33,1360,10,0,13,17,19,12,3,7,0,74,16,14,4,15,12,3,11,14,0,91,13,26,17,5,5,3,3,6,6,78,6,10,20,3,3,6,9,12,10,90,1123,2274,987,452,665,251,156,285,150,6343,0,6,0,0,0,3,0,0,0,9,37,142,3,0,15,3,0,0,3,201,151,434,15,57,148,29,3,11,20,871,6,18,0,0,0,3,0,0,0,29
POA2618,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,5,7,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,23,34,5,0,3,3,0,0,0,76,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,15,0,3,7,4,0,0,0,0,0,12,27,7,46,12,3,7,11,10,3,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,4,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,0,0,4,79,60,65,17,11,14,11,17,3,268,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,8,3,11,0,0,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0
POA2900,0,3,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,7,5,48,3,5,5,0,0,0,3,75,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,15,0,3,0,0,3,0,0,0,0,9,17,109,3,3,19,7,3,0,5,161,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,5,8,8,3,3,0,0,0,0,36,10,11,32,8,7,7,5,4,0,78,0,0,0,4,0,0,0,0,0,9,0,0,3,0,3,0,0,0,0,5,3,3,0,0,0,0,0,0,0,11,3,0,3,0,0,0,0,0,0,5,55,212,54,24,42,16,6,10,5,423,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,9,3,21,3,3,3,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0
