POA_CODE_2016,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
POA2600,30,73,3,7,24,3,0,0,6,140,10,10,0,0,0,0,0,0,0,24,131,329,3,34,103,15,0,3,19,630,0,0,0,0,0,0,0,0,0,0,20,20,0,8,21,8,0,0,0,73,15,9,0,11,26,3,0,0,0,72,10,15,3,8,32,3,0,5,0,79,0,4,0,0,4,0,0,0,0,8,0,4,0,4,7,3,0,0,0,19,3,6,0,4,4,0,0,0,0,14,5,3,0,0,8,0,0,0,0,11,329,715,16,87,273,36,5,11,41,1515,0,6,0,0,0,0,0,0,0,10,45,159,0,3,4,0,0,0,3,219,213,341,7,13,72,3,0,0,19,669,8,22,0,0,5,0,0,0,3,32,57,133,5,8,29,4,0,0,5,238,7,24,0,0,4,0,0,0,3,43,284,695,14,53,145,22,7,3,42,1274,0,3,0,0,0,0,0,0,0,3
POA2601,7,34,0,0,3,0,0,0,4,46,0,12,0,0,3,0,0,0,0,16,41,167,10,32,44,37,0,7,0,348,0,0,0,0,0,0,0,0,0,0,4,3,0,3,6,0,0,0,0,20,6,3,3,5,6,7,0,0,0,32,4,9,0,10,15,4,0,0,0,37,0,0,0,3,0,4,0,0,0,12,0,0,0,3,3,0,0,0,0,8,3,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,112,364,20,63,111,65,0,17,6,752,0,6,0,0,0,0,0,0,0,6,10,71,0,0,5,0,0,0,0,87,84,213,4,19,35,15,0,7,10,394,0,0,0,0,0,0,0,0,0,4,16,53,0,4,8,3,0,0,4,82,6,15,0,0,9,0,0,0,0,29,103,382,26,50,77,41,7,27,6,722,0,0,0,0,0,0,0,0,0,0
POA2602,102,294,10,19,57,4,0,8,7,504,41,62,0,4,22,0,0,0,0,128,497,1358,77,202,459,87,3,65,53,2801,0,0,0,0,0,0,0,0,0,4,29,74,12,43,47,10,0,9,12,241,41,49,19,69,84,19,0,13,3,304,34,54,63,130,118,36,0,15,3,443,0,4,3,12,14,3,0,3,0,39,6,15,4,8,31,6,0,8,6,92,3,22,0,4,7,0,0,0,0,38,9,17,0,6,19,9,0,7,15,79,1157,2940,204,556,1011,199,5,158,137,6363,3,24,0,0,0,0,0,0,0,27,160,778,11,3,56,4,3,3,15,1029,603,1138,32,70,221,27,3,49,62,2212,9,26,0,3,4,0,0,3,0,57,177,487,19,31,103,8,0,13,12,852,71,95,3,7,34,0,0,0,3,217,965,2541,214,333,690,147,23,172,123,5206,0,0,0,0,0,3,0,0,0,5
POA2603,34,94,3,3,15,3,0,0,4,154,9,12,0,0,5,0,0,0,0,20,172,480,8,53,170,21,0,8,23,932,0,0,0,0,0,0,0,0,0,0,17,22,0,4,26,3,0,0,0,87,13,12,4,8,32,6,0,3,3,83,18,12,5,26,39,16,0,3,5,115,4,0,0,3,4,3,0,0,0,15,6,3,0,3,8,3,0,3,3,34,0,3,0,0,0,3,0,0,0,8,0,5,0,0,9,5,0,0,4,18,411,929,36,112,371,64,4,14,49,1993,3,6,0,0,0,0,0,0,0,12,48,186,7,3,14,0,0,0,3,260,250,394,7,16,93,9,0,0,26,799,4,18,0,0,0,0,0,0,0,34,71,152,4,3,19,3,0,0,6,260,12,13,0,0,11,0,0,0,3,42,380,931,40,73,246,42,5,18,44,1781,3,0,0,0,0,0,0,0,0,6
POA2604,38,122,0,3,21,0,0,0,3,190,10,33,0,0,7,0,0,0,0,48,200,603,15,49,139,25,0,0,34,1075,0,0,0,0,0,0,0,0,0,0,24,30,0,16,29,12,0,3,0,103,26,37,5,22,32,7,0,3,3,132,14,18,26,37,47,13,0,0,0,155,3,0,3,3,3,4,0,3,0,25,3,4,0,4,9,0,0,9,3,37,4,6,0,3,6,0,0,0,0,17,3,4,0,3,9,0,0,0,6,28,483,1236,58,157,377,64,5,27,61,2463,3,11,0,0,0,0,0,0,0,19,54,152,0,3,15,0,0,0,4,221,283,566,13,21,116,14,0,5,24,1055,4,19,0,0,3,0,0,0,0,25,80,197,5,6,36,0,0,0,5,323,22,46,0,3,10,0,0,0,0,79,429,1094,37,90,245,49,4,9,44,2009,0,0,0,0,0,0,0,0,0,0
POA2605,34,109,0,0,11,0,0,0,0,164,14,17,0,0,3,0,0,0,0,35,156,570,14,71,145,24,0,7,13,995,0,0,0,0,0,0,0,0,0,0,15,41,3,12,34,8,0,0,0,109,19,28,7,28,40,6,0,0,3,135,7,17,16,29,39,8,8,4,3,137,0,0,0,4,3,0,0,0,0,9,3,6,0,5,15,5,0,4,0,41,3,3,0,0,5,0,0,0,0,15,7,9,0,4,9,0,0,3,0,32,376,1132,50,173,349,53,5,21,39,2202,3,14,0,0,3,0,0,0,0,21,37,174,0,0,20,0,0,0,4,234,247,468,7,27,78,6,3,6,23,851,4,11,0,3,3,0,0,0,0,21,70,166,3,7,22,3,3,3,3,273,20,32,0,0,3,0,0,0,0,57,354,1039,43,111,221,45,11,22,29,1881,0,0,0,0,0,0,0,0,0,4
POA2606,19,65,0,6,15,0,0,0,3,110,6,21,0,0,5,0,0,0,0,33,110,509,18,74,146,18,0,24,17,917,0,0,0,0,0,0,0,0,0,0,12,24,5,14,24,3,0,4,0,89,24,44,13,30,43,13,3,9,7,180,13,12,15,47,52,13,0,3,5,160,3,3,0,4,5,4,0,3,0,15,4,3,0,9,17,5,0,3,0,44,0,3,0,4,0,3,0,0,3,14,3,4,3,3,5,3,0,8,3,26,276,889,66,213,344,69,4,63,46,1962,0,8,0,0,0,0,0,3,0,16,20,107,0,0,6,0,0,4,3,145,134,294,17,31,75,13,7,14,16,596,5,11,0,0,3,0,0,0,0,25,39,113,0,7,26,3,0,5,7,200,26,33,3,3,8,3,0,0,0,72,254,892,48,115,233,37,9,62,32,1677,0,0,0,0,0,0,0,0,0,0
POA2607,36,85,0,4,24,0,0,0,0,157,8,25,0,4,9,0,0,0,0,44,176,575,19,79,151,36,3,16,23,1083,0,0,0,0,0,0,0,0,0,3,32,56,4,19,52,9,0,4,8,185,36,38,7,47,73,10,0,5,9,226,10,24,36,64,77,19,4,3,5,239,0,0,0,5,16,3,0,0,0,33,8,9,3,10,25,4,0,0,0,61,0,4,0,3,4,0,0,3,0,16,5,9,3,5,12,4,0,0,4,39,404,1080,77,265,493,94,4,31,56,2520,3,21,0,0,0,0,0,0,0,21,37,129,0,0,18,0,0,0,4,188,199,388,7,33,89,10,0,5,14,756,8,10,0,0,3,0,0,0,0,26,69,140,3,6,37,3,0,0,4,267,23,35,0,9,10,0,0,0,0,79,374,1037,53,128,231,63,10,40,42,1986,0,0,0,0,0,0,0,0,0,3
POA2609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,0,4,3,0,0,3,0,23,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,9,3,0,0,0,3,0,0,0,0,6,4,0,3,3,6,3,0,3,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,23,9,9,16,10,0,5,0,82,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,6,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,20,0,4,7,0,3,3,4,54,0,0,0,0,0,0,0,0,0,0
POA2611,77,230,0,30,51,5,0,0,4,402,25,66,0,5,19,0,0,0,0,120,370,1185,35,133,395,44,3,28,33,2229,3,3,0,0,3,0,0,0,0,12,47,109,12,39,97,13,0,9,3,324,80,94,22,85,167,15,0,6,8,481,45,56,65,132,186,37,0,22,20,572,8,7,3,11,22,8,0,3,0,60,12,20,3,22,64,16,0,3,3,138,9,22,0,3,9,3,0,0,0,43,8,14,4,8,15,4,0,3,5,73,893,2348,155,491,1119,159,10,76,105,5355,4,18,0,0,3,0,0,0,0,33,81,305,4,7,25,6,0,3,6,431,362,766,18,42,155,16,9,11,28,1405,13,36,0,3,9,0,0,0,0,51,133,374,9,37,60,5,0,5,7,636,44,86,3,10,30,0,0,0,3,176,769,2108,127,204,588,81,23,45,71,4014,3,8,0,0,3,0,0,3,0,17
