POA_CODE_2016,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
POA2600,6,0,3,4,3,0,13,0,0,0,0,0,0,0,5,0,8,3,4,3,33,3,0,4,0,0,0,5,5,0,24,15,40,5,94,0,0,3,0,0,0,11,3,0,11,7,8,0,28,0,0,14,9,16,7,53,7,3,12,9,3,0,27,9,4,9,0,3,0,28,7,3,24,0,4,0,36,7,6,15,6,3,0,33,70,28,165,12,7,4,287,5,0,3,0,3,0,12,220,61,227,34,21,10,574,55,5,33,5,3,0,103,58,10,63,7,4,7,149,3,3,5,5,4,0,19,8,4,11,0,9,0,39,7,0,7,3,0,3,25,483,134,642,125,137,40,1554,0,0,4,3,0,0,11,0,0,0,0,0,0,0,3,0,3,3,0,0,12,0,0,0,0,0,0,4,0,0,3,4,3,0,12,0,3,3,3,3,0,14,0,3,20,9,6,0,41,0,0,20,4
POA2601,0,0,3,0,0,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,11,3,0,0,0,0,0,6,0,0,4,3,9,0,20,3,0,0,0,0,0,5,4,3,10,3,9,3,24,8,0,34,8,9,12,69,4,0,11,3,3,0,25,4,0,3,0,0,3,16,5,3,10,0,0,0,23,3,0,7,0,0,0,10,30,7,62,4,5,3,116,3,0,6,0,3,0,15,99,25,135,32,17,4,310,74,3,40,0,4,3,126,18,0,20,3,0,0,46,0,0,3,0,0,0,11,0,0,9,0,3,0,20,3,0,6,0,0,4,15,271,48,373,68,67,32,853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,3,4,0,0,0,0,0,5,0,0,0,0,0,0,4,12,0,28,4,8,0,55,12,0,41,9
POA2602,3,0,4,5,3,3,19,3,0,0,0,0,0,3,13,7,25,19,32,4,93,9,0,21,4,4,3,49,5,3,77,42,214,18,358,3,4,13,7,12,3,47,15,9,67,28,44,13,178,17,7,106,65,99,16,307,13,3,37,25,30,6,107,21,9,91,13,26,3,161,14,8,46,12,0,0,80,8,0,18,7,11,3,52,274,62,444,73,62,13,924,21,12,84,20,37,7,178,670,217,912,184,144,18,2154,379,72,205,29,33,10,719,61,17,119,32,34,3,265,28,17,53,13,21,0,141,21,8,35,3,46,5,121,30,7,42,12,28,22,130,1610,460,2408,591,878,150,6093,0,0,6,0,0,0,11,0,0,0,0,0,0,0,7,5,15,4,10,0,38,5,0,3,3,0,0,15,0,0,14,11,10,0,35,0,0,10,5,3,0,21,18,8,98,38,44,11,208,20,9,104,30
POA2603,0,3,0,0,0,0,8,0,0,3,0,0,0,3,4,4,4,3,7,0,25,3,0,3,0,0,0,7,8,3,40,20,54,4,118,3,0,5,3,3,0,17,7,3,23,10,14,0,63,9,0,22,14,18,9,72,3,3,13,8,12,0,36,4,4,20,3,0,0,38,19,4,23,3,0,0,42,8,0,19,15,18,0,55,115,22,171,7,8,7,324,3,0,11,4,9,0,28,233,66,336,52,35,9,730,55,11,27,3,5,0,99,72,10,86,5,10,6,190,7,0,7,0,3,0,27,5,3,15,7,17,0,49,9,4,21,3,11,3,53,566,139,848,159,224,43,1987,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,6,0,0,0,12,3,0,8,0,0,0,10,4,3,10,8,7,0,32,0,0,3,0,0,0,7,3,3,29,8,20,3,69,3,0,22,10
POA2604,0,0,3,7,0,0,9,0,0,0,0,0,0,0,11,0,7,3,6,0,35,0,3,7,0,4,0,18,6,4,20,14,81,4,127,0,0,14,3,11,0,31,4,0,23,11,23,0,66,5,0,21,19,23,0,67,5,0,15,12,8,3,41,9,7,19,3,7,0,49,10,0,17,11,3,0,37,0,3,10,4,6,3,27,89,24,165,34,14,4,329,3,0,14,3,11,0,31,397,96,466,94,61,11,1129,60,13,42,7,14,0,131,33,16,44,10,16,3,121,3,0,13,7,7,0,35,9,3,14,7,17,0,55,8,5,18,8,12,3,50,652,173,933,257,326,45,2395,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,13,0,0,0,0,0,0,5,0,0,5,5,4,0,20,0,0,3,0,3,0,12,3,0,26,21,21,3,70,4,0,17,6
POA2605,0,0,7,3,0,0,8,0,0,0,0,0,0,3,10,0,16,7,9,0,41,0,0,3,4,3,0,10,3,0,22,15,72,4,121,9,4,4,7,3,0,21,4,0,21,6,20,0,54,3,0,23,15,26,0,65,4,4,17,4,11,0,44,4,3,22,6,6,0,35,3,4,23,8,3,0,40,0,3,18,8,6,3,37,101,32,147,22,10,7,312,5,0,8,4,11,0,33,271,64,324,60,52,6,775,76,10,49,4,9,0,144,76,11,118,18,17,6,239,3,0,22,4,8,0,35,12,3,20,5,17,0,61,14,3,23,0,7,8,51,588,146,882,192,277,42,2126,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,6,4,3,0,16,4,0,3,0,0,0,8,0,3,10,6,9,0,27,0,0,0,3,0,0,5,0,0,35,10,14,3,62,0,7,15,11
POA2606,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,21,9,16,0,49,4,3,4,0,3,0,16,5,0,31,11,89,3,132,3,0,8,0,3,0,19,14,3,33,12,29,3,95,9,0,26,31,31,4,101,10,3,16,4,8,3,51,8,0,17,3,10,0,37,7,4,6,6,5,0,32,4,0,10,8,9,0,28,47,12,91,20,4,4,185,6,4,24,12,12,0,59,174,66,264,63,52,4,619,33,18,34,10,8,0,115,81,13,143,41,23,10,307,3,3,12,3,3,0,21,3,0,14,15,17,3,51,7,3,16,3,10,3,47,411,135,765,252,338,46,1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,11,0,0,5,3,0,0,8,3,0,7,3,9,0,24,0,0,0,0,0,0,3,14,3,21,16,17,9,76,6,4,19,4
POA2607,0,0,3,0,3,0,10,0,0,0,0,4,0,6,3,0,8,10,33,0,57,0,0,10,7,6,0,27,0,0,34,29,138,7,212,0,0,11,7,13,0,31,6,3,40,24,41,7,129,4,0,32,20,36,3,100,6,3,14,8,18,5,57,4,6,14,3,7,0,31,17,0,19,7,7,0,54,5,3,6,16,9,0,35,88,25,162,38,18,5,339,6,5,23,9,18,0,58,245,77,314,94,75,18,822,59,16,64,21,17,0,176,61,14,107,36,25,7,253,8,0,3,9,5,0,28,11,3,19,7,32,0,67,8,7,19,11,22,10,70,545,155,903,361,521,65,2554,0,0,3,0,3,0,7,0,0,0,0,0,0,0,0,0,3,3,9,0,18,0,0,0,0,0,0,0,0,3,9,11,13,0,32,0,0,3,3,0,0,6,8,4,36,17,28,7,94,5,0,21,9
POA2609,0,0,3,0,4,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,3,3,6,0,0,0,0,21,0,27,0,0,0,0,0,0,4,0,0,0,0,3,0,3,0,0,5,0,3,0,8,0,0,0,3,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,5,0,0,0,0,3,0,3,3,4,10,6,6,3,27,0,0,0,0,6,0,4,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,7,0,6,0,0,3,3,7,3,13,6,4,24,18,87,11,143,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,3,0
POA2611,5,0,6,3,4,0,28,0,0,3,0,0,0,8,6,3,32,10,51,6,110,3,0,14,10,25,0,54,11,9,42,77,367,25,519,8,0,23,13,12,0,57,15,3,44,39,66,9,175,7,3,29,31,73,5,145,20,4,25,14,34,7,94,16,5,36,18,14,3,101,11,9,33,27,12,3,92,4,4,18,12,21,0,69,162,50,342,88,60,21,719,8,0,37,12,45,3,101,436,149,730,274,203,26,1825,139,46,148,28,47,3,417,90,27,135,46,59,3,359,3,3,23,11,23,0,65,7,4,31,14,84,3,145,13,3,38,23,34,14,126,972,322,1791,753,1237,143,5212,3,0,4,3,4,0,16,0,0,0,0,0,0,0,6,0,10,3,16,0,36,0,0,9,0,0,0,15,0,0,12,13,22,0,49,3,3,4,3,4,0,18,12,0,54,33,57,11,175,4,3,37,24
