POA_CODE_2016,F_AccomFoodS_Cert,F_AccomFoodS_ID_NS,F_AccomFoodS_ToT,F_TransPostWhse_PD,F_TransPostWhse_GD_GC,F_TransPostWhse_BD,F_TransPostWhse_AdD_D,F_TransPostWhse_Cert,F_TransPostWhse_ID_NS,F_TransPostWhse_ToT,F_InfoMedTelecom_PD,F_InfoMedTelecom_GD_GC,F_InfoMedTelecom_BD,F_InfoMedTelecom_AdD_D,F_InfoMedTelecom_Cert,F_InfoMedTelecom_ID_NS,F_InfoMedTelecom_ToT,F_FinInsurS_PD,F_FinInsurS_GD_GC,F_FinInsurS_BD,F_FinInsurS_AdD_D,F_FinInsurS_Cert,F_FinInsurS_ID_NS,F_FinInsurS_ToT,F_RentHirREserv_PD,F_RentHirREserv_GD_GC,F_RentHirREserv_BD,F_RentHirREserv_AdD_D,F_RentHirREserv_Cert,F_RentHirREserv_ID_NS,F_RentHirREserv_ToT,F_ProScieTechServ_PD,F_ProScieTechServ_GD_GC,F_ProScieTechServ_BD,F_ProScieTechServ_AdD_D,F_ProScieTechServ_Cert,F_ProScieTechServ_ID_NS,F_ProScieTechServ_ToT,F_AdminSupServ_PD,F_AdminSupServ_GD_GC,F_AdminSupServ_BD,F_AdminSupServ_AdD_D,F_AdminSupServ_Cert,F_AdminSupServ_ID_NS,F_AdminSupServ_ToT,F_PubAdmiSafety_PD,F_PubAdmiSafety_GD_GC,F_PubAdmiSafety_BD,F_PubAdmiSafety_AdD_D,F_PubAdmiSafety_Cert,F_PubAdmiSafety_ID_NS,F_PubAdmiSafety_ToT,F_EducTrain_PD,F_EducTrain_GD_GC,F_EducTrain_BD,F_EducTrain_AdD_D,F_EducTrain_Cert,F_EducTrain_ID_NS,F_EducTrain_ToT,F_HealthCareSocA_PD,F_HealthCareSocA_GD_GC,F_HealthCareSocA_BD,F_HealthCareSocA_AdD_D,F_HealthCareSocA_Cert,F_HealthCareSocA_ID_NS,F_HealthCareSocA_ToT,F_ArtRecServ_PD,F_ArtRecServ_GD_GC,F_ArtRecServ_BD,F_ArtRecServ_AdD_D,F_ArtRecServ_Cert,F_ArtRecServ_ID_NS,F_ArtRecServ_ToT,F_OthServ_PD,F_OthServ_GD_GC,F_OthServ_BD,F_OthServ_AdD_D,F_OthServ_Cert,F_OthServ_ID_NS,F_OthServ_ToT,F_ID_NS_PD,F_ID_NS_GD_GC,F_ID_NS_BD,F_ID_NS_AdD_D,F_ID_NS_Cert,F_ID_NS_ID_NS,F_ID_NS_ToT,F_ToT_PD,F_ToT_GD_GC,F_ToT_BD,F_ToT_AdD_D,F_ToT_Cert,F_ToT_ID_NS,F_ToT_ToT,P_AgriForestFish_PD,P_AgriForestFish_GD_GC,P_AgriForestFish_BD,P_AgriForestFish_AdD_D,P_AgriForestFish_Cert,P_AgriForestFish_ID_NS,P_AgriForestFish_ToT,P_Min_PD,P_Min_GD_GC,P_Min_BD,P_Min_AdD_D,P_Min_Cert,P_Min_ID_NS,P_Min_ToT,P_Mnfg_PD,P_Mnfg_GD_GC,P_Mnfg_BD,P_Mnfg_AdD_D,P_Mnfg_Cert,P_Mnfg_ID_NS,P_Mnfg_ToT,P_EGW_WS_PD,P_EGW_WS_GD_GC,P_EGW_WS_BD,P_EGW_WS_AdD_D,P_EGW_WS_Cert,P_EGW_WS_ID_NS,P_EGW_WS_ToT,P_Cnstn_PD,P_Cnstn_GD_GC,P_Cnstn_BD,P_Cnstn_AdD_D,P_Cnstn_Cert,P_Cnstn_ID_NS,P_Cnstn_ToT,P_WTrade_PD,P_WTrade_GD_GC,P_WTrade_BD,P_WTrade_AdD_D,P_WTrade_Cert,P_WTrade_ID_NS,P_WTrade_ToT,P_RTrade_PD,P_RTrade_GD_GC,P_RTrade_BD,P_RTrade_AdD_D,P_RTrade_Cert,P_RTrade_ID_NS,P_RTrade_ToT,P_AccomFoodS_PD,P_AccomFoodS_GD_GC,P_AccomFoodS_BD,P_AccomFoodS_AdD_D,P_AccomFoodS_Cert,P_AccomFoodS_ID_NS,P_AccomFoodS_ToT,P_TransPostWhse_PD,P_TransPostWhse_GD_GC,P_TransPostWhse_BD,P_TransPostWhse_AdD_D,P_TransPostWhse_Cert,P_TransPostWhse_ID_NS,P_TransPostWhse_ToT,P_InfoMedTelecom_PD,P_InfoMedTelecom_GD_GC,P_InfoMedTelecom_BD,P_InfoMedTelecom_AdD_D,P_InfoMedTelecom_Cert,P_InfoMedTelecom_ID_NS,P_InfoMedTelecom_ToT,P_FinInsurS_PD,P_FinInsurS_GD_GC,P_FinInsurS_BD,P_FinInsurS_AdD_D,P_FinInsurS_Cert,P_FinInsurS_ID_NS,P_FinInsurS_ToT,P_RentHirREserv_PD,P_RentHirREserv_GD_GC,P_RentHirREserv_BD,P_RentHirREserv_AdD_D,P_RentHirREserv_Cert,P_RentHirREserv_ID_NS,P_RentHirREserv_ToT,P_ProScieTechServ_PD,P_ProScieTechServ_GD_GC,P_ProScieTechServ_BD,P_ProScieTechServ_AdD_D,P_ProScieTechServ_Cert,P_ProScieTechServ_ID_NS,P_ProScieTechServ_ToT,P_AdminSupServ_PD,P_AdminSupServ_GD_GC,P_AdminSupServ_BD,P_AdminSupServ_AdD_D,P_AdminSupServ_Cert,P_AdminSupServ_ID_NS,P_AdminSupServ_ToT,P_PubAdmiSafety_PD,P_PubAdmiSafety_GD_GC,P_PubAdmiSafety_BD,P_PubAdmiSafety_AdD_D,P_PubAdmiSafety_Cert,P_PubAdmiSafety_ID_NS,P_PubAdmiSafety_ToT,P_EducTrain_PD
POA2600,11,0,34,3,0,3,0,0,0,7,3,6,15,3,0,0,29,3,0,6,7,4,0,24,3,0,6,5,3,0,22,53,17,92,11,9,3,191,8,0,11,5,3,0,22,188,85,242,46,32,3,589,77,27,64,13,13,0,186,67,22,104,22,8,10,235,10,3,20,3,0,0,31,8,3,12,5,7,0,38,5,0,12,3,3,3,22,424,179,630,145,105,27,1515,6,0,8,7,3,0,23,0,0,0,0,0,0,0,7,0,14,10,6,3,39,3,0,6,0,0,0,9,5,0,28,14,49,5,100,0,4,5,4,3,0,22,6,3,27,10,12,4,63,0,5,38,16,26,4,83,9,0,12,9,3,0,37,13,11,20,4,4,0,51,11,7,33,12,6,0,55,7,6,24,17,5,0,56,118,44,255,23,22,7,480,6,3,16,3,5,0,36,408,146,466,79,47,18,1161,129
POA2601,11,0,74,0,0,3,0,0,0,5,4,0,3,0,0,0,11,0,0,3,3,0,0,7,0,0,4,0,0,0,6,30,8,36,11,3,0,84,3,0,8,0,0,0,10,78,37,113,9,18,0,260,51,8,38,3,5,0,107,19,0,32,7,6,0,64,0,3,10,0,0,0,11,3,0,11,3,4,0,19,3,0,4,0,0,0,15,221,65,348,53,54,8,752,0,0,3,0,0,0,4,0,0,0,0,0,0,0,3,0,8,3,0,0,19,3,0,3,0,0,0,6,7,0,5,3,10,0,27,0,0,0,0,0,0,7,16,3,37,6,13,4,76,23,0,74,15,20,10,145,4,0,13,3,5,0,28,8,0,13,3,0,3,24,5,3,13,3,4,0,27,3,0,12,0,3,0,19,56,15,94,16,12,6,200,6,0,18,3,3,0,28,179,64,249,39,33,12,572,126
POA2602,67,6,240,7,3,11,0,6,4,29,23,22,80,12,4,4,145,10,11,34,3,15,5,70,3,3,17,6,12,0,47,175,86,318,44,36,12,661,22,19,68,30,23,7,164,684,258,1084,143,114,25,2313,428,128,387,63,58,12,1079,145,73,342,115,102,17,801,42,23,105,10,17,0,194,37,11,59,22,40,0,174,16,3,48,18,13,15,121,1658,663,2801,549,571,112,6363,0,0,14,5,0,3,31,4,0,0,0,0,0,4,16,12,44,24,37,4,132,20,0,22,5,7,3,62,8,3,87,52,229,22,395,3,4,24,14,17,5,65,40,11,165,62,84,20,385,41,15,206,96,166,19,549,20,9,48,31,36,6,142,45,33,172,22,38,3,307,24,16,75,16,18,0,155,7,3,38,12,25,4,90,451,147,760,110,98,18,1584,45,26,160,46,57,16,345,1354,478,2000,330,253,45,4468,810
POA2603,6,0,39,0,0,6,0,5,0,12,7,5,15,0,0,0,36,5,3,14,4,4,3,41,0,4,10,10,5,5,30,50,15,104,15,13,0,208,3,0,15,11,0,0,34,243,92,380,52,35,6,804,80,30,113,10,14,3,255,72,13,140,24,36,3,291,3,6,13,0,0,0,30,15,3,20,11,10,0,53,4,0,13,7,10,3,38,508,191,932,167,166,24,1993,0,3,3,0,0,0,10,0,0,3,0,0,0,3,9,4,10,5,7,3,38,6,0,6,0,0,0,18,10,7,46,25,58,3,153,7,0,14,3,5,0,27,15,4,53,16,38,3,132,8,0,41,24,27,10,107,6,4,20,8,16,0,47,14,10,41,3,3,0,69,19,5,34,11,8,3,82,8,3,30,25,22,4,93,166,39,278,26,12,5,527,7,0,24,13,11,0,59,473,165,716,100,77,14,1542,138
POA2604,11,0,48,4,0,6,3,4,0,21,7,6,20,3,0,0,40,10,3,13,0,0,0,31,3,0,7,3,4,0,20,61,29,132,23,15,0,257,3,4,17,3,16,0,47,335,126,491,93,68,13,1126,94,50,112,17,10,3,293,78,28,136,40,40,11,324,11,8,23,3,6,0,53,14,0,24,11,12,0,57,5,3,14,3,3,15,39,642,253,1075,233,214,45,2463,0,0,9,7,0,0,16,0,0,0,0,0,0,0,15,0,11,3,12,3,47,3,0,8,0,4,0,22,6,4,30,20,86,4,142,0,3,18,3,13,0,41,9,0,49,24,47,3,135,14,0,37,24,33,5,111,11,0,19,12,9,0,62,14,9,41,6,12,0,84,18,3,31,9,3,0,75,3,3,24,9,16,3,49,149,49,293,57,31,4,583,12,9,26,5,21,3,75,734,222,965,186,126,23,2255,152
POA2605,10,0,42,0,3,3,0,3,0,9,5,7,13,0,0,3,29,6,0,22,3,0,0,30,0,3,0,3,4,0,16,50,13,93,21,10,3,195,4,4,17,8,7,3,37,224,89,309,64,48,5,750,81,37,122,20,20,0,286,113,33,293,68,38,16,557,7,4,21,6,4,0,41,7,5,17,5,10,7,46,7,3,15,7,6,0,40,518,210,995,243,183,44,2202,0,0,6,3,3,0,12,0,0,0,0,0,0,3,13,0,21,8,13,0,59,3,0,7,4,3,0,20,4,4,36,18,82,4,144,4,4,6,7,5,0,31,3,3,54,13,34,7,116,3,8,39,27,35,0,108,4,5,16,5,14,0,53,7,12,32,6,6,4,64,9,4,42,12,3,0,69,5,6,23,14,12,3,50,149,43,237,41,20,12,504,12,3,27,8,18,0,69,492,157,633,124,98,12,1526,154
POA2606,15,4,46,0,3,5,3,3,0,14,3,4,12,0,4,0,18,0,0,14,3,3,0,21,0,0,12,8,3,0,22,31,8,54,16,15,0,129,3,3,22,8,4,3,51,138,70,285,77,52,3,633,33,25,73,19,16,0,159,90,34,348,77,53,14,619,8,3,7,4,13,0,33,10,0,14,12,13,0,50,0,0,13,3,7,9,29,343,159,917,273,228,43,1962,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,27,12,21,0,60,4,3,6,3,3,0,26,6,4,37,16,91,3,154,3,0,12,3,3,0,20,25,3,50,28,44,12,164,13,3,44,37,47,5,146,7,5,21,12,13,3,62,13,9,25,3,9,0,55,10,4,22,8,9,0,53,6,0,20,17,10,0,50,79,24,147,35,19,3,314,9,3,45,18,17,9,106,318,133,550,141,101,10,1254,67
POA2607,12,6,60,0,0,5,7,7,0,19,9,5,13,0,0,3,25,3,3,12,10,0,0,28,0,0,8,10,5,0,28,48,17,92,29,24,3,210,3,0,17,11,5,0,39,168,88,363,124,74,14,825,79,42,150,40,21,0,337,81,50,280,105,70,11,611,8,3,23,9,7,0,50,10,0,18,15,37,3,81,5,5,15,11,5,4,47,426,216,1083,412,327,57,2520,0,0,5,0,5,0,13,0,0,0,0,4,0,6,7,0,8,11,42,0,74,0,0,14,7,6,0,33,3,4,44,35,154,9,246,0,0,10,11,19,0,41,13,7,83,39,68,11,223,11,0,56,30,54,11,165,6,5,24,17,20,3,76,11,9,23,6,4,3,56,23,3,31,17,9,0,79,8,3,18,23,13,0,63,134,42,258,70,35,8,543,7,4,39,21,24,3,94,415,164,673,219,148,27,1648,137
POA2609,0,3,4,0,0,0,0,4,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,6,0,0,11,3,3,0,19,4,0,4,3,3,0,9,0,0,4,0,0,3,14,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,23,13,29,5,82,0,0,5,0,3,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,3,3,7,0,0,0,0,22,0,28,0,0,0,0,0,0,3,0,0,0,0,6,0,12,0,0,9,0,3,3,14,0,0,0,3,9,0,15,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,6,0,6,0,0,3,0,4,0,11,6,4,16,6,9,5,47,9
POA2611,29,4,99,0,3,21,5,13,0,47,9,3,33,9,10,3,68,7,3,45,17,17,0,94,4,3,17,21,22,4,63,85,49,219,68,45,9,466,10,4,37,22,33,3,112,363,239,808,267,197,27,1901,183,123,371,92,72,13,847,148,88,459,157,157,31,1044,18,11,33,10,19,0,89,10,8,43,43,47,5,159,15,0,18,8,8,12,60,896,545,2229,811,764,120,5355,12,3,9,3,9,0,43,0,0,3,0,0,0,8,10,4,40,19,64,3,142,3,0,23,9,25,0,68,11,8,53,87,383,26,569,5,3,31,17,15,0,73,34,3,99,67,128,20,348,13,3,65,56,110,10,250,17,10,44,17,45,10,141,22,16,68,27,24,7,169,22,10,76,48,32,3,183,13,5,31,38,45,3,136,248,95,559,157,99,29,1188,19,3,71,40,75,3,209,804,390,1536,539,402,51,3729,330
