POA_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
POA2600,36,93,12,16,3,293,122,35,168,26,14,16,377,9,6,25,9,4,0,51,19,9,27,3,11,4,72,15,0,13,4,8,7,53,904,315,1274,268,241,68,3066
POA2601,11,82,3,5,4,236,38,4,56,6,6,0,107,3,0,12,0,3,0,22,3,0,23,0,4,0,34,8,3,16,0,3,0,29,493,113,722,117,122,38,1608
POA2602,202,595,87,89,22,1797,204,89,467,148,139,29,1073,77,36,157,26,36,0,331,54,23,94,28,88,6,292,49,11,92,25,40,40,253,3266,1120,5206,1140,1452,267,12455
POA2603,40,142,18,18,3,359,146,27,225,28,41,5,477,6,7,21,7,3,0,50,23,5,40,13,28,0,105,15,4,39,11,20,6,87,1076,334,1781,333,391,70,3979
POA2604,59,155,27,23,6,423,108,38,183,49,54,13,445,17,8,41,11,9,0,83,19,3,39,19,32,3,110,16,6,33,14,14,18,91,1291,421,2009,493,540,95,4857
POA2605,49,168,23,25,4,425,188,47,406,89,53,17,794,8,3,42,9,13,0,73,22,4,37,18,27,7,107,18,7,34,11,14,6,93,1113,352,1881,435,465,83,4329
POA2606,47,111,29,22,0,274,171,43,495,121,79,24,931,8,5,17,7,16,0,56,13,0,26,24,32,6,94,6,0,30,9,16,9,73,758,298,1677,527,564,89,3915
POA2607,56,215,60,39,0,506,144,64,388,147,97,22,862,13,3,24,12,20,0,75,21,3,41,23,71,5,155,12,7,41,20,27,15,115,968,371,1986,769,852,125,5071
POA2609,0,4,3,12,0,19,0,0,6,0,4,3,14,0,0,0,0,3,0,7,0,0,0,0,7,0,9,0,0,3,3,5,3,17,13,3,54,28,113,18,224
POA2611,171,521,121,117,13,1265,237,113,594,209,219,41,1406,22,14,52,23,38,3,154,17,7,74,56,130,11,300,29,0,62,28,41,24,186,1863,865,4014,1564,2001,260,10569
POA2612,55,270,25,24,11,741,111,44,178,47,23,9,419,30,7,60,9,13,4,118,28,0,58,23,36,3,147,26,3,50,17,15,15,121,1888,584,3188,590,726,128,7105
POA2614,133,423,72,68,21,1110,124,63,334,114,118,15,771,23,8,58,17,21,0,117,26,10,56,26,59,4,186,19,0,54,16,30,27,150,1560,631,2735,838,1153,154,7081
POA2615,214,751,232,279,36,1915,181,120,645,378,458,50,1831,30,14,73,38,81,5,247,28,10,79,93,332,19,556,21,11,75,55,126,57,337,1861,877,4646,2620,4768,410,15180
POA2617,176,647,156,154,28,1624,185,89,556,206,226,38,1306,28,8,98,32,49,4,221,34,19,74,52,153,10,345,44,9,80,34,69,34,270,2390,848,4705,1656,2474,318,12387
POA2618,12,17,5,7,0,47,3,0,14,7,8,0,43,0,0,4,0,0,3,4,0,0,4,0,7,0,17,0,0,4,0,3,0,9,56,28,156,67,183,24,509
