POA_CODE_2016,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
POA2600,0,0,0,3,3,0,4,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,8,9,10,4,3,0,0,39,0,0,0,0,0,0,0,0,0,5,8,8,21,22,29,22,8,0,0,113,0,3,0,4,3,3,0,0,0,14,12,12,12,7,12,9,5,0,0,70,18,15,29,16,17,3,3,0,0,105,0,0,4,12,7,7,10,0,0,39,0,0,4,9,5,8,3,0,0,25,0,0,3,5,6,7,8,3,0,36,0,0,6,5,7,11,9,0,0,39,0,14,58,62,84,60,27,9,0,312,0,0,3,6,5,4,0,0,0,18,3,19,147,153,178,102,36,3,0,649,5,13,15,21,17,27,20,3,0,117,3,4,21,37,40,37,15,3,0,160,3,0,7,6,8,3,3,0,0,29,0,0,7,6,15,8,3,0,0,44,0,0,9,7,11,5,3,3,0,29
POA2601,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,13,3,0,3,0,0,0,0,0,0,6,0,7,10,4,3,3,0,0,0,26,0,3,0,0,3,0,0,0,0,7,26,40,9,5,0,0,0,0,0,78,45,97,44,13,5,0,0,0,0,197,0,6,19,3,0,3,0,0,0,28,0,3,10,3,0,0,0,0,0,16,0,6,14,5,3,3,0,0,0,29,3,0,3,0,0,3,0,0,0,11,5,28,67,21,14,10,0,0,0,149,3,4,7,3,3,0,0,0,0,25,4,29,174,68,52,34,3,0,0,362,18,63,66,20,10,11,3,0,0,187,3,6,26,6,0,11,0,0,0,56,10,7,7,3,0,0,3,0,0,28,7,9,6,3,6,0,0,0,0,36,3,11,10,0,4,0,0,0,0,31
POA2602,3,3,7,7,7,3,0,0,0,24,0,0,0,0,0,0,0,0,0,4,7,12,30,31,24,13,3,3,0,128,0,0,11,20,13,7,0,0,0,55,25,76,128,114,76,63,11,0,0,488,3,3,17,21,15,7,0,0,0,70,55,101,111,44,45,19,13,0,0,377,108,196,199,77,32,23,7,0,0,639,4,15,38,32,47,23,11,0,0,184,3,28,61,54,55,21,4,3,0,229,0,9,25,27,18,14,0,0,0,95,4,8,18,16,11,8,5,0,0,68,3,91,274,277,234,126,37,0,0,1046,5,23,104,63,37,25,7,0,0,258,9,112,676,648,628,286,36,4,0,2393,27,59,189,197,166,127,41,7,0,813,3,43,86,74,62,44,6,3,0,328,18,38,39,33,38,25,5,0,0,193,4,22,40,30,37,17,12,0,0,160,15,30,59,46,47,16,8,4,0,223
POA2603,0,0,0,0,4,0,3,3,0,10,0,0,0,0,0,0,0,0,0,3,3,6,5,4,5,13,0,3,0,32,0,0,0,0,3,0,0,0,0,11,4,11,38,34,38,24,8,3,0,164,0,3,8,6,10,9,0,0,0,29,17,22,26,16,28,11,5,3,0,129,28,41,31,20,25,9,0,0,0,160,0,3,9,5,13,16,5,0,0,50,0,4,13,11,12,5,0,0,0,46,0,4,5,14,15,5,5,4,0,55,0,6,15,4,25,13,16,0,0,83,3,22,73,72,93,67,31,3,0,360,3,0,8,7,6,7,4,0,0,38,0,37,220,161,228,127,27,3,0,799,4,10,24,26,31,16,15,0,0,121,10,8,30,45,60,45,21,0,0,218,9,5,7,4,6,4,5,0,0,35,0,6,18,8,11,16,6,0,0,59,3,7,9,8,11,14,5,4,3,67
POA2604,0,0,0,0,3,5,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,12,6,12,4,7,0,0,39,0,0,7,3,0,7,0,0,0,19,5,17,54,33,38,17,6,3,0,171,0,3,13,8,9,5,3,0,0,46,16,19,32,19,20,13,5,0,0,119,26,43,50,23,15,12,0,0,0,155,0,4,19,13,19,7,3,0,0,61,0,3,10,10,16,14,3,0,0,61,0,3,15,11,7,12,3,0,0,48,0,0,17,8,10,8,0,0,0,38,0,17,128,92,68,46,10,0,0,371,4,7,9,11,5,11,0,0,0,48,0,50,495,295,229,153,16,0,0,1239,6,12,41,28,37,26,5,0,0,155,4,10,34,39,29,19,3,3,0,136,4,11,4,9,5,10,3,0,0,43,0,8,11,12,10,17,5,0,0,69,0,9,16,14,8,10,5,0,0,77
POA2605,0,0,0,0,3,0,3,0,0,9,0,0,0,0,0,0,0,0,0,3,7,3,5,11,11,5,3,3,0,52,0,0,3,5,7,4,0,0,0,14,5,13,42,28,35,18,4,0,0,160,0,0,5,7,11,3,0,0,0,36,44,36,15,9,18,15,0,0,0,143,52,35,32,21,11,5,5,0,0,164,0,3,12,24,15,17,5,0,0,71,0,5,11,3,11,10,3,0,0,50,0,0,11,9,13,12,0,0,0,46,3,6,9,11,7,7,3,0,0,49,0,13,54,100,99,55,20,4,0,350,3,3,16,11,10,10,6,0,0,52,0,20,119,233,297,170,25,0,0,867,7,6,23,29,37,39,14,0,0,156,4,10,65,82,63,31,10,3,0,260,6,6,6,6,9,3,3,3,0,51,3,5,13,13,13,13,10,0,0,70,3,0,17,24,18,12,3,0,0,70
POA2606,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,7,18,19,12,0,7,0,0,58,0,0,8,3,3,3,0,0,0,16,9,35,53,39,30,19,9,4,0,198,0,0,6,4,10,3,0,0,0,29,9,38,54,33,25,6,0,3,0,172,27,35,74,33,13,0,0,0,0,193,0,4,24,21,16,11,0,3,0,77,0,5,12,6,11,0,0,0,0,46,0,0,13,10,3,5,0,0,0,34,3,3,6,3,13,3,3,3,0,38,3,14,72,50,45,28,12,0,0,222,0,3,18,31,16,5,3,0,0,69,4,28,207,187,180,98,24,0,0,728,3,10,32,26,24,23,5,3,0,125,0,14,155,77,42,33,7,3,0,330,8,3,13,5,8,3,3,0,0,38,0,15,19,12,6,11,3,0,0,69,0,8,20,19,7,8,4,0,0,71
POA2607,0,3,3,0,3,0,4,0,0,15,0,0,0,0,0,0,0,0,0,6,0,10,10,12,24,12,3,3,0,72,0,7,3,8,9,5,0,0,0,30,11,42,64,60,65,36,8,0,0,299,0,0,11,9,9,3,8,0,0,53,45,50,59,46,29,28,12,5,0,274,86,59,50,25,22,10,9,0,0,271,3,0,21,27,19,20,5,0,0,99,0,8,6,9,12,7,3,3,0,49,0,6,15,19,16,7,3,0,0,61,0,3,7,8,22,6,3,0,0,50,5,23,54,97,97,89,20,4,0,389,3,11,18,16,15,11,4,0,0,82,9,21,143,224,301,213,35,3,0,954,12,12,28,39,49,36,19,0,0,200,3,14,78,67,70,41,13,0,0,296,16,4,7,6,11,3,3,0,0,56,3,13,13,9,28,9,9,3,0,87,0,3,29,20,21,17,11,0,0,95
POA2609,0,0,0,0,6,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,9,0,0,0,0,6,0,0,0,0,9,0,3,9,4,18,14,0,0,0,51,0,0,0,0,0,0,0,0,0,4,0,3,0,3,0,0,0,0,0,7,4,3,6,0,3,0,0,0,0,19,0,0,0,4,10,3,0,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,5,0,0,3,3,4,0,0,0,0,10,0,4,9,9,9,3,3,0,0,40,0,0,0,0,3,4,0,0,0,11,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,3,0,0,15,0,0,0,0,9,3,3,0,0,22
POA2611,0,3,4,3,7,5,8,3,0,34,0,0,0,3,3,0,0,0,0,8,3,12,33,34,37,19,9,0,0,148,3,3,15,28,20,3,0,0,0,75,28,83,201,164,131,67,25,3,0,717,0,9,19,25,21,12,8,0,0,92,64,80,85,67,55,26,18,3,0,389,98,84,74,55,21,9,4,0,0,350,4,10,32,44,42,37,18,0,0,190,8,10,32,48,29,13,3,0,0,137,0,3,29,33,27,13,5,0,0,111,0,5,25,20,16,12,9,0,0,90,11,37,210,243,173,106,47,4,0,834,4,18,29,41,25,29,8,0,0,155,8,55,443,686,608,276,63,3,0,2135,11,20,99,123,115,73,21,3,0,460,9,27,98,123,79,80,20,3,0,436,19,16,21,19,19,5,4,0,0,105,10,16,35,30,41,33,14,4,0,175,13,16,41,48,43,19,5,4,0,180
