POA_CODE_2016,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
POA2600,55,100,365,377,452,324,157,31,3,1868,0,0,0,0,3,0,5,0,0,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,0,0,17,0,0,3,0,0,0,0,0,0,4,0,0,3,4,5,3,4,0,0,17,0,0,0,0,8,3,3,0,0,16,20,15,10,7,21,6,0,0,0,87,24,23,5,11,8,6,0,0,0,76,0,0,0,3,0,0,0,0,0,6,0,3,6,6,3,11,3,0,0,35,0,4,3,3,5,7,3,0,0,29,0,4,5,0,3,4,5,0,0,27,0,9,39,57,50,34,18,0,0,214,0,0,3,6,13,7,3,0,0,37,0,35,192,149,164,85,7,0,0,643,12,11,22,37,61,56,22,0,0,216,7,16,49,50,70,63,17,0,0,259,5,8,12,3,7,7,3,0,0,45,0,7,3,5,11,6,0,0,0,40
POA2601,127,318,477,180,108,81,19,4,0,1314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,11,0,0,3,0,0,0,0,0,0,3,0,3,4,0,0,0,0,0,0,11,0,7,0,0,0,0,0,0,0,11,61,79,24,0,0,4,0,0,0,170,109,103,41,6,3,0,0,0,0,264,0,0,3,0,0,0,0,0,0,6,6,7,8,0,3,0,0,0,0,20,3,3,4,3,0,0,0,0,0,14,3,3,3,0,0,0,0,0,0,13,8,37,47,16,11,4,0,0,0,126,0,3,8,0,0,3,0,0,0,20,4,38,152,42,39,19,0,0,0,301,50,54,50,19,16,7,0,0,0,194,10,12,35,3,10,5,0,0,0,86,6,11,7,3,0,0,0,0,0,35,7,23,5,0,3,0,0,0,0,42
POA2602,288,867,2116,1805,1592,859,207,28,3,7773,0,0,7,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,22,7,11,11,14,6,3,0,0,78,0,0,4,5,3,3,0,0,0,18,4,9,8,8,16,6,4,0,0,51,0,5,7,6,8,3,0,0,0,28,86,136,85,54,55,36,3,0,0,449,115,184,136,54,23,18,7,0,0,533,0,5,16,9,17,4,4,0,0,59,9,28,51,40,42,14,7,0,0,189,3,14,23,18,19,11,3,0,0,95,8,11,12,19,13,16,0,0,0,77,3,106,238,180,150,79,15,0,0,773,3,20,98,59,43,18,3,0,0,248,0,134,728,777,619,244,21,3,0,2533,27,120,284,271,303,184,41,0,0,1220,16,132,225,191,195,151,26,0,0,934,7,42,60,46,51,33,5,0,0,243,11,29,58,54,44,26,7,0,0,222
POA2603,88,202,523,440,613,397,161,26,3,2463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,6,0,0,0,18,0,0,5,6,0,0,0,0,0,10,0,0,5,10,15,3,3,0,0,41,0,0,0,0,4,3,0,0,0,11,23,21,9,17,24,16,14,0,0,130,30,23,18,8,14,3,0,0,0,102,0,0,9,3,6,0,0,0,0,17,0,3,18,6,5,9,0,0,0,42,0,4,6,16,8,3,0,0,0,43,0,0,5,11,10,8,10,6,0,48,0,10,50,57,53,33,10,0,0,218,0,0,6,13,9,4,0,0,0,40,0,48,286,181,207,138,15,0,0,871,15,15,47,50,75,53,22,4,0,279,6,26,64,72,88,51,9,0,0,317,6,3,6,8,5,4,4,0,0,35,0,3,20,18,12,7,6,0,0,64
POA2604,66,221,974,640,536,378,93,10,0,2912,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,3,6,0,0,28,0,0,0,3,0,0,0,0,0,6,0,0,4,3,9,0,0,0,0,21,3,3,3,7,6,0,0,0,0,20,35,37,24,15,22,22,0,0,0,149,27,27,32,7,8,17,0,0,0,124,0,0,4,4,5,3,0,0,0,19,0,4,15,11,3,4,0,0,0,45,0,4,16,3,8,11,0,0,0,44,0,0,11,7,11,9,0,0,0,35,0,31,96,70,40,33,8,0,0,281,0,3,11,16,16,13,0,0,0,59,3,62,529,301,239,100,14,0,0,1242,3,13,92,60,80,45,12,0,0,310,6,39,125,68,76,47,9,0,0,363,0,3,21,18,9,9,3,0,0,57,0,4,24,19,9,14,0,0,0,74
POA2605,142,176,434,636,692,421,123,13,0,2645,0,0,3,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,3,0,3,0,25,0,0,0,4,3,0,0,0,0,8,0,0,3,7,12,6,4,0,0,32,0,3,0,3,0,0,0,0,0,8,46,25,16,25,14,12,4,0,0,148,61,38,13,11,12,7,0,0,0,147,7,0,0,3,6,3,0,0,0,18,5,4,3,6,6,7,4,0,0,43,0,0,3,14,8,4,3,0,0,42,0,3,7,3,7,11,0,0,0,33,0,14,49,59,67,20,3,0,0,215,0,5,5,9,24,12,0,0,0,54,3,24,145,257,290,123,10,0,0,844,11,15,30,65,93,82,16,3,0,314,9,50,161,146,134,97,22,0,0,619,4,12,8,5,11,6,3,0,0,44,8,4,4,16,18,13,5,0,0,67
POA2606,69,209,807,588,458,273,84,18,0,2512,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,3,10,0,0,0,0,23,0,0,3,3,0,0,0,0,0,8,0,0,3,11,8,3,0,0,0,29,0,0,0,0,3,0,0,0,0,6,24,33,37,19,16,6,8,0,0,144,20,27,32,20,8,0,4,0,0,110,0,0,7,7,3,0,0,0,0,26,0,3,4,6,8,0,3,0,0,25,0,0,12,5,3,0,0,0,0,27,0,0,5,3,6,3,8,4,0,36,0,14,50,27,24,26,6,0,0,148,3,4,36,11,7,7,3,0,0,75,0,46,237,183,190,72,9,0,0,725,3,15,50,27,52,27,10,0,0,183,7,54,298,160,90,61,11,3,0,682,5,0,10,11,6,5,0,0,0,41,3,9,16,17,10,11,0,0,0,68
POA2607,198,293,622,725,817,561,174,28,0,3421,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,3,8,0,0,0,0,0,28,0,0,3,0,0,0,0,0,0,0,0,5,6,7,13,8,3,0,0,44,0,3,4,4,4,0,0,0,0,14,53,34,43,31,19,19,8,0,0,209,69,50,26,18,20,9,0,0,0,188,0,3,3,12,6,4,3,0,0,33,3,3,4,5,17,8,3,0,0,35,0,0,8,7,11,3,0,0,0,38,3,4,4,4,7,13,3,0,0,43,7,26,52,58,61,40,7,0,0,257,0,3,13,11,18,4,5,0,0,59,7,44,161,294,339,149,30,0,0,1018,12,24,45,82,101,75,22,3,0,367,12,53,143,170,155,110,31,0,0,677,14,5,3,9,19,10,7,0,0,73,7,15,16,18,30,16,9,0,0,109
POA2609,8,21,38,32,73,43,20,0,0,234,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,3,8,3,4,3,0,0,0,18,0,0,3,3,3,3,0,0,0,16,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,3,0,6,3,0,0,11,0,0,5,10,5,4,0,0,0,23,0,0,0,5,3,3,0,0,0,12,0,3,3,3,4,7,0,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4
POA2611,296,499,1523,1841,1509,840,290,34,3,6834,0,3,3,5,4,8,0,0,0,25,0,0,0,0,0,0,0,0,0,0,14,7,11,7,13,7,5,0,0,60,0,0,6,14,3,0,0,0,0,28,0,11,21,30,20,6,4,0,0,83,0,3,5,0,13,4,0,0,0,27,93,71,82,60,54,40,19,6,0,416,126,68,48,36,24,10,3,0,0,319,0,5,13,31,12,14,4,0,0,79,10,9,19,25,18,13,3,0,0,89,4,12,44,23,22,10,3,0,0,118,0,14,22,31,20,9,3,3,0,102,3,41,154,161,104,61,20,3,0,551,0,8,35,41,33,20,15,0,0,157,5,73,576,784,577,254,44,3,0,2316,26,44,215,244,228,153,36,4,0,946,23,118,305,264,253,194,58,3,0,1219,12,13,31,20,21,16,5,0,0,121,12,21,44,52,46,23,11,0,0,205
