POA_CODE_2016,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
POA2600,0,3,8,3,9,8,0,0,0,25,82,123,362,354,453,318,100,14,0,1798,0,0,3,0,5,0,11,5,0,24,0,0,0,0,0,0,0,0,0,3,4,0,6,9,14,4,8,0,0,50,0,0,3,3,0,0,0,0,0,8,8,8,23,28,35,25,9,0,0,132,0,3,0,3,11,5,7,0,0,31,30,25,23,14,27,21,3,3,0,156,42,34,35,28,28,8,3,0,0,176,0,0,3,10,11,11,11,0,0,46,0,4,12,14,9,13,3,0,0,60,0,4,13,8,12,18,11,4,0,62,0,3,10,8,10,17,19,4,0,74,0,22,97,114,131,95,45,12,0,525,0,3,7,10,17,11,3,0,0,57,3,58,341,304,342,189,48,9,0,1295,20,23,41,51,82,82,37,3,0,334,11,15,68,83,106,99,35,3,0,417,7,6,18,10,17,7,3,4,0,67
POA2601,10,6,6,0,0,0,0,0,0,25,289,396,408,100,89,53,9,0,3,1351,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,6,8,6,0,0,0,0,0,28,3,0,8,0,0,0,0,0,0,11,7,4,12,4,4,3,3,0,0,39,0,8,3,0,3,0,0,0,0,20,85,119,32,5,3,4,0,0,0,250,155,199,86,11,7,3,0,0,0,466,0,5,22,3,0,6,0,0,0,38,8,12,12,6,0,0,0,0,0,42,3,11,17,10,3,4,0,0,0,47,3,3,9,3,3,3,0,0,0,27,14,66,119,37,26,17,3,0,0,282,3,12,15,3,4,4,0,0,0,44,6,62,330,112,95,50,3,0,0,661,69,116,118,38,25,16,3,0,0,387,14,20,62,14,16,16,0,0,0,139,21,17,15,6,0,4,3,0,0,62
POA2602,8,18,39,37,27,24,4,0,3,157,320,1005,2077,1843,1630,873,150,15,3,7907,3,3,15,9,6,0,3,0,0,40,0,0,3,0,0,0,0,0,0,7,31,19,41,44,37,24,5,3,0,203,0,0,17,22,11,10,0,0,0,73,29,78,134,124,94,69,12,0,0,543,3,9,22,30,22,14,0,0,0,99,140,236,190,92,94,55,15,0,0,825,217,386,331,128,58,42,12,0,0,1172,4,24,54,43,58,28,17,4,0,236,10,48,110,95,95,40,11,5,0,415,3,27,54,46,38,22,3,0,0,190,12,19,26,36,27,24,6,0,0,140,13,201,514,459,382,200,53,3,0,1816,4,44,201,122,81,42,5,0,0,503,11,245,1408,1430,1248,529,58,4,0,4926,54,180,474,467,467,313,75,12,0,2030,19,175,312,266,256,195,36,3,0,1264,20,79,100,74,92,61,16,0,0,440
POA2603,0,7,8,10,14,12,3,0,3,52,93,185,567,477,555,361,90,15,5,2346,0,0,0,0,3,0,3,0,0,12,0,0,0,0,0,0,0,0,0,3,4,6,8,7,8,19,3,3,0,50,0,3,4,6,7,0,0,0,0,24,6,19,42,43,50,25,8,3,0,199,0,3,6,5,10,5,0,0,0,41,35,37,32,37,60,31,16,3,0,254,64,67,50,26,35,17,4,0,0,260,0,3,13,9,18,18,9,0,0,65,3,3,30,11,18,12,0,0,0,79,3,10,15,29,21,12,8,8,0,97,0,8,17,19,35,25,20,3,0,133,3,41,128,126,146,100,40,8,0,580,3,4,13,17,18,15,5,0,0,80,3,88,502,340,433,265,45,3,0,1672,19,29,70,73,105,72,32,0,0,408,14,33,93,115,152,97,29,0,0,528,12,11,13,11,16,10,8,0,0,73
POA2604,3,3,15,11,16,4,5,3,0,54,89,232,1036,630,562,327,67,10,4,2943,0,0,0,4,3,5,3,3,3,19,0,0,0,0,0,0,0,0,0,0,7,4,12,13,16,5,5,0,0,65,0,3,7,5,5,6,0,0,0,27,5,17,61,41,43,13,12,3,0,193,3,3,20,11,14,6,4,0,0,60,57,55,53,31,37,31,8,0,0,272,53,70,82,31,28,25,0,0,0,281,0,6,28,17,23,12,3,0,0,86,0,7,32,19,27,18,3,0,0,107,0,7,31,16,14,19,3,0,0,91,0,3,25,10,19,14,0,0,0,71,0,45,231,159,110,78,20,3,0,644,4,9,20,31,26,22,4,0,0,114,5,108,1024,594,467,256,33,0,0,2485,9,25,131,88,119,74,20,4,0,460,11,43,162,110,103,60,14,3,0,502,4,13,30,25,16,17,3,0,0,105
POA2605,3,8,8,12,18,0,0,3,0,53,163,202,470,650,732,419,75,14,3,2725,0,0,4,0,8,3,3,0,0,21,0,0,0,0,0,0,0,0,0,3,12,8,11,19,14,12,6,5,0,82,0,0,3,8,8,4,0,0,0,15,3,15,47,37,48,27,12,0,0,190,0,5,5,9,9,4,3,0,0,43,95,56,29,36,34,28,4,3,0,294,110,76,40,38,24,8,5,0,0,308,4,4,12,26,19,20,5,0,0,87,6,14,11,11,24,15,8,0,0,90,0,0,14,24,24,13,7,0,0,81,0,10,13,17,13,12,6,0,0,78,3,28,98,162,164,76,23,3,0,564,5,5,15,19,33,14,4,0,0,106,4,48,261,489,587,289,34,0,0,1706,17,18,54,91,135,120,28,3,0,470,9,57,229,224,192,129,32,3,0,873,9,13,15,17,21,10,4,3,0,95
POA2606,0,0,15,11,8,3,0,0,0,41,77,220,829,517,455,225,74,8,0,2407,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,5,7,25,19,17,0,7,0,0,79,0,0,12,6,4,4,0,0,0,26,9,32,58,53,33,22,7,4,0,225,0,0,6,8,12,3,0,0,0,37,37,71,95,52,39,19,9,3,0,320,56,63,104,51,23,3,5,0,0,304,0,4,34,25,19,10,4,3,0,97,0,7,19,14,21,3,5,0,0,75,0,0,21,21,10,5,0,0,0,62,3,6,16,8,16,4,14,6,0,77,3,32,124,84,67,48,17,0,0,374,3,9,51,39,24,14,4,0,0,144,8,69,441,370,369,171,28,0,0,1457,3,27,77,53,75,52,16,3,0,315,7,64,456,230,135,93,22,4,0,1018,12,3,22,14,9,10,6,0,0,80
POA2607,9,8,18,11,23,10,3,0,0,79,206,295,547,765,848,479,126,8,0,3276,0,3,3,4,3,0,3,3,0,26,0,0,0,0,0,0,0,0,0,6,10,8,15,20,24,11,5,3,0,100,0,7,7,8,9,3,0,0,0,38,19,45,66,75,83,44,13,0,0,341,0,5,15,13,14,3,8,0,0,61,100,83,100,83,51,45,14,5,0,479,152,112,77,49,45,16,12,0,0,461,0,3,25,30,25,28,9,0,0,129,7,13,10,11,30,10,7,3,0,82,0,8,20,26,28,8,4,0,0,92,3,9,10,18,27,20,4,0,0,94,12,53,109,154,157,132,29,6,0,646,3,10,29,30,35,19,13,0,0,137,9,68,302,518,638,367,62,3,0,1969,25,37,74,122,147,109,41,3,0,563,18,68,224,238,226,153,42,3,0,968,27,14,12,20,25,14,7,0,0,127
POA2609,0,0,0,0,0,0,0,0,0,3,3,13,27,28,29,27,9,3,0,141,0,0,0,0,6,3,7,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,9,0,0,0,0,6,0,0,0,0,9,0,3,9,4,19,14,0,0,0,51,0,0,0,4,0,3,0,0,0,4,0,4,8,3,5,3,3,0,0,27,3,7,6,4,5,4,3,0,0,28,0,0,3,7,12,3,0,0,0,28,0,0,3,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,4,0,0,0,0,7,0,3,0,0,11,0,0,3,5,5,6,3,0,0,21,4,4,13,16,18,6,3,0,0,61,0,3,0,5,3,11,0,0,0,18,0,3,4,6,4,9,0,0,0,25,0,0,0,0,0,3,0,0,0,3
POA2611,10,17,25,20,16,16,11,0,0,112,357,524,1662,1854,1470,837,235,23,3,6968,0,3,8,9,11,13,8,4,0,55,0,0,0,0,3,0,0,0,0,6,18,20,47,45,43,25,16,0,0,209,3,3,28,44,20,7,0,0,0,104,29,94,223,190,152,76,33,5,0,794,0,14,26,25,32,12,8,0,0,122,159,151,162,126,110,66,35,9,0,806,224,148,121,95,45,23,6,0,0,674,7,13,41,76,60,53,24,0,0,267,17,16,44,67,47,23,4,0,0,225,4,17,77,59,50,24,6,0,0,233,3,22,45,58,38,18,12,6,0,194,15,78,364,403,282,162,66,5,0,1381,11,24,68,78,58,46,26,0,0,312,13,124,1017,1472,1185,523,106,7,0,4453,37,58,314,371,338,226,57,8,0,1412,32,143,404,388,326,268,82,6,0,1652,33,30,52,44,39,23,17,0,0,228
