POA_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA2600,0,9,13,14,28,10,3,0,0,84,0,3,9,9,17,14,3,4,0,56,131,223,725,730,907,635,256,51,3,3664
POA2601,11,36,19,3,12,3,0,0,0,81,9,21,15,3,4,0,0,0,0,62,422,722,886,275,193,134,22,4,4,2668
POA2602,16,48,102,87,77,37,16,0,0,379,17,52,100,83,74,40,16,4,0,378,607,1868,4201,3644,3220,1734,358,46,6,15679
POA2603,0,9,31,24,19,22,11,0,0,124,5,18,15,19,29,23,6,4,3,116,185,385,1093,922,1173,762,253,45,8,4815
POA2604,0,10,40,35,20,28,4,0,0,144,5,12,29,23,26,15,13,3,0,133,148,448,2011,1262,1094,707,159,18,3,5858
POA2605,6,11,21,29,33,24,11,0,0,140,3,9,26,33,31,14,4,3,0,122,306,384,904,1291,1423,839,201,27,3,5371
POA2606,8,21,35,32,17,19,7,0,0,133,0,8,32,28,16,12,3,0,0,109,151,427,1632,1098,916,500,156,31,4,4918
POA2607,4,28,28,33,52,27,12,3,0,196,9,10,38,33,40,21,9,3,0,173,408,593,1166,1489,1664,1037,304,35,0,6701
POA2609,0,0,0,3,5,0,4,0,0,16,0,0,0,0,14,4,3,0,0,20,15,33,60,62,99,73,36,4,0,375
POA2611,26,36,75,84,82,51,20,4,0,383,17,28,68,65,53,30,18,6,0,292,649,1024,3187,3699,2980,1672,531,61,5,13801
POA2612,5,44,70,25,30,15,7,0,0,194,7,41,76,30,21,12,5,0,0,192,581,1903,3530,1444,1163,715,184,30,4,9553
POA2614,9,28,66,48,58,29,8,5,0,254,11,25,51,49,52,20,17,9,0,231,420,845,1967,2276,2077,1136,337,65,4,9129
POA2615,34,82,182,181,141,97,28,0,0,751,42,77,134,149,88,62,23,3,5,582,1140,1943,5396,5825,4348,2728,657,39,8,22086
POA2617,30,99,104,108,73,51,19,0,0,480,20,63,141,95,60,44,11,0,0,430,799,2359,4982,3589,2723,1908,484,29,4,16879
POA2618,4,4,5,9,6,3,3,0,0,24,6,0,4,8,9,3,0,0,0,26,65,64,76,166,191,122,60,13,0,760
POA2900,0,3,9,6,3,3,0,0,0,19,0,0,7,3,4,0,0,0,0,23,26,112,346,217,169,144,29,4,0,1051
POA2902,18,33,53,61,52,35,15,0,0,277,14,19,41,43,44,29,11,0,0,199,409,556,1380,1709,1638,1143,342,25,0,7200
POA2903,4,10,33,23,26,30,12,0,0,140,6,17,22,34,29,29,19,0,0,154,274,396,894,1039,1014,814,205,7,0,4641
POA2904,17,24,48,43,47,52,11,0,0,235,20,28,37,25,37,28,7,0,0,181,388,610,1192,1324,1558,1356,256,11,0,6695
POA2905,32,75,150,101,102,71,17,0,0,559,33,61,120,89,99,65,14,3,0,485,954,1558,3536,3171,3529,2469,327,26,3,15571
POA2906,26,51,84,53,86,30,9,0,0,350,22,29,77,79,69,38,8,0,3,323,746,1029,1975,2050,2592,1185,164,10,5,9756
POA2911,4,8,16,18,8,0,0,0,0,56,0,3,16,36,9,5,0,0,0,75,72,221,1011,768,347,131,24,0,0,2576
POA2912,8,13,33,25,17,0,0,0,0,97,4,12,25,18,10,7,0,3,0,80,173,414,995,838,593,250,46,9,3,3322
POA2913,37,71,182,155,107,57,19,0,0,625,40,59,151,137,91,47,15,3,0,532,1075,1764,5636,4841,3812,1812,353,18,0,19323
POA2914,19,53,109,112,61,23,6,0,0,379,23,25,138,124,59,20,6,3,0,390,644,1067,3806,4491,2484,829,123,11,0,13453
