POA_CODE_2016,M_AgriForestFish_0,M_AgriForestFish_1_15,M_AgriForestFish_16_24,M_AgriForestFish_25_34,M_AgriForestFish_35_39,M_AgriForestFish_40,M_AgriForestFish_41_48,M_AgriForestFish_49over,M_AgriForestFish_hours_NS,M_AgriForestFish_Tot,M_Min_0,M_Min_1_15,M_Min_16_24,M_Min_25_34,M_Min_35_39,M_Min_40,M_Min_41_48,M_Min_49over,M_Min_hours_NS,M_Min_Tot,M_Mnfg_0,M_Mnfg_1_15,M_Mnfg_16_24,M_Mnfg_25_34,M_Mnfg_35_39,M_Mnfg_40,M_Mnfg_41_48,M_Mnfg_49over,M_Mnfg_hours_NS,M_Mnfg_Tot,M_EGW_WS_0,M_EGW_WS_1_15,M_EGW_WS_16_24,M_EGW_WS_25_34,M_EGW_WS_35_39,M_EGW_WS_40,M_EGW_WS_41_48,M_EGW_WS_49over,M_EGW_WS_hours_NS,M_EGW_WS_Tot,M_Cnstn_0,M_Cnstn_1_15,M_Cnstn_16_24,M_Cnstn_25_34,M_Cnstn_35_39,M_Cnstn_40,M_Cnstn_41_48,M_Cnstn_49over,M_Cnstn_hours_NS,M_Cnstn_Tot,M_WTrade_0,M_WTrade_1_15,M_WTrade_16_24,M_WTrade_25_34,M_WTrade_35_39,M_WTrade_40,M_WTrade_41_48,M_WTrade_49over,M_WTrade_hours_NS,M_WTrade_Tot,M_RTrade_0,M_RTrade_1_15,M_RTrade_16_24,M_RTrade_25_34,M_RTrade_35_39,M_RTrade_40,M_RTrade_41_48,M_RTrade_49over,M_RTrade_hours_NS,M_RTrade_Tot,M_AccomFoodS_0,M_AccomFoodS_1_15,M_AccomFoodS_16_24,M_AccomFoodS_25_34,M_AccomFoodS_35_39,M_AccomFoodS_40,M_AccomFoodS_41_48,M_AccomFoodS_49over,M_AccomFoodS_hours_NS,M_AccomFoodS_Tot,M_TransPostWhse_0,M_TransPostWhse_1_15,M_TransPostWhse_16_24,M_TransPostWhse_25_34,M_TransPostWhse_35_39,M_TransPostWhse_40,M_TransPostWhse_41_48,M_TransPostWhse_49over,M_TransPostWhse_hours_NS,M_TransPostWhse_Tot,M_InfoMedTelecom_0,M_InfoMedTelecom_1_15,M_InfoMedTelecom_16_24,M_InfoMedTelecom_25_34,M_InfoMedTelecom_35_39,M_InfoMedTelecom_40,M_InfoMedTelecom_41_48,M_InfoMedTelecom_49over,M_InfoMedTelecom_hours_NS,M_InfoMedTelecom_Tot,M_FinInsurS_0,M_FinInsurS_1_15,M_FinInsurS_16_24,M_FinInsurS_25_34,M_FinInsurS_35_39,M_FinInsurS_40,M_FinInsurS_41_48,M_FinInsurS_49over,M_FinInsurS_hours_NS,M_FinInsurS_Tot,M_RentHirREserv_0,M_RentHirREserv_1_15,M_RentHirREserv_16_24,M_RentHirREserv_25_34,M_RentHirREserv_35_39,M_RentHirREserv_40,M_RentHirREserv_41_48,M_RentHirREserv_49over,M_RentHirREserv_hours_NS,M_RentHirREserv_Tot,M_ProScieTechServ_0,M_ProScieTechServ_1_15,M_ProScieTechServ_16_24,M_ProScieTechServ_25_34,M_ProScieTechServ_35_39,M_ProScieTechServ_40,M_ProScieTechServ_41_48,M_ProScieTechServ_49over,M_ProScieTechServ_hours_NS,M_ProScieTechServ_Tot,M_AdminSupServ_0,M_AdminSupServ_1_15,M_AdminSupServ_16_24,M_AdminSupServ_25_34,M_AdminSupServ_35_39,M_AdminSupServ_40,M_AdminSupServ_41_48,M_AdminSupServ_49over,M_AdminSupServ_hours_NS,M_AdminSupServ_Tot,M_PubAdmiSafety_0,M_PubAdmiSafety_1_15,M_PubAdmiSafety_16_24,M_PubAdmiSafety_25_34,M_PubAdmiSafety_35_39,M_PubAdmiSafety_40,M_PubAdmiSafety_41_48,M_PubAdmiSafety_49over,M_PubAdmiSafety_hours_NS,M_PubAdmiSafety_Tot,M_EducTrain_0,M_EducTrain_1_15,M_EducTrain_16_24,M_EducTrain_25_34,M_EducTrain_35_39,M_EducTrain_40,M_EducTrain_41_48,M_EducTrain_49over,M_EducTrain_hours_NS,M_EducTrain_Tot,M_HealthCareSocA_0,M_HealthCareSocA_1_15,M_HealthCareSocA_16_24,M_HealthCareSocA_25_34,M_HealthCareSocA_35_39,M_HealthCareSocA_40,M_HealthCareSocA_41_48,M_HealthCareSocA_49over,M_HealthCareSocA_hours_NS,M_HealthCareSocA_Tot,M_ArtRecServ_0,M_ArtRecServ_1_15,M_ArtRecServ_16_24,M_ArtRecServ_25_34,M_ArtRecServ_35_39,M_ArtRecServ_40,M_ArtRecServ_41_48,M_ArtRecServ_49over,M_ArtRecServ_hours_NS,M_ArtRecServ_Tot,M_OthServ_0,M_OthServ_1_15,M_OthServ_16_24,M_OthServ_25_34,M_OthServ_35_39,M_OthServ_40,M_OthServ_41_48,M_OthServ_49over,M_OthServ_hours_NS,M_OthServ_Tot,M_ID_NS_0,M_ID_NS_1_15,M_ID_NS_16_24,M_ID_NS_25_34,M_ID_NS_35_39,M_ID_NS_40,M_ID_NS_41_48,M_ID_NS_49over,M_ID_NS_hours_NS,M_ID_NS_Tot
POA2600,0,7,0,6,0,0,0,5,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,9,6,15,0,39,0,0,0,0,0,4,0,0,0,5,3,0,5,7,7,23,17,45,0,113,0,0,0,3,0,5,0,3,0,14,0,16,0,10,10,11,12,12,0,70,3,28,3,9,12,12,16,21,0,105,0,7,3,3,11,7,8,10,0,39,0,0,0,0,3,9,8,9,0,25,4,3,0,0,3,13,3,8,0,36,0,0,3,0,8,3,7,12,0,39,4,18,14,16,24,82,38,108,0,312,0,0,0,0,4,3,3,5,0,18,21,19,15,23,128,184,102,152,0,649,0,23,11,5,17,23,13,34,0,117,3,9,8,11,19,29,13,56,6,160,3,7,4,3,7,0,0,9,0,29,0,3,3,3,5,9,4,12,0,44,0,0,0,3,0,7,3,5,8,29
POA2601,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,0,13,0,0,0,0,0,0,0,3,0,6,0,0,4,4,0,6,3,5,0,26,0,0,3,0,3,0,0,0,0,7,4,23,16,4,3,4,4,3,13,78,14,72,39,12,16,11,6,10,29,197,3,3,0,3,11,5,3,3,0,28,0,3,0,0,3,6,0,0,0,16,3,4,0,3,7,6,3,6,0,29,0,0,3,0,0,0,0,3,0,11,0,19,12,4,27,46,16,27,3,149,0,3,4,0,3,3,0,3,0,25,17,15,6,11,91,84,65,71,4,362,5,74,12,6,20,19,11,20,24,187,0,10,0,6,5,11,3,16,0,56,0,15,0,0,3,3,0,3,0,28,0,10,8,3,4,3,3,4,6,36,3,4,4,0,0,4,5,3,4,31
POA2602,0,3,3,3,6,0,0,4,0,24,0,0,0,0,0,0,0,3,0,4,0,8,17,3,22,19,16,40,0,128,0,0,0,0,21,11,15,7,0,55,17,19,14,38,58,144,73,126,0,488,0,3,0,0,11,20,7,19,0,70,4,99,64,37,62,47,24,38,0,377,23,157,112,77,61,69,39,98,11,639,4,24,14,14,38,33,18,39,0,184,4,15,16,27,48,68,24,33,0,229,7,3,0,10,24,21,11,19,0,95,3,9,3,0,9,15,8,23,0,68,24,39,45,80,205,298,148,200,3,1046,3,41,76,23,40,39,12,26,3,258,89,51,67,129,720,579,381,367,16,2393,16,132,61,49,171,140,86,159,3,813,10,38,37,40,64,44,27,54,0,328,5,38,24,22,47,26,9,24,4,193,0,23,14,17,30,32,16,27,0,160,4,26,14,13,17,37,17,34,53,223
POA2603,0,0,0,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,3,3,0,4,6,4,11,0,32,0,4,0,0,0,0,4,0,0,11,0,10,3,13,17,35,19,63,3,164,0,0,0,0,7,6,6,10,0,29,3,14,12,13,19,19,13,29,0,129,0,47,11,19,23,14,8,32,0,160,4,8,3,5,6,12,10,3,0,50,3,3,0,3,11,5,9,9,0,46,0,3,7,3,10,7,3,22,0,55,3,3,4,0,10,13,15,29,0,83,10,12,13,9,32,93,52,130,3,360,0,5,4,6,10,4,3,12,0,38,20,19,10,23,189,205,145,184,0,799,3,24,7,4,20,21,13,30,0,121,6,17,15,17,30,45,12,66,0,218,0,13,0,5,0,9,3,8,0,35,4,6,3,3,9,10,5,21,0,59,3,10,4,4,4,6,6,16,11,67
POA2604,0,3,0,4,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,4,10,9,0,12,0,39,0,0,0,0,4,6,4,5,0,19,4,7,8,9,19,44,26,46,0,171,0,0,0,0,13,13,5,8,0,46,0,29,6,10,20,14,7,25,7,119,4,36,22,10,17,18,13,38,3,155,0,0,3,7,11,13,9,16,0,61,0,0,3,7,10,9,10,20,0,61,0,3,0,0,5,16,4,18,0,48,0,3,0,3,6,7,10,8,0,38,4,7,13,17,66,124,47,88,3,371,4,11,3,8,9,11,6,8,0,48,49,17,22,45,295,352,220,238,5,1239,3,31,10,8,25,33,12,26,0,155,3,11,3,11,33,29,14,35,0,136,0,10,8,8,11,0,5,7,0,43,3,10,0,7,12,9,7,18,0,69,3,6,0,3,7,20,11,18,7,77
POA2605,0,3,0,0,0,3,0,0,0,9,0,0,0,0,0,0,3,0,0,3,0,5,3,0,9,14,10,13,0,52,0,0,0,0,3,4,4,0,0,14,3,6,10,16,20,44,18,51,0,160,0,0,0,0,3,11,3,11,0,36,6,51,12,20,10,10,7,22,0,143,3,46,26,22,20,8,16,19,4,164,3,3,4,7,13,6,13,10,0,71,0,5,3,3,10,16,3,11,0,50,0,5,0,0,9,10,10,9,0,46,0,9,0,0,0,11,4,18,0,49,14,22,15,25,53,92,53,75,0,350,3,5,3,8,10,12,5,4,0,52,41,12,20,49,211,212,141,166,4,867,3,21,13,8,32,27,10,37,0,156,7,17,20,16,53,65,17,55,3,260,3,10,3,5,8,6,3,14,0,51,0,5,4,7,11,19,9,23,0,70,0,7,3,3,7,19,3,12,16,70
POA2606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,7,5,13,13,10,14,0,58,0,0,0,0,6,4,4,0,0,16,6,7,4,17,27,52,23,49,5,198,0,0,3,3,3,10,9,6,0,29,0,23,11,26,54,16,22,20,0,172,10,39,24,30,31,17,21,19,5,193,3,5,5,18,10,15,5,20,3,77,0,3,0,0,10,23,7,5,0,46,0,0,4,0,11,11,5,5,0,34,0,0,0,0,6,6,0,12,0,38,3,15,4,9,46,70,30,35,3,222,4,16,21,4,9,7,8,6,0,69,22,10,19,35,243,210,87,92,8,728,0,19,8,12,39,22,15,11,3,125,14,10,31,37,92,75,33,43,0,330,0,12,4,0,9,3,3,3,0,38,0,5,6,6,20,9,3,11,3,69,3,4,3,3,10,6,7,6,14,71
POA2607,0,0,0,0,4,5,0,3,0,15,0,0,0,0,0,0,0,3,0,6,0,4,3,0,12,19,11,12,0,72,3,0,3,0,8,8,5,3,0,30,8,10,10,11,44,99,33,79,5,299,0,3,3,0,9,14,7,9,0,53,7,56,31,43,35,35,23,42,3,274,6,92,37,25,35,20,15,37,4,271,3,8,10,13,16,17,10,18,0,99,4,5,7,0,16,8,4,3,0,49,3,6,0,5,8,12,3,16,0,61,0,3,3,6,4,13,4,14,0,50,3,19,22,26,47,120,53,99,3,389,3,12,11,8,15,11,7,16,0,82,33,24,31,35,292,259,130,148,3,954,6,28,7,12,33,41,27,32,4,200,12,22,28,35,58,68,24,49,4,296,3,11,0,8,12,12,0,4,3,56,3,9,11,3,13,13,12,23,3,87,4,6,3,4,7,16,9,19,20,95
POA2609,0,0,0,0,0,3,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,9,0,0,0,4,0,3,0,0,0,9,0,3,3,3,5,4,6,17,0,51,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,3,0,3,0,7,0,3,3,0,0,0,3,9,0,19,0,0,0,3,0,5,3,3,0,19,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,5,0,0,0,0,4,0,0,3,0,10,3,3,0,0,8,14,5,8,0,40,0,3,0,0,4,3,0,0,0,11,0,0,0,3,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,15,0,3,3,0,3,3,0,0,4,22
POA2611,0,3,3,4,3,6,7,8,0,34,0,0,0,0,0,0,0,0,0,8,0,3,4,4,30,37,25,40,0,148,3,0,8,3,22,20,10,13,3,75,19,37,19,42,80,224,80,198,11,717,0,4,4,11,19,20,13,23,0,92,12,84,46,43,67,41,32,60,3,389,12,94,40,37,42,37,19,57,3,350,11,16,8,15,40,29,30,39,0,190,3,16,5,10,34,46,13,14,0,137,3,4,3,3,21,38,17,24,0,111,0,4,4,6,11,23,16,29,0,90,16,49,36,47,157,255,111,160,12,834,5,8,20,22,30,32,11,23,0,155,82,37,54,82,594,637,324,313,11,2135,9,57,29,32,119,81,56,90,4,460,14,35,34,56,107,73,49,58,4,436,6,31,8,12,14,19,10,5,0,105,3,11,9,8,36,40,27,41,3,175,3,16,3,15,42,32,14,21,40,180
