POA_CODE_2016,M_Tot_0,M_Tot_1_15,M_Tot_16_24,M_Tot_25_34,M_Tot_35_39,M_Tot_40,M_Tot_41_48,M_Tot_49over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_15,F_AgriForestFish_16_24,F_AgriForestFish_25_34,F_AgriForestFish_35_39,F_AgriForestFish_40,F_AgriForestFish_41_48,F_AgriForestFish_49over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_15,F_Min_16_24,F_Min_25_34,F_Min_35_39,F_Min_40,F_Min_41_48,F_Min_49over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_15,F_Mnfg_16_24,F_Mnfg_25_34,F_Mnfg_35_39,F_Mnfg_40,F_Mnfg_41_48,F_Mnfg_49over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_15,F_EGW_WS_16_24,F_EGW_WS_25_34,F_EGW_WS_35_39,F_EGW_WS_40,F_EGW_WS_41_48,F_EGW_WS_49over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_15,F_Cnstn_16_24,F_Cnstn_25_34,F_Cnstn_35_39,F_Cnstn_40,F_Cnstn_41_48,F_Cnstn_49over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_15,F_WTrade_16_24,F_WTrade_25_34,F_WTrade_35_39,F_WTrade_40,F_WTrade_41_48,F_WTrade_49over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_15,F_RTrade_16_24,F_RTrade_25_34,F_RTrade_35_39,F_RTrade_40,F_RTrade_41_48,F_RTrade_49over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_15,F_AccomFoodS_16_24,F_AccomFoodS_25_34,F_AccomFoodS_35_39,F_AccomFoodS_40,F_AccomFoodS_41_48,F_AccomFoodS_49over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_15,F_TransPostWhse_16_24,F_TransPostWhse_25_34,F_TransPostWhse_35_39,F_TransPostWhse_40,F_TransPostWhse_41_48,F_TransPostWhse_49over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_15,F_InfoMedTelecom_16_24,F_InfoMedTelecom_25_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40,F_InfoMedTelecom_41_48,F_InfoMedTelecom_49over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_15,F_FinInsurS_16_24,F_FinInsurS_25_34,F_FinInsurS_35_39,F_FinInsurS_40,F_FinInsurS_41_48,F_FinInsurS_49over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_15,F_RentHirREserv_16_24,F_RentHirREserv_25_34,F_RentHirREserv_35_39,F_RentHirREserv_40,F_RentHirREserv_41_48,F_RentHirREserv_49over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_15,F_ProScieTechServ_16_24,F_ProScieTechServ_25_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40,F_ProScieTechServ_41_48,F_ProScieTechServ_49over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_15,F_AdminSupServ_16_24,F_AdminSupServ_25_34,F_AdminSupServ_35_39,F_AdminSupServ_40,F_AdminSupServ_41_48,F_AdminSupServ_49over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_15,F_PubAdmiSafety_16_24,F_PubAdmiSafety_25_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40,F_PubAdmiSafety_41_48,F_PubAdmiSafety_49over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_15,F_EducTrain_16_24,F_EducTrain_25_34,F_EducTrain_35_39,F_EducTrain_40,F_EducTrain_41_48,F_EducTrain_49over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_15,F_HealthCareSocA_16_24,F_HealthCareSocA_25_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40,F_HealthCareSocA_41_48,F_HealthCareSocA_49over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_15,F_ArtRecServ_16_24,F_ArtRecServ_25_34,F_ArtRecServ_35_39,F_ArtRecServ_40,F_ArtRecServ_41_48,F_ArtRecServ_49over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_15,F_OthServ_16_24,F_OthServ_25_34,F_OthServ_35_39,F_OthServ_40,F_OthServ_41_48,F_OthServ_49over,F_OthServ_hours_NS,F_OthServ_Tot
POA2600,45,161,77,106,257,424,249,534,24,1868,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,8,3,3,3,0,0,3,0,17,0,0,0,0,4,0,0,0,0,4,0,7,6,4,0,0,0,0,0,17,0,0,3,3,0,0,0,3,0,16,4,28,13,17,4,5,7,7,0,87,3,25,10,7,6,9,0,4,3,76,0,0,0,3,0,0,3,0,0,6,0,3,3,5,0,8,8,9,0,35,0,7,3,6,6,3,0,3,0,29,0,5,6,3,0,6,3,3,0,27,5,30,25,19,35,37,19,48,0,214,0,4,0,3,10,6,3,10,0,37,49,10,22,45,159,144,93,114,3,643,8,48,28,22,28,24,22,38,0,216,9,44,50,43,27,39,20,26,3,259,3,14,8,3,5,6,3,3,0,45,0,13,5,3,3,12,3,0,3,40
POA2601,60,258,106,67,202,214,127,188,95,1314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,3,11,0,3,3,0,0,0,0,0,0,11,13,77,39,7,9,4,6,0,24,170,20,90,59,20,7,8,7,11,47,264,0,0,0,0,3,0,0,0,0,6,0,6,0,3,3,4,4,0,4,20,0,3,0,0,5,3,0,0,0,14,0,0,3,0,4,0,0,3,3,13,3,16,23,7,12,25,15,16,5,126,0,3,0,0,6,3,0,0,5,20,16,9,8,16,76,81,40,39,4,301,6,89,12,4,22,13,8,18,28,194,10,14,6,15,16,14,7,7,6,86,3,16,3,0,3,0,0,0,3,35,0,14,3,0,4,0,0,0,6,42
POA2602,222,731,581,582,1654,1648,924,1335,91,7773,0,0,0,3,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,4,29,7,16,10,10,3,9,0,78,0,0,0,0,9,4,7,0,0,18,3,9,5,9,7,9,3,4,0,51,0,3,3,3,10,7,5,3,0,28,23,143,85,69,56,22,21,25,3,449,8,188,120,70,48,47,32,31,7,533,3,7,4,14,15,3,4,3,0,59,11,25,18,22,35,36,15,12,3,189,0,7,11,11,28,14,12,8,0,95,0,15,4,4,12,19,8,7,0,77,34,73,82,113,143,167,76,85,0,773,3,50,71,25,33,32,14,22,3,248,166,73,177,289,690,517,341,268,8,2533,56,213,134,160,213,179,101,164,10,1220,43,147,163,161,179,106,63,67,7,934,15,52,25,30,48,35,21,25,0,243,6,48,37,31,43,20,15,26,0,222
POA2603,64,201,105,134,409,520,336,671,22,2463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,3,0,18,3,0,0,0,0,3,0,3,0,10,3,12,3,5,3,5,3,3,3,41,0,0,0,0,3,0,0,5,0,11,7,34,27,12,16,12,5,9,0,130,4,32,14,20,9,10,3,5,0,102,0,3,3,0,0,6,0,4,0,17,0,0,0,0,17,7,6,3,0,42,0,6,9,3,4,14,0,3,0,43,3,4,3,12,4,12,6,6,0,48,3,22,22,24,42,54,21,39,0,218,0,3,5,6,5,10,4,6,0,40,47,17,35,50,256,213,127,140,0,871,10,60,34,28,46,37,29,40,3,279,7,26,66,39,57,48,19,41,5,317,0,9,3,0,9,9,3,6,0,35,0,9,5,12,18,13,5,8,0,64
POA2604,91,184,101,156,556,739,413,637,33,2912,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,4,4,0,28,0,0,0,0,0,3,3,0,0,6,0,3,0,3,4,5,0,3,0,21,0,0,0,0,5,4,0,3,0,20,3,47,27,17,31,15,15,5,3,149,4,38,19,17,10,15,13,15,0,124,3,0,0,0,4,3,3,7,0,19,0,0,4,3,12,4,6,7,0,45,0,3,3,3,6,9,9,7,0,44,0,0,0,5,6,12,6,3,0,35,10,13,22,33,65,65,41,39,0,281,0,14,9,13,15,11,0,7,0,59,91,29,37,66,361,297,203,159,7,1242,11,48,16,28,59,52,31,63,0,310,26,32,29,62,75,66,32,39,0,363,3,10,5,8,17,5,8,3,0,57,4,7,8,11,21,16,3,8,0,74
POA2605,102,244,131,192,476,585,330,557,27,2645,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,10,5,4,6,0,0,0,0,25,0,0,0,0,0,3,0,0,0,8,0,12,0,3,4,5,3,6,0,32,0,0,0,0,0,4,0,0,0,8,3,61,21,23,14,12,3,10,0,148,11,57,27,13,8,13,4,9,3,147,3,3,0,0,3,5,0,0,0,18,3,8,6,3,8,3,5,0,0,43,4,0,7,3,8,15,3,3,0,42,0,4,5,3,10,6,4,5,0,33,11,19,20,40,23,49,18,32,0,215,0,5,8,4,9,14,5,4,0,54,55,11,64,110,206,158,108,115,3,844,13,51,42,45,37,45,29,44,3,314,36,62,83,110,125,92,40,58,0,619,3,15,3,11,3,7,0,6,0,44,3,12,10,10,10,5,4,7,0,67
POA2606,67,186,161,205,625,574,285,362,47,2512,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,5,3,4,0,23,0,0,0,3,4,0,6,3,0,8,0,4,6,4,4,3,0,0,0,29,0,3,0,0,0,0,3,0,0,6,3,34,31,19,29,14,6,12,0,144,3,32,20,17,13,15,0,5,0,110,4,3,3,3,9,4,0,5,0,26,3,0,0,3,12,3,3,3,0,25,0,3,3,7,7,7,0,0,0,27,3,5,4,5,5,7,0,4,0,36,5,9,13,20,37,30,17,14,0,148,3,11,21,5,17,8,5,4,0,75,43,24,37,81,239,149,81,71,3,725,7,24,17,23,49,18,15,24,0,183,29,45,81,97,214,129,35,53,4,682,0,6,5,7,8,3,5,9,0,41,3,8,7,9,14,13,3,3,0,68
POA2607,93,316,227,242,676,788,396,638,48,3421,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,7,6,8,8,4,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,9,11,13,7,10,0,8,0,44,0,0,0,3,0,3,0,4,0,14,10,74,20,30,30,7,4,18,7,209,0,72,32,19,22,22,9,10,0,188,0,0,7,8,11,7,0,3,0,33,0,3,4,13,6,3,0,4,0,35,3,6,3,3,9,7,3,5,0,38,0,8,3,0,13,8,0,7,0,43,15,24,20,40,48,49,29,30,4,257,3,14,12,14,11,7,0,3,0,59,68,25,63,126,283,222,117,96,14,1018,26,74,53,45,38,52,29,57,3,367,35,63,90,119,167,108,43,47,4,677,0,26,8,19,13,3,7,8,0,73,3,24,17,18,15,18,5,9,0,109
POA2609,4,23,12,19,41,46,20,54,11,234,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,4,0,3,0,0,0,3,0,18,0,3,3,0,0,3,0,0,0,16,0,0,0,0,3,3,0,3,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,3,0,9,0,0,0,0,11,0,0,3,0,3,3,4,8,0,23,0,3,0,3,0,3,3,0,0,12,4,3,3,5,3,0,0,0,0,19,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,4
POA2611,205,512,332,459,1473,1690,861,1220,91,6834,0,0,3,3,4,3,0,4,0,25,0,0,0,0,0,0,0,0,0,0,7,18,8,6,10,6,4,8,0,60,4,0,0,0,5,10,5,7,0,28,7,12,8,15,14,9,6,6,3,83,0,4,9,3,3,9,0,5,0,27,22,129,60,65,66,20,19,19,4,416,13,126,46,39,31,27,10,16,11,319,10,6,9,15,17,14,9,3,0,79,6,10,9,13,28,12,3,10,0,89,12,9,17,19,32,20,11,8,0,118,3,9,5,13,28,32,8,10,0,102,28,50,67,70,112,94,53,66,7,551,8,41,21,22,20,25,13,13,0,157,204,53,168,313,649,462,261,199,11,2316,55,161,103,127,155,117,99,123,3,946,73,119,162,266,273,175,57,84,3,1219,12,29,23,15,28,11,7,4,0,121,6,37,42,26,46,18,14,13,0,205
