POA_CODE_2016,F_ID_NS_0,F_ID_NS_1_15,F_ID_NS_16_24,F_ID_NS_25_34,F_ID_NS_35_39,F_ID_NS_40,F_ID_NS_41_48,F_ID_NS_49over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_15,F_Tot_16_24,F_Tot_25_34,F_Tot_35_39,F_Tot_40,F_Tot_41_48,F_Tot_49over,F_Tot_hours_NS,F_Tot_Tot,P_AgriForestFish_0,P_AgriForestFish_1_15,P_AgriForestFish_16_24,P_AgriForestFish_25_34,P_AgriForestFish_35_39,P_AgriForestFish_40,P_AgriForestFish_41_48,P_AgriForestFish_49over,P_AgriForestFish_hours_NS,P_AgriForestFish_Tot,P_Min_0,P_Min_1_15,P_Min_16_24,P_Min_25_34,P_Min_35_39,P_Min_40,P_Min_41_48,P_Min_49over,P_Min_hours_NS,P_Min_Tot,P_Mnfg_0,P_Mnfg_1_15,P_Mnfg_16_24,P_Mnfg_25_34,P_Mnfg_35_39,P_Mnfg_40,P_Mnfg_41_48,P_Mnfg_49over,P_Mnfg_hours_NS,P_Mnfg_Tot,P_EGW_WS_0,P_EGW_WS_1_15,P_EGW_WS_16_24,P_EGW_WS_25_34,P_EGW_WS_35_39,P_EGW_WS_40,P_EGW_WS_41_48,P_EGW_WS_49over,P_EGW_WS_hours_NS,P_EGW_WS_Tot,P_Cnstn_0,P_Cnstn_1_15,P_Cnstn_16_24,P_Cnstn_25_34,P_Cnstn_35_39,P_Cnstn_40,P_Cnstn_41_48,P_Cnstn_49over,P_Cnstn_hours_NS,P_Cnstn_Tot,P_WTrade_0,P_WTrade_1_15,P_WTrade_16_24,P_WTrade_25_34,P_WTrade_35_39,P_WTrade_40,P_WTrade_41_48,P_WTrade_49over,P_WTrade_hours_NS,P_WTrade_Tot,P_RTrade_0,P_RTrade_1_15,P_RTrade_16_24,P_RTrade_25_34,P_RTrade_35_39,P_RTrade_40,P_RTrade_41_48,P_RTrade_49over,P_RTrade_hours_NS,P_RTrade_Tot,P_AccomFoodS_0,P_AccomFoodS_1_15,P_AccomFoodS_16_24,P_AccomFoodS_25_34,P_AccomFoodS_35_39,P_AccomFoodS_40,P_AccomFoodS_41_48,P_AccomFoodS_49over,P_AccomFoodS_hours_NS,P_AccomFoodS_Tot,P_TransPostWhse_0,P_TransPostWhse_1_15,P_TransPostWhse_16_24,P_TransPostWhse_25_34,P_TransPostWhse_35_39,P_TransPostWhse_40,P_TransPostWhse_41_48,P_TransPostWhse_49over,P_TransPostWhse_hours_NS,P_TransPostWhse_Tot,P_InfoMedTelecom_0,P_InfoMedTelecom_1_15,P_InfoMedTelecom_16_24,P_InfoMedTelecom_25_34,P_InfoMedTelecom_35_39,P_InfoMedTelecom_40,P_InfoMedTelecom_41_48,P_InfoMedTelecom_49over,P_InfoMedTelecom_hours_NS,P_InfoMedTelecom_Tot,P_FinInsurS_0,P_FinInsurS_1_15,P_FinInsurS_16_24,P_FinInsurS_25_34,P_FinInsurS_35_39,P_FinInsurS_40,P_FinInsurS_41_48,P_FinInsurS_49over,P_FinInsurS_hours_NS,P_FinInsurS_Tot,P_RentHirREserv_0,P_RentHirREserv_1_15,P_RentHirREserv_16_24,P_RentHirREserv_25_34,P_RentHirREserv_35_39,P_RentHirREserv_40,P_RentHirREserv_41_48,P_RentHirREserv_49over,P_RentHirREserv_hours_NS,P_RentHirREserv_Tot,P_ProScieTechServ_0,P_ProScieTechServ_1_15,P_ProScieTechServ_16_24,P_ProScieTechServ_25_34,P_ProScieTechServ_35_39,P_ProScieTechServ_40,P_ProScieTechServ_41_48,P_ProScieTechServ_49over,P_ProScieTechServ_hours_NS,P_ProScieTechServ_Tot,P_AdminSupServ_0,P_AdminSupServ_1_15,P_AdminSupServ_16_24,P_AdminSupServ_25_34,P_AdminSupServ_35_39,P_AdminSupServ_40,P_AdminSupServ_41_48,P_AdminSupServ_49over,P_AdminSupServ_hours_NS,P_AdminSupServ_Tot,P_PubAdmiSafety_0,P_PubAdmiSafety_1_15,P_PubAdmiSafety_16_24,P_PubAdmiSafety_25_34,P_PubAdmiSafety_35_39,P_PubAdmiSafety_40,P_PubAdmiSafety_41_48,P_PubAdmiSafety_49over,P_PubAdmiSafety_hours_NS,P_PubAdmiSafety_Tot,P_EducTrain_0,P_EducTrain_1_15,P_EducTrain_16_24,P_EducTrain_25_34,P_EducTrain_35_39,P_EducTrain_40,P_EducTrain_41_48,P_EducTrain_49over,P_EducTrain_hours_NS,P_EducTrain_Tot,P_HealthCareSocA_0,P_HealthCareSocA_1_15,P_HealthCareSocA_16_24,P_HealthCareSocA_25_34,P_HealthCareSocA_35_39,P_HealthCareSocA_40,P_HealthCareSocA_41_48,P_HealthCareSocA_49over,P_HealthCareSocA_hours_NS,P_HealthCareSocA_Tot,P_ArtRecServ_0,P_ArtRecServ_1_15,P_ArtRecServ_16_24,P_ArtRecServ_25_34,P_ArtRecServ_35_39,P_ArtRecServ_40,P_ArtRecServ_41_48,P_ArtRecServ_49over,P_ArtRecServ_hours_NS,P_ArtRecServ_Tot
POA2600,0,0,6,3,5,6,3,0,6,25,92,236,186,188,296,304,185,286,19,1798,0,6,4,6,3,0,0,7,0,24,0,0,0,0,0,0,0,0,0,3,0,13,4,0,3,9,6,15,0,50,0,0,0,0,4,5,0,3,0,8,4,8,10,12,9,28,17,48,0,132,3,3,3,4,5,6,3,8,0,31,4,45,16,21,19,17,13,23,0,156,4,55,20,17,15,20,17,27,4,176,0,5,3,3,11,9,6,10,0,46,0,3,3,5,4,16,16,17,0,60,4,12,7,7,11,11,3,9,0,62,3,9,9,8,8,11,12,16,0,74,8,49,34,42,62,117,51,160,0,525,0,4,0,3,10,8,6,12,0,57,72,26,42,68,292,325,200,267,4,1295,8,69,38,31,41,44,35,69,0,334,15,54,62,57,48,72,30,83,7,417,6,21,7,4,12,8,4,8,0,67
POA2601,0,10,8,0,0,3,0,0,5,25,81,353,164,72,162,161,97,107,158,1351,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,10,7,4,0,28,0,0,0,0,4,0,0,3,0,11,0,3,3,4,0,10,4,10,3,39,0,3,3,0,3,0,0,0,0,20,21,100,57,8,13,6,7,3,40,250,31,167,97,30,20,10,10,21,73,466,3,3,0,3,15,5,3,3,0,38,0,8,0,4,7,9,4,3,5,42,3,3,4,5,12,10,3,6,0,47,0,0,6,0,4,3,0,8,4,27,3,40,28,16,41,71,31,43,9,282,3,5,3,3,5,3,6,5,9,44,35,23,17,21,169,168,105,112,6,661,12,156,20,16,42,26,24,36,53,387,10,20,9,18,17,24,9,23,11,139,5,32,5,4,6,3,0,3,9,62
POA2602,7,21,14,19,20,20,15,6,41,157,383,1091,960,1037,1595,1241,757,760,74,7907,0,4,3,8,6,3,0,3,0,40,3,0,0,0,0,0,0,3,0,7,5,33,19,15,31,28,22,50,0,203,0,0,0,0,26,14,19,10,0,73,19,27,22,45,73,154,71,132,0,543,0,5,6,10,23,28,13,17,0,99,26,242,153,105,120,67,46,64,3,825,29,347,231,144,109,114,65,127,17,1172,10,29,18,24,56,40,25,41,0,236,12,41,34,49,86,105,41,46,3,415,9,14,14,23,48,40,25,24,0,190,3,25,7,11,23,36,20,33,0,140,59,113,128,199,344,463,226,280,6,1816,7,87,145,47,64,72,30,44,3,503,262,121,241,422,1408,1092,724,639,23,4926,70,340,192,203,384,317,187,318,13,2030,55,183,208,201,249,154,92,120,9,1264,20,89,49,48,94,61,32,49,4,440
POA2603,3,12,3,5,10,7,4,4,11,52,92,261,229,230,494,450,246,323,23,2346,0,0,4,3,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,13,3,0,7,15,3,8,0,50,3,4,0,0,4,3,4,3,0,24,3,18,6,18,20,44,26,67,3,199,0,0,0,3,9,7,6,15,0,41,9,51,39,31,38,36,17,40,0,254,7,79,32,36,32,27,11,41,0,260,5,11,6,4,13,14,10,9,0,65,3,5,0,3,27,11,16,10,0,79,0,12,7,8,14,18,8,28,3,97,3,6,8,9,14,24,19,35,0,133,10,35,36,35,76,149,74,169,3,580,4,10,8,15,12,11,6,13,0,80,65,34,43,73,448,417,276,319,4,1672,11,82,38,35,62,63,41,64,3,408,12,48,79,63,88,90,34,114,5,528,3,21,3,7,11,17,5,12,0,73
POA2604,0,6,3,8,6,7,6,4,13,54,164,248,183,272,688,585,377,379,33,2943,0,4,4,3,3,4,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,3,0,10,18,13,4,22,0,65,0,0,0,0,4,11,4,12,0,27,7,9,5,16,20,49,28,51,0,193,0,4,0,0,17,22,6,9,0,60,3,75,36,30,51,26,19,31,8,272,14,67,37,24,27,31,19,55,3,281,5,0,7,5,13,18,16,21,3,86,3,6,8,7,23,14,19,28,0,107,3,7,3,5,17,24,17,21,0,91,0,3,0,7,13,26,12,19,0,71,17,22,28,46,129,188,89,126,6,644,3,23,10,14,16,21,5,11,0,114,140,43,56,106,655,650,421,394,16,2485,18,70,24,34,86,81,47,94,0,460,29,44,38,72,105,96,45,74,0,502,5,16,15,15,25,5,9,8,0,105
POA2605,3,8,4,0,12,7,0,0,11,53,161,338,301,394,499,450,235,315,33,2725,0,5,0,0,0,3,0,0,0,21,0,0,0,0,0,0,3,0,0,3,3,13,8,5,16,12,12,10,0,82,0,0,0,0,8,3,6,0,0,15,3,19,9,16,20,52,16,56,0,190,0,6,3,5,3,15,4,8,0,43,16,116,35,38,30,24,10,33,0,294,12,112,49,35,25,24,18,27,4,308,8,5,4,8,20,11,21,11,0,87,3,15,6,7,24,15,8,10,0,90,3,7,7,8,13,22,12,12,0,81,0,8,4,3,10,24,10,25,0,78,25,35,32,60,78,141,71,114,0,564,8,11,10,16,17,21,12,13,0,106,104,28,85,159,419,372,250,284,11,1706,19,74,52,53,70,72,37,86,4,470,45,79,107,128,180,159,54,117,5,873,4,21,5,13,10,13,3,20,0,95
POA2606,0,6,3,5,4,3,0,3,20,41,106,231,262,292,671,410,180,223,26,2407,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,3,0,12,7,13,18,11,11,0,79,0,0,0,3,8,4,3,3,0,26,6,13,7,18,37,56,24,51,5,225,0,6,3,4,3,11,5,6,0,37,8,59,42,39,83,27,27,28,0,320,13,78,44,45,49,31,22,25,3,304,3,5,12,20,16,16,5,23,3,97,4,3,4,6,14,28,9,6,0,75,0,3,5,3,9,18,9,4,0,62,3,10,6,5,12,18,6,18,0,77,8,26,24,26,80,103,44,50,3,374,8,27,38,5,26,16,10,16,0,144,63,39,62,114,480,355,169,168,8,1457,4,49,25,32,91,33,30,37,3,315,39,58,109,131,304,206,67,97,10,1018,3,21,7,7,17,7,5,10,0,80
POA2607,3,13,15,9,9,14,4,3,4,79,166,438,364,492,683,530,266,305,40,3276,0,0,0,0,8,7,3,4,0,26,0,0,0,0,0,0,0,3,0,6,0,9,9,7,14,22,13,17,0,100,3,3,3,0,8,8,7,3,0,38,10,11,21,24,49,100,40,80,9,341,0,3,5,6,13,16,7,18,0,61,19,128,60,75,66,49,29,55,9,479,8,169,73,46,52,43,24,42,4,461,3,4,12,21,28,23,8,22,0,129,7,12,7,11,24,15,4,10,0,82,3,6,5,10,12,20,7,19,0,92,0,13,6,10,21,26,4,23,0,94,18,40,40,61,99,174,83,120,4,646,5,22,25,18,19,19,6,20,0,137,107,53,91,168,570,480,251,244,14,1969,31,99,62,59,65,91,59,94,4,563,47,86,116,150,227,168,66,103,9,968,3,36,9,24,27,13,8,12,3,127
POA2609,0,0,0,0,0,0,0,0,0,3,8,24,13,17,27,21,9,12,4,141,0,7,0,0,0,4,0,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,9,0,0,0,4,0,4,0,0,0,9,0,6,3,3,5,5,6,17,0,51,0,0,0,0,3,0,0,3,0,4,3,3,0,3,4,4,0,5,0,27,0,5,5,3,0,3,3,6,0,28,3,0,0,3,5,7,4,4,0,28,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,0,3,4,0,0,0,11,0,3,3,0,9,0,0,3,0,21,3,3,3,0,15,19,8,14,0,61,0,4,0,7,6,4,3,0,0,18,4,3,4,6,3,4,0,0,0,25,0,0,0,0,0,0,0,0,0,3
POA2611,5,25,10,7,13,9,5,7,25,112,473,835,771,1033,1530,1070,595,596,73,6968,0,7,7,6,8,9,3,13,0,55,0,0,0,0,0,3,0,0,0,6,6,24,10,14,41,44,27,41,0,209,10,0,5,4,28,25,9,18,3,104,21,44,33,58,94,239,92,206,14,794,5,8,9,9,23,30,13,24,0,122,34,215,112,110,128,62,53,83,9,806,29,226,87,76,71,63,31,77,16,674,13,23,18,28,54,46,37,40,0,267,12,23,13,22,59,58,17,19,0,225,15,12,18,17,56,56,29,33,0,233,5,14,4,15,37,53,26,31,0,194,42,103,101,116,266,348,163,226,16,1381,15,55,37,45,47,55,26,35,4,312,284,92,229,392,1246,1094,592,513,22,4453,68,217,129,157,274,195,153,213,6,1412,92,155,196,326,384,252,105,138,15,1652,11,62,36,24,40,31,13,8,0,228
