POA_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
POA2600,0,12,3,7,12,20,7,19,3,84,0,3,5,8,3,11,5,9,17,56,140,392,266,299,555,730,433,812,42,3664
POA2601,3,24,13,3,5,3,6,4,12,81,8,13,12,0,3,9,3,4,12,62,135,610,275,138,361,375,218,297,250,2668
POA2602,6,71,50,43,77,54,27,50,0,379,16,50,32,28,37,53,27,45,91,378,612,1821,1542,1618,3252,2887,1682,2097,172,15679
POA2603,3,13,7,13,27,22,8,25,0,124,4,21,5,11,16,14,8,20,17,116,158,461,331,362,905,972,583,990,46,4815
POA2604,9,15,10,20,29,28,14,24,4,144,3,17,5,8,12,26,17,18,24,133,257,437,284,432,1252,1329,790,1017,65,5858
POA2605,6,15,13,24,19,23,11,31,0,140,3,14,8,6,19,24,6,13,32,122,262,581,434,590,973,1037,563,872,59,5371
POA2606,4,16,15,14,38,22,7,17,3,133,3,15,8,9,22,11,10,9,35,109,168,418,430,493,1295,986,467,581,76,4918
POA2607,3,33,22,21,32,26,18,31,3,196,8,17,24,18,18,24,18,21,25,173,265,757,592,732,1362,1319,660,941,87,6701
POA2609,0,4,3,0,0,3,0,3,0,16,0,4,3,0,3,3,0,0,12,20,14,49,29,42,63,70,30,70,9,375
POA2611,8,51,43,31,83,58,36,59,3,383,11,36,11,22,50,43,20,27,63,292,680,1343,1106,1486,3002,2757,1451,1813,162,13801
POA2612,3,30,26,22,27,35,21,19,3,194,10,22,16,14,27,18,5,29,46,192,305,886,655,640,1919,1856,1094,2043,156,9553
POA2614,3,44,25,35,52,36,17,31,6,254,9,38,20,11,27,38,5,21,52,231,393,994,829,1034,1969,1692,959,1146,108,9129
POA2615,15,96,72,92,158,136,85,105,7,751,24,77,29,29,93,100,45,59,128,582,973,2123,1728,2315,5452,4325,2260,2613,298,22086
POA2617,12,84,54,57,103,78,44,45,7,480,8,52,37,31,62,70,35,40,101,430,672,1866,1603,1670,3986,3314,1601,1865,299,16879
POA2618,3,9,0,7,6,3,0,3,0,24,0,3,4,4,5,3,0,3,9,26,43,99,57,88,106,141,63,141,25,760
POA2900,0,3,0,4,5,3,0,0,0,19,0,0,0,0,8,8,0,0,4,23,36,68,77,92,236,310,116,97,15,1051
POA2902,6,20,30,43,44,53,30,44,0,277,6,24,13,27,27,35,13,16,40,199,308,747,649,828,1589,1378,741,853,105,7200
POA2903,0,9,16,14,36,28,11,25,3,140,8,13,12,10,30,27,4,18,36,154,201,517,416,474,1049,889,456,550,78,4641
POA2904,4,34,30,20,47,35,28,31,3,235,7,21,23,16,29,25,4,22,34,181,316,693,526,657,1426,1420,729,841,85,6695
POA2905,11,63,46,66,113,115,58,89,4,559,17,40,29,30,68,95,40,59,109,485,683,1426,1127,1555,3856,3199,1640,1864,225,15571
POA2906,8,52,24,33,73,46,42,62,3,350,18,22,16,22,61,62,17,33,85,323,401,956,687,934,2425,2002,1086,1102,155,9756
POA2911,3,8,4,8,18,5,12,7,0,56,0,5,5,9,10,13,4,4,20,75,98,168,158,244,693,591,271,323,30,2576
POA2912,3,9,10,7,27,23,8,10,3,97,5,10,9,6,15,10,3,9,9,80,126,305,243,307,892,722,307,378,43,3322
POA2913,22,69,53,65,159,103,68,81,8,625,13,52,29,43,92,90,37,47,128,532,760,1820,1519,1772,4899,4029,1932,2314,277,19323
POA2914,12,41,40,23,88,76,48,51,6,379,10,35,13,27,60,93,25,41,85,390,494,1104,948,1193,3426,3158,1354,1592,177,13453
