POA_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
POA2600,832,1567,127,264,498,168,33,67,106,3664
POA2601,315,969,93,469,341,296,14,124,40,2668
POA2602,2684,6025,1125,1513,2127,809,188,818,386,15679
POA2603,1094,1926,205,326,683,271,48,115,135,4815
POA2604,1213,2456,312,442,817,275,62,157,128,5858
POA2605,995,2217,296,465,725,309,73,172,114,5371
POA2606,730,1777,397,497,735,265,94,315,115,4918
POA2607,1179,2212,541,684,1076,450,123,273,161,6701
POA2609,59,49,60,39,43,21,35,59,10,375
POA2611,2355,4684,1261,1251,2350,788,251,564,304,13801
POA2612,2337,3633,417,907,1160,440,49,368,237,9553
POA2614,1487,3171,787,949,1296,581,163,455,243,9129
POA2615,2843,5443,2815,2505,4190,1591,751,1380,561,22086
POA2617,2357,5089,1644,2056,2721,1356,351,925,374,16879
POA2618,176,168,97,66,125,50,23,52,10,760
POA2900,137,372,99,98,189,60,26,42,15,1051
POA2902,1027,1912,801,806,1328,494,214,403,207,7200
POA2903,631,1213,484,510,918,354,160,254,110,4641
POA2904,1127,1783,701,694,1314,439,168,310,152,6695
POA2905,2007,3116,2140,1739,3212,1192,697,1029,431,15571
POA2906,1342,1902,1258,1076,2086,842,379,555,313,9756
POA2911,426,920,221,256,426,139,33,88,71,2576
POA2912,500,877,380,392,539,270,61,227,89,3322
POA2913,2897,5226,2108,2116,3516,1513,422,1044,478,19323
POA2914,2133,4046,1281,1535,2289,997,269,567,334,13453
