POA_CODE_2016,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
POA2600,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,22,0,0,0,0,0,0,0,0,0,8,0,10,0,0,0,3,0,3,0,0,0,22,0,36,4,0,0,3,0,3,0,3,0,25,0,43,3,0,0,3,0,6,0,3,0,23,0,39,7,3,0,10,0,6,0,7,3,21,0,43,22,3,0,13,0,14,0,13,0,42,0,107,33,4,0,9,0,11,0,14,0,35,0,107,27,0,0,14,0,15,0,6,3,28,0,97,29,4,0,7,0,17,0,3,0,12,0,68,125,9,4,50,9,23,0,25
POA2601,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,7,0,11,0,0,0,3,0,16,0,0,0,5,0,5,0,0,0,4,0,15,3,0,0,3,0,3,0,0,0,3,0,12,20,0,0,6,0,8,0,0,0,3,0,40,31,0,3,6,0,6,0,0,0,0,0,49,22,0,0,12,3,3,0,0,0,3,0,41,27,0,0,6,0,9,0,0,0,0,0,47,62,0,4,16,7,11,0,0
POA2602,0,0,0,0,0,0,0,0,0,23,0,25,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,39,0,49,0,0,0,0,0,0,0,12,0,13,0,32,3,15,0,0,0,4,0,13,0,92,3,127,3,22,0,7,0,19,0,13,0,74,0,137,8,22,0,19,0,22,3,20,0,111,0,217,19,11,0,30,3,21,3,20,0,95,3,200,19,10,0,39,3,26,0,15,0,47,3,163,24,8,0,29,0,24,0,6,0,42,0,144,110,17,0,69,3,60,3,26,0,74,0,359,157,12,3,63,7,22,4,18,3,48,0,329,134,15,3,47,8,14,3,16,3,25,0,270,135,3,4,22,5,22,0,3,0,6,0,203,263,7,4,56,11,41,4,14
POA2603,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,15,0,17,0,0,0,0,0,0,0,0,0,20,0,22,4,0,0,0,0,0,0,6,0,16,0,26,3,0,0,4,0,3,0,0,0,16,0,28,3,0,0,6,0,7,0,0,0,11,0,31,6,3,0,10,0,3,0,8,0,23,0,61,36,8,0,8,0,24,0,11,0,29,0,118,48,3,0,12,0,5,0,9,0,26,0,104,44,3,0,17,3,3,0,10,0,15,0,91,24,0,0,3,0,16,0,3,4,18,0,74,132,16,3,44,4,42,0,13
POA2604,0,0,0,0,0,0,0,0,0,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,12,0,18,0,0,0,0,0,0,0,3,0,4,0,10,0,0,0,0,0,0,0,3,0,20,0,22,0,0,0,0,0,3,0,4,0,11,0,23,0,4,0,0,0,5,0,4,0,23,0,42,0,4,0,9,0,6,0,7,0,20,0,51,4,0,3,10,0,5,0,3,0,11,0,36,8,0,0,18,0,12,0,7,0,8,0,56,65,8,0,20,0,23,3,8,0,23,0,145,111,0,0,19,3,11,0,5,0,19,0,177,83,0,3,9,0,3,0,7,0,5,0,112,63,3,0,6,0,11,0,0,0,7,0,97,175,3,3,23,5,25,0,10
POA2605,0,0,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,20,0,23,0,0,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,0,0,42,0,46,0,0,0,0,0,3,0,0,0,29,0,37,0,7,0,4,0,7,0,8,0,67,0,90,0,3,0,4,0,7,3,9,0,41,0,70,3,3,0,3,0,3,0,4,3,30,0,58,4,5,0,8,0,0,0,7,0,26,0,48,26,0,0,17,3,17,5,12,0,64,0,143,27,3,0,12,3,11,0,15,0,28,0,96,30,3,3,9,0,5,3,5,5,12,0,72,23,0,0,4,0,9,0,3,0,16,0,56,88,5,3,28,9,20,3,10
POA2606,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,4,0,0,0,0,0,0,0,0,0,17,0,19,0,0,0,0,0,3,0,3,0,10,0,16,0,0,0,0,0,3,0,3,0,35,0,43,3,5,0,5,0,7,0,4,4,29,0,55,0,14,0,11,0,16,0,6,3,38,0,86,6,5,0,12,0,8,0,3,0,36,0,80,10,0,0,12,0,14,0,9,0,10,0,60,19,3,0,17,0,3,0,8,0,19,0,72,59,3,0,34,3,22,0,8,3,24,0,155,68,3,3,17,0,10,4,10,0,15,0,127,39,0,0,17,0,7,0,0,0,9,0,76,32,0,0,9,3,7,0,0,3,0,0,59,69,7,0,22,0,7,0,5
POA2607,0,0,0,0,0,0,0,0,0,11,0,13,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,25,0,3,0,0,0,0,0,3,0,5,0,14,0,0,0,0,0,5,0,5,0,64,0,75,0,4,0,0,0,6,0,8,0,73,0,96,0,7,0,7,3,10,4,4,0,78,0,118,9,10,0,8,0,8,0,9,0,69,0,119,4,3,0,10,0,11,0,10,0,44,0,79,13,3,0,10,0,8,0,12,3,56,0,103,42,11,0,25,0,41,3,10,0,68,0,203,43,3,0,25,7,9,0,7,8,29,0,130,43,3,0,17,3,12,3,5,0,22,0,107,43,3,0,15,0,14,0,7,0,10,0,87,95,3,0,27,7,26,0,14
POA2609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,0,0,0,0,0,0,0,12,3,0,0,3,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2611,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,25,0,33,0,0,0,0,0,0,0,7,0,14,0,28,0,0,0,0,0,0,3,11,0,135,0,155,4,4,0,0,0,16,0,19,0,106,0,154,3,3,0,15,0,20,0,20,3,139,0,208,16,5,0,19,0,20,0,18,0,151,4,225,10,9,0,17,0,21,3,15,0,86,0,151,23,3,0,23,4,16,0,11,0,59,0,146,115,9,3,46,7,57,3,28,4,119,3,392,160,5,3,46,5,32,0,15,10,69,0,344,146,10,0,43,5,12,3,4,3,30,0,269,107,5,3,21,7,21,0,6,3,17,0,197,208,14,8,46,17,28,3,18
