POA_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
POA2600,3,6,0,390,23,0,0,16,3,5,0,3,0,3,63,116,0,0,0,0,0,0,0,0,0,0,0,4,250,17,6,207,33,131,8,23,7,40,64,776
POA2601,0,0,0,23,0,0,0,0,0,0,0,0,0,0,15,14,0,0,0,0,0,0,0,0,0,0,0,0,20,0,3,10,8,15,3,0,0,3,15,78
POA2602,0,18,3,995,47,6,3,28,3,18,0,12,0,13,196,325,0,0,0,0,0,4,0,0,0,0,3,11,876,153,30,904,148,442,40,139,23,173,205,3138
POA2603,5,10,3,491,31,0,0,22,3,17,0,3,3,3,70,155,3,0,0,0,0,0,0,0,0,0,3,6,340,19,15,239,38,180,7,24,7,50,74,1006
POA2604,0,0,0,316,19,3,0,10,3,3,0,3,0,5,49,97,0,0,0,0,0,0,0,0,0,0,0,3,286,28,16,204,61,136,12,22,9,58,53,883
POA2605,0,6,0,630,23,3,0,21,3,14,3,3,0,7,101,185,3,0,0,0,0,0,0,0,0,3,5,10,483,59,17,426,66,213,14,41,6,79,111,1519
POA2606,0,0,0,238,11,0,0,10,3,5,0,7,0,8,47,85,3,0,0,0,0,0,0,0,0,0,3,7,252,36,16,268,35,145,10,50,7,54,53,938
POA2607,0,11,0,587,38,6,0,15,5,15,0,3,3,17,105,213,0,0,0,0,0,0,0,0,0,0,0,3,559,70,11,486,88,249,15,71,13,106,113,1773
POA2609,0,0,0,11,3,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,17,3,10,0,3,0,0,5,53
POA2611,0,10,3,982,62,10,0,48,7,22,0,8,4,17,171,349,5,0,0,3,3,3,0,0,0,0,10,23,1038,147,43,1078,216,456,40,108,43,164,188,3519
POA2612,0,4,0,365,22,0,0,21,0,13,0,0,0,10,83,142,0,0,0,0,0,0,0,0,0,0,0,4,279,34,12,227,53,162,6,40,6,44,90,950
POA2614,0,4,0,602,38,8,0,18,3,15,0,7,3,8,119,227,3,0,0,0,0,0,0,0,0,0,5,12,635,105,18,635,104,353,34,113,17,131,128,2274
POA2615,3,11,3,818,110,10,5,57,5,38,3,11,5,36,229,508,9,0,0,7,0,6,0,0,0,4,7,23,1647,218,59,1673,311,886,67,181,66,366,247,5716
POA2617,7,17,0,691,54,3,0,39,7,24,3,6,3,23,177,334,10,0,0,6,0,0,0,0,0,0,6,23,816,119,27,948,171,552,37,136,36,227,191,3257
POA2618,0,6,0,67,4,0,0,7,0,0,0,0,0,0,13,34,0,0,0,0,0,0,0,0,0,0,0,4,59,7,3,75,5,14,4,9,3,11,15,213
POA2900,0,0,0,35,0,0,0,0,0,3,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,35,7,0,39,5,47,0,11,3,7,6,167
POA2902,3,6,0,364,49,3,0,30,9,15,5,3,0,14,94,223,0,0,3,0,0,0,0,0,0,0,0,11,548,73,12,532,89,249,22,75,18,145,100,1862
POA2903,3,4,0,243,25,7,0,20,4,13,0,3,3,8,48,128,0,0,0,0,0,0,0,0,0,0,0,5,324,51,18,337,59,175,14,49,14,77,59,1173
POA2904,0,6,0,473,47,0,4,27,4,11,3,3,3,13,105,210,3,0,0,3,0,0,0,0,0,0,0,4,566,51,17,498,82,236,19,66,13,94,108,1754
POA2905,3,11,0,672,92,5,3,60,19,28,3,11,8,16,196,441,0,0,0,0,0,0,0,0,0,0,14,15,1217,133,40,1073,218,587,46,138,38,179,211,3881
POA2906,3,10,0,491,81,0,8,47,4,14,0,8,0,8,117,287,3,0,3,3,0,0,0,0,0,0,5,17,925,70,32,690,129,336,34,64,17,105,124,2525
POA2911,0,0,0,177,6,0,0,3,0,6,0,0,0,0,47,66,0,0,0,0,0,0,0,0,0,0,0,0,252,20,5,192,42,105,11,14,6,10,51,710
POA2912,0,0,0,150,14,0,0,19,0,3,0,0,0,3,43,83,0,0,0,0,0,0,0,0,0,0,0,0,241,17,3,199,32,172,11,23,5,43,44,800
POA2913,3,13,0,1014,77,6,4,33,8,35,3,11,5,16,243,443,4,0,0,8,0,4,0,0,0,3,9,26,1609,156,58,1354,265,855,59,168,44,193,260,5019
POA2914,0,3,0,841,49,0,0,24,8,23,0,0,0,12,226,341,3,0,4,3,0,0,0,0,0,3,5,22,1408,101,48,1111,231,740,32,101,24,118,238,4156
