POA_CODE_2016,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
POA2600,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,10,0,5,3,0,0,3,0,0,0,3,3,0,3,3,3,0,7,0,0,0,7,3,0,11,4,8,0,12,0,0,0,12,0,0,14,3,4,0,9,0,0,0,9,7,0,15,6,0,0,7,0,0,0,7,7,0,15,3,0,0,9,0,0,0,9,0,0,7,9,0,0,13,0,0,0,13,3,0,13,11,0,0,14,0,0,0,14,3,0,25,4,7,0,6,0,0,0,6,3,0,14,3,0,0,3,0,0,0,3,3,0,3,6,3,0,14,0,0,0,11,3,0,12,9,0,0,9,0,0,0,9,5,0,22,15,4,0,16,0,0,3,17,9,0,29,0,0
POA2601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,7,0,0,8,0,0,0,0,0,0,0,0,0,0,4,6,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,3,0,0,3,0,0,0,3,0,0,3,3,0,0,3,0,0,0,3,0,0,3,0,0
POA2602,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,3,3,0,8,0,0,3,7,0,6,11,13,16,0,31,0,5,0,5,7,3,5,17,22,0,33,0,11,0,12,3,3,3,15,49,0,61,10,19,0,22,0,3,9,34,32,0,58,13,16,0,28,0,3,3,27,48,0,77,14,20,0,38,0,0,3,42,29,0,76,24,29,3,55,3,3,6,64,30,0,94,24,14,3,40,0,0,0,40,33,0,75,43,23,0,71,3,0,3,73,32,0,102,50,13,0,63,0,0,3,69,11,0,81,86,26,4,112,0,0,0,112,16,0,130,26,7,0,34,0,0,0,34,9,0,46,8,0,0,9,0,0,0,9,3,0,13,33,0,0,36,0,0,0,36,4,0,37,22,0,0,23,0,0,0,23,4,0,28,37,11,0,52,3,0,3,51,21,0,78,0,0
POA2603,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,3,3,3,0,5,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,3,0,3,3,0,0,7,3,3,0,4,0,0,0,4,6,0,14,0,8,0,9,0,0,0,9,7,0,17,4,5,0,9,0,0,0,9,3,0,10,4,7,0,14,0,0,3,11,4,0,19,10,3,0,13,0,0,0,13,10,0,17,9,3,0,16,0,0,0,16,7,0,20,13,3,0,14,0,0,0,14,3,0,18,24,6,3,34,0,0,0,33,4,0,40,8,0,0,7,0,0,0,7,4,0,15,3,0,0,3,0,0,0,3,0,0,6,22,4,0,22,0,0,0,24,0,0,27,8,3,0,10,0,0,0,10,0,0,11,6,4,0,9,0,0,3,16,3,0,20,0,0
POA2604,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,5,11,6,0,16,0,0,0,0,0,0,3,3,10,0,15,3,3,0,3,3,0,3,8,11,0,17,0,3,0,4,0,0,0,4,8,0,16,3,12,0,8,0,0,0,8,19,0,27,3,5,0,15,0,0,0,13,10,0,25,12,7,0,24,0,0,0,24,3,0,30,18,0,0,16,0,0,0,16,13,0,27,13,7,0,16,0,0,0,18,7,0,19,15,4,0,23,0,0,0,23,10,0,27,48,3,0,55,0,0,0,55,3,0,56,6,3,0,8,0,0,0,8,3,0,13,6,0,0,5,0,0,0,5,0,0,8,18,0,0,16,0,0,0,16,3,0,19,14,0,0,16,0,0,0,16,3,0,19,14,8,0,19,0,0,0,19,13,0,29,0,0
POA2605,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,3,0,8,0,3,0,3,0,0,0,3,3,0,5,0,3,0,3,3,0,3,3,9,0,17,0,8,0,8,0,0,0,8,9,0,16,3,3,0,7,0,0,0,7,3,0,13,8,9,0,9,0,0,0,9,10,0,19,7,6,0,11,0,0,0,12,11,0,28,9,6,0,25,0,0,0,25,4,0,23,16,8,0,23,0,0,0,23,9,0,38,13,3,0,18,0,0,0,23,7,0,27,30,6,0,40,0,0,0,40,7,0,44,12,0,0,13,0,0,0,13,7,0,16,3,0,0,7,0,0,0,7,6,0,8,13,0,0,14,0,0,0,14,4,0,22,14,0,0,14,0,0,0,14,3,0,13,14,3,0,25,0,0,0,25,9,0,29,0,0
POA2606,0,0,0,0,0,0,0,0,5,0,8,0,4,0,4,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,3,0,3,0,0,0,3,10,0,11,0,0,0,0,0,0,0,0,13,0,14,3,3,0,3,0,0,0,4,10,0,15,7,7,0,16,0,0,0,16,12,0,24,0,3,0,5,0,0,0,6,10,0,13,11,3,0,13,0,3,3,15,10,0,24,17,3,0,23,0,0,0,21,4,0,23,6,0,3,13,0,0,0,13,4,0,19,10,3,0,12,0,0,0,13,5,0,18,19,7,0,34,0,0,3,34,4,0,37,17,3,0,19,0,0,0,19,8,0,22,9,0,0,10,0,0,0,10,5,0,19,4,0,0,7,0,0,0,7,0,0,12,5,0,0,10,0,0,0,10,0,0,10,15,3,3,18,0,0,0,18,11,0,30,0,0
POA2607,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,3,0,0,0,3,0,0,0,3,3,0,4,0,5,0,5,0,0,0,5,7,0,11,3,0,0,4,0,0,3,9,13,0,22,3,12,0,11,0,0,0,11,16,0,26,9,6,0,15,0,0,0,13,12,0,26,13,9,0,19,0,0,0,21,25,0,45,11,13,0,25,3,0,3,23,5,0,31,26,11,0,39,0,0,0,39,9,0,52,16,4,3,24,0,0,0,24,5,0,27,47,9,3,58,0,0,0,58,11,0,71,15,0,0,17,0,0,0,17,9,0,25,3,0,0,3,0,0,0,3,3,0,7,15,0,0,15,0,0,0,15,3,0,15,14,0,0,17,0,0,0,17,0,0,17,23,4,3,29,0,0,0,29,19,0,58,0,0
POA2609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,0,3,0,0,6,4,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,5,0,0
POA2611,0,0,0,0,0,3,3,3,10,0,13,0,0,0,0,0,0,0,3,3,0,6,0,0,0,3,0,3,4,4,11,0,16,0,3,0,3,0,0,4,6,17,0,25,0,8,0,9,3,4,3,14,23,0,35,3,18,0,25,4,0,6,30,31,0,59,7,22,0,35,5,0,4,39,23,0,63,11,19,0,32,0,0,0,31,28,0,62,22,17,5,40,0,0,3,42,25,0,72,29,18,3,53,0,0,0,53,23,0,75,42,29,3,73,0,0,0,71,19,0,89,53,11,0,69,0,0,0,69,16,0,87,88,31,9,122,0,0,0,126,24,0,145,25,9,0,33,0,0,0,37,18,0,59,27,7,3,36,0,0,0,36,10,0,43,29,3,0,26,0,0,0,26,0,0,26,20,3,0,22,0,0,0,22,6,0,26,47,17,3,72,4,0,4,68,29,3,100,0,3
POA2612,0,0,0,0,0,0,0,0,7,0,7,0,3,0,0,0,0,0,7,6,0,11,0,0,0,0,0,0,0,3,3,0,9,0,4,0,4,4,0,4,5,10,0,13,0,0,0,0,0,0,0,0,5,0,11,0,3,0,3,0,0,0,3,10,0,14,0,8,0,8,0,0,0,8,10,0,23,5,5,0,8,0,0,0,8,5,0,14,6,10,0,16,0,0,0,16,3,0,19,5,3,0,10,0,0,0,10,0,0,10,7,4,0,12,0,0,0,12,4,0,18,10,0,0,11,0,0,0,11,0,0,12,20,3,3,24,0,0,0,24,6,0,31,3,3,0,10,0,0,0,10,3,0,7,4,0,0,4,0,0,0,4,4,0,7,9,0,0,9,0,0,0,9,0,0,13,9,0,0,11,0,0,0,11,3,0,11,10,4,0,17,0,0,0,22,7,0,26,0,0
POA2614,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,3,0,4,4,7,0,6,0,3,0,3,0,3,3,4,15,0,19,0,3,0,3,0,3,4,12,11,0,20,0,5,0,3,0,0,3,10,18,0,24,3,8,3,16,3,0,3,19,22,0,42,5,8,3,19,3,0,3,18,25,0,39,13,16,0,24,0,0,0,30,7,0,36,22,14,0,36,0,0,0,39,23,0,60,20,14,3,39,3,0,3,42,20,0,58,28,12,0,41,0,0,0,41,17,0,67,35,6,0,44,0,0,0,44,11,0,52,58,8,4,71,0,0,0,73,21,0,91,25,0,0,25,0,0,0,25,9,0,39,7,4,0,14,0,0,0,14,0,0,11,23,0,0,23,0,0,0,19,5,0,28,16,0,0,17,0,0,0,17,0,0,14,22,5,3,31,0,0,0,31,18,0,53,3,0
POA2615,3,0,0,5,0,3,4,12,15,0,27,0,5,0,5,0,0,0,3,9,0,13,0,6,0,5,4,5,8,16,36,0,53,0,14,0,15,4,3,4,23,47,0,66,3,26,3,30,5,10,16,46,75,0,119,7,37,5,55,4,5,5,57,71,0,135,20,54,3,77,3,0,4,80,62,0,143,44,48,7,95,4,0,4,100,54,0,149,60,53,4,117,0,4,8,125,65,0,189,88,41,9,137,3,0,3,139,42,0,180,86,31,3,122,0,0,4,123,27,0,156,78,16,0,101,3,0,4,104,26,0,131,137,27,8,169,0,0,0,176,34,0,207,60,14,8,76,5,0,3,83,18,0,98,29,7,3,38,0,0,0,39,11,0,49,21,0,3,23,0,0,0,23,6,0,31,23,3,0,26,0,0,0,26,10,0,33,83,33,9,124,3,0,4,124,60,7,186,5,0
POA2617,0,0,0,0,0,0,0,0,9,0,12,0,0,0,0,0,0,0,3,5,0,6,0,0,0,0,0,3,3,3,20,0,21,0,6,0,8,0,3,3,7,23,0,29,0,10,0,11,0,6,3,16,21,0,35,3,15,0,26,3,0,3,31,20,0,49,12,23,5,35,3,0,3,38,29,0,68,25,25,0,45,0,0,0,45,17,0,66,31,23,0,55,0,0,3,57,36,0,95,34,19,3,62,3,0,3,65,17,0,77,50,6,0,63,0,0,0,65,15,0,81,33,8,0,47,0,0,0,47,15,0,60,90,13,4,110,0,0,0,109,25,0,134,30,3,3,38,0,0,0,38,5,0,48,16,5,7,23,0,0,0,23,3,0,28,14,3,0,17,0,0,0,17,0,0,18,15,3,0,25,0,0,0,25,4,0,29,43,7,3,54,3,0,3,58,26,0,82,3,3
POA2618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,3,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,6,0,0
POA2900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,3,3,0,6,0,0,0,3,0,0,0,3,4,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5,0,0,0,5,3,0,6,3,4,0,3,0,0,0,3,3,0,11,5,0,0,8,0,0,0,8,0,0,8,7,0,0,5,0,0,0,5,4,0,10,9,0,0,12,0,0,0,12,3,0,18,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,7,0,0,9,0,0
POA2902,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,12,0,16,0,3,0,3,0,6,8,13,22,0,31,0,10,0,10,0,0,0,11,21,0,36,3,14,3,21,0,3,4,28,20,0,53,3,20,0,23,4,3,3,32,17,0,47,13,16,0,25,0,0,3,27,16,0,48,27,8,0,38,0,0,3,40,18,0,57,27,15,3,41,0,0,0,44,18,0,65,37,9,0,55,0,0,0,55,8,0,65,24,13,0,30,0,0,0,30,10,0,39,49,7,4,61,0,0,0,59,5,0,66,28,4,3,38,0,0,0,36,7,0,44,15,5,0,20,0,0,0,20,5,0,24,15,0,0,15,0,0,0,15,0,0,17,9,0,0,9,0,0,0,9,4,0,8,25,13,3,45,0,0,0,45,24,0,66,3,0
POA2903,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,3,0,3,4,3,0,12,0,0,0,4,0,0,3,6,10,0,19,3,0,0,6,5,0,3,7,16,0,25,3,6,0,11,0,0,0,13,15,0,34,6,4,0,10,0,0,0,15,7,0,19,8,7,0,18,0,0,0,20,14,0,36,13,6,3,23,0,0,0,26,18,0,38,12,12,0,26,0,0,0,26,11,0,37,10,0,3,18,0,0,0,20,8,0,21,18,6,3,24,0,0,0,24,11,0,40,28,3,0,35,0,0,0,32,12,0,47,20,3,0,24,0,0,0,24,3,0,25,6,0,0,12,0,0,0,12,3,0,9,6,0,0,4,0,0,0,4,0,0,12,17,0,0,17,0,0,0,17,0,0,15,20,9,0,28,0,0,0,28,3,0,38,0,0
POA2904,0,0,0,0,0,0,0,0,4,0,4,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,0,3,8,6,0,14,0,0,0,3,0,0,0,4,6,0,10,0,9,0,9,0,0,0,11,12,0,25,4,11,0,18,0,0,0,18,8,0,24,10,12,0,17,0,0,0,17,12,0,30,15,7,0,29,0,0,0,29,12,0,40,18,7,0,29,0,0,0,28,10,0,38,26,11,3,38,0,0,0,38,6,0,43,19,8,0,28,0,0,0,28,8,0,33,47,15,3,67,0,0,0,67,10,0,76,27,0,0,27,0,0,0,28,7,0,31,16,3,0,22,0,0,0,22,3,0,27,8,0,0,14,0,0,0,14,4,0,19,14,0,0,11,0,0,0,11,3,0,18,40,11,3,48,4,0,4,52,6,0,59,0,3
POA2905,0,0,0,3,0,0,0,3,11,0,12,0,4,0,4,0,0,0,4,3,0,4,0,3,0,3,4,0,4,7,16,0,19,0,6,0,6,3,3,4,13,12,0,27,0,14,0,17,5,0,8,20,37,0,58,3,26,3,38,10,0,12,45,57,0,102,21,30,0,50,0,4,4,52,24,0,84,36,36,4,74,3,0,7,78,30,0,106,48,28,0,75,3,0,7,81,41,0,130,65,18,3,86,0,0,0,86,27,0,113,93,24,4,123,0,0,3,121,17,0,145,69,20,5,90,0,0,0,93,21,0,109,107,17,6,131,0,0,0,134,19,0,151,71,7,0,81,0,0,0,81,12,0,89,37,0,0,37,0,0,0,37,0,0,40,20,0,3,23,0,0,0,21,3,0,28,24,7,0,30,0,0,0,30,3,0,30,67,27,5,102,0,0,6,103,29,3,134,3,0
