POA_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
POA2600,0,0,0,0,0,0,3,0,6,83,35,3,119,0,0,4,121,75,3,205
POA2601,0,0,0,0,0,0,0,0,0,19,0,3,24,0,0,0,24,11,0,36
POA2602,0,3,0,0,0,3,3,0,9,389,207,21,622,19,22,48,666,375,4,1046
POA2603,0,0,0,0,0,0,0,0,0,122,52,9,181,10,3,10,189,74,3,267
POA2604,0,0,0,0,0,0,0,0,0,170,54,6,229,4,9,13,241,120,0,367
POA2605,0,5,0,0,0,5,5,0,11,145,65,7,216,6,3,8,227,115,0,338
POA2606,0,0,0,0,0,0,0,0,0,127,57,6,189,9,7,12,201,114,0,309
POA2607,0,0,0,0,0,0,3,0,6,195,86,11,289,5,0,10,302,162,6,463
POA2609,0,0,0,0,0,0,0,0,0,13,4,0,19,3,0,3,21,10,0,30
POA2611,0,3,0,0,0,3,3,6,11,400,218,32,654,23,14,35,686,318,10,1011
POA2612,0,0,0,0,0,0,0,0,4,91,50,12,155,6,0,6,164,93,0,254
POA2614,0,3,0,0,0,3,10,7,16,274,116,24,405,12,16,31,435,256,5,701
POA2615,0,9,0,0,0,9,15,8,25,755,399,61,1221,37,36,75,1292,675,11,1981
POA2617,0,4,0,0,0,4,3,3,14,405,178,31,616,17,15,28,647,299,5,951
POA2618,0,0,0,0,0,0,0,0,0,9,10,0,21,0,0,0,20,9,0,23
POA2900,0,0,0,0,0,0,0,0,0,42,10,0,59,3,0,3,56,31,0,91
POA2902,0,3,0,0,0,3,3,3,9,278,148,18,444,12,18,32,470,225,7,703
POA2903,0,0,0,0,0,0,5,4,10,171,78,18,260,12,6,16,280,146,7,430
POA2904,0,4,0,0,0,4,3,4,10,248,97,17,362,8,3,10,371,129,4,506
POA2905,0,4,0,0,0,4,9,3,14,663,271,44,974,33,13,47,1021,371,11,1400
POA2906,0,4,0,0,0,4,0,0,4,411,153,28,592,12,13,24,616,214,4,837
POA2911,0,0,0,0,0,0,0,0,0,52,18,0,72,0,0,0,72,16,0,86
POA2912,0,0,0,0,0,0,4,0,3,85,34,3,125,0,3,5,126,38,0,167
POA2913,0,8,0,0,0,8,6,3,14,613,233,51,900,19,9,27,925,285,3,1219
POA2914,0,0,0,0,0,0,4,0,4,402,124,19,543,13,14,24,573,144,0,719
