POA_CODE_2016,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
POA2600,3,4,0,17,0,13,3,12,0,55,5,35,7,16,16,18,0,7,3,100,64,168,36,26,33,14,0,9,10,365,118,174,20,19,31,3,0,3,12,377,155,192,22,25,29,7,5,8,15,452,93,161,9,4,21,15,10,4,13,324,38,77,0,0,18,9,5,0,15,157,12,17,0,0,0,0,0,0,3,31,0,3,0,0,0,0,0,0,0,3,478,820,107,113,143,75,26,43,62,1868,0,3,0,33,4,28,0,6,0,82,3,33,0,27,32,12,0,7,4,123,62,198,5,20,54,8,0,3,11,362,85,153,3,23,66,8,0,3,8,354,124,164,9,17,110,16,0,4,10,453,61,144,0,18,71,13,3,3,5,318,17,45,0,3,27,6,0,3,0,100,0,3,0,0,3,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,350,749,23,147,355,96,5,23,46,1798
POA2601,3,15,3,49,8,26,3,19,0,127,11,83,12,94,37,43,3,26,7,318,62,263,28,21,51,16,7,23,14,477,47,78,12,13,18,3,0,0,6,180,33,41,12,7,9,0,0,0,7,108,31,33,0,6,8,0,3,0,0,81,4,8,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,189,530,65,195,127,90,14,71,33,1314,3,31,3,125,29,80,0,15,0,289,3,76,11,119,83,96,0,18,3,396,47,235,16,32,49,18,0,12,4,408,32,46,0,3,14,0,0,0,0,100,25,35,0,4,24,5,0,0,4,89,17,23,0,3,12,4,0,0,0,53,0,0,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,124,441,29,279,211,205,0,50,11,1351
POA2602,8,20,40,64,5,75,8,67,3,288,40,183,119,216,94,99,30,76,9,867,260,874,275,164,203,76,33,167,67,2116,430,751,170,91,155,35,27,96,53,1805,433,595,154,48,175,37,44,57,51,1592,198,364,79,35,83,22,24,41,17,859,28,96,25,11,18,3,13,12,4,207,3,12,0,7,3,3,0,0,0,28,0,0,3,0,0,0,0,0,0,3,1396,2897,863,622,744,344,175,517,210,7773,4,13,12,111,18,132,0,21,0,320,41,246,44,272,220,143,4,22,14,1005,260,987,83,189,324,72,3,122,44,2077,403,783,48,120,311,46,0,63,54,1843,403,653,39,120,299,45,0,31,34,1630,162,353,31,71,174,30,6,30,19,873,9,81,4,12,28,3,0,6,3,150,0,4,0,0,3,0,0,0,3,15,0,0,0,0,0,0,0,0,3,3,1282,3127,265,891,1384,469,18,299,168,7907
POA2603,3,7,5,21,3,24,3,21,3,88,12,44,30,41,33,17,8,15,3,202,86,249,47,34,65,16,6,15,16,523,140,189,25,15,30,13,4,15,13,440,215,230,32,20,45,30,10,14,20,613,135,148,22,8,36,17,14,5,18,397,44,76,4,3,10,8,0,3,3,161,11,17,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,3,644,961,167,137,212,135,40,82,75,2463,3,3,0,30,8,38,0,3,0,93,7,61,0,38,45,24,0,3,3,185,80,304,10,32,112,14,3,5,13,567,113,205,13,36,82,14,0,7,10,477,139,225,14,31,108,17,0,9,15,555,85,141,3,10,94,16,0,3,13,361,15,31,0,3,18,6,0,0,7,90,4,0,0,3,3,0,0,3,0,15,3,0,0,0,0,0,0,0,0,5,447,967,43,189,469,132,4,32,61,2346
POA2604,3,0,3,21,7,16,0,12,0,66,10,49,28,48,34,21,4,16,4,221,162,485,88,51,105,38,10,24,20,974,184,249,48,37,70,13,15,18,16,640,164,199,49,30,49,18,11,15,8,536,121,132,27,25,39,13,14,10,0,378,19,38,5,3,8,3,4,3,3,93,3,4,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,668,1161,249,203,308,122,57,100,51,2912,0,3,3,27,5,42,0,12,0,89,21,79,12,45,37,35,0,0,9,232,144,593,15,62,167,21,0,6,26,1036,155,265,13,45,98,10,0,14,24,630,146,229,7,31,100,23,0,7,15,562,63,117,14,19,75,21,0,15,5,327,13,19,0,4,20,3,0,3,3,67,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,549,1298,65,235,504,156,5,53,80,2943
POA2605,6,0,16,35,8,49,5,22,0,142,6,32,24,39,10,31,4,23,3,176,47,201,60,32,47,14,9,26,7,434,156,285,37,32,63,18,7,21,18,636,220,267,54,28,56,12,18,12,22,692,97,180,36,15,40,13,12,13,15,421,29,58,8,0,11,4,8,8,8,123,4,5,3,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,570,1027,229,188,240,138,68,124,73,2645,4,6,4,58,7,72,0,8,0,163,15,47,5,55,41,29,0,7,0,202,36,257,13,52,79,14,0,12,12,470,137,324,10,39,88,21,0,9,14,650,156,322,14,49,153,13,0,10,11,732,70,186,9,28,91,17,0,9,4,419,8,39,0,3,18,0,0,0,5,75,3,6,0,0,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,428,1193,61,282,490,163,8,55,43,2725
POA2606,7,4,10,14,3,17,3,20,0,69,17,33,43,31,26,25,10,22,3,209,71,321,127,69,86,30,23,58,15,807,117,198,58,40,54,24,23,55,14,588,112,149,30,26,61,23,9,26,16,458,63,99,28,14,29,7,9,12,9,273,16,32,9,3,7,8,6,3,0,84,7,7,3,0,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,401,839,316,200,271,132,84,207,61,2512,4,0,3,19,11,36,0,6,0,77,16,58,9,50,49,26,0,11,0,220,62,401,29,106,135,23,3,46,14,829,93,226,21,43,93,14,3,14,6,517,102,153,12,34,101,14,0,16,18,455,44,73,0,23,57,12,0,9,7,225,10,16,7,11,16,11,0,3,0,74,0,3,0,3,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,325,938,80,291,463,136,7,105,57,2407
POA2607,3,4,24,51,11,54,11,44,0,198,15,37,79,58,26,42,10,22,7,293,85,195,101,55,57,45,19,43,17,622,156,265,83,42,71,27,20,34,19,725,238,247,90,59,87,23,25,22,26,817,158,208,49,20,60,6,20,20,14,561,35,68,19,4,21,6,10,6,0,174,3,10,3,0,3,5,0,0,0,28,3,0,0,0,0,0,0,0,0,0,704,1049,442,297,337,214,116,188,82,3421,0,5,3,71,26,79,0,13,5,206,11,49,19,84,77,38,0,10,6,295,61,242,17,77,94,37,3,18,6,547,141,332,26,53,155,25,3,17,12,765,182,297,18,65,209,25,0,16,31,848,70,181,20,28,137,21,0,5,10,479,11,47,0,12,44,8,0,3,0,126,0,3,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,473,1163,106,390,736,238,6,86,80,3276
POA2609,0,0,0,0,0,3,0,0,0,8,0,0,8,4,0,0,4,4,0,21,0,8,13,3,0,0,0,3,0,38,6,3,11,0,0,0,4,6,0,32,10,6,11,6,3,3,12,13,3,73,7,3,6,4,0,0,10,5,0,43,9,8,0,0,0,0,0,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,25,50,22,12,6,38,35,10,234,3,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,13,0,5,0,4,7,5,0,3,3,27,6,6,4,0,3,4,0,3,0,28,4,7,3,0,11,0,0,3,0,29,6,3,0,4,6,4,0,10,0,27,3,0,0,0,3,0,0,3,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,25,20,5,11,33,18,3,18,3,141
POA2611,3,8,51,56,15,78,6,65,7,296,31,63,123,79,43,60,22,71,10,499,215,546,290,115,159,60,34,70,24,1523,413,699,248,100,173,41,50,62,49,1841,433,461,189,90,149,42,53,64,39,1509,167,291,99,41,102,30,37,51,17,840,41,107,41,17,34,10,20,15,4,290,6,10,3,0,9,3,0,0,4,34,0,0,0,0,0,0,0,0,0,3,1322,2192,1047,504,674,328,228,394,147,6834,3,10,20,119,25,145,3,21,0,357,21,96,27,126,154,74,0,14,12,524,222,768,37,137,359,65,6,21,41,1662,377,741,47,128,424,56,3,45,43,1854,267,494,46,131,410,58,5,31,33,1470,126,298,25,78,236,36,3,23,13,837,15,83,6,24,64,19,5,10,3,235,5,6,0,0,5,6,0,0,4,23,0,0,0,0,0,0,0,0,0,3,1041,2492,212,752,1673,460,27,168,149,6968
