POA_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
POA2600,0,3,0,54,8,43,3,21,0,131,10,67,12,50,45,28,0,10,7,223,129,365,38,45,82,23,0,12,21,725,196,328,27,40,100,10,0,5,21,730,274,355,25,49,133,27,5,12,21,907,149,297,12,21,89,24,10,9,21,635,53,126,4,7,41,13,5,6,13,256,13,16,0,3,3,3,0,0,7,51,0,3,0,0,0,0,0,0,0,3,832,1567,127,264,498,168,33,67,106,3664
POA2601,3,48,5,173,38,112,3,32,0,422,17,152,19,211,124,137,3,42,3,722,110,501,41,55,97,31,7,36,18,886,77,121,17,17,27,5,0,7,5,275,60,74,12,5,32,5,0,3,6,193,46,58,0,9,16,5,3,3,0,134,5,12,0,3,8,4,0,0,0,22,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,315,969,93,469,341,296,14,124,40,2668
POA2602,8,35,48,173,30,210,8,89,4,607,84,430,166,483,318,234,28,102,28,1868,520,1863,360,347,530,145,38,287,111,4201,836,1539,222,212,464,87,28,164,102,3644,834,1251,197,164,471,76,48,92,83,3220,356,722,112,103,253,48,25,72,39,1734,40,178,28,23,53,11,13,16,8,358,3,15,0,3,9,3,0,0,0,46,0,0,3,0,0,0,0,0,0,6,2684,6025,1125,1513,2127,809,188,818,386,15679
POA2603,8,12,5,55,13,63,3,22,3,185,20,104,33,74,74,46,8,16,3,385,161,550,57,68,171,27,10,26,25,1093,256,392,35,46,107,34,4,18,28,922,357,457,42,52,150,47,10,16,30,1173,218,287,26,15,125,36,13,8,29,762,61,109,4,10,33,16,0,6,13,253,11,17,0,3,3,3,0,3,7,45,3,0,0,0,0,0,0,0,3,8,1094,1926,205,326,683,271,48,115,135,4815
POA2604,5,3,5,45,12,58,0,23,0,148,33,128,37,89,69,55,4,16,7,448,301,1077,104,109,270,58,10,31,39,2011,342,513,62,81,168,24,10,27,39,1262,312,430,58,60,151,39,11,19,24,1094,190,249,39,42,111,30,14,27,7,707,31,56,12,5,27,13,4,5,6,159,3,7,3,3,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,3,1213,2456,312,442,817,275,62,157,128,5858
POA2605,8,8,18,89,17,126,3,35,0,306,23,78,33,93,60,62,9,27,3,384,78,454,73,82,127,25,9,35,20,904,299,612,52,71,151,40,11,26,26,1291,380,587,66,79,206,23,14,20,38,1423,173,366,45,49,133,27,14,22,14,839,35,95,8,5,30,6,11,7,8,201,7,13,3,0,8,0,0,0,0,27,0,0,0,0,0,0,0,0,0,3,995,2217,296,465,725,309,73,172,114,5371
POA2606,4,6,15,32,10,45,3,33,0,151,26,88,59,84,68,55,10,32,7,427,139,719,160,169,219,57,26,105,30,1632,210,423,80,83,148,36,22,72,25,1098,213,301,37,65,166,39,9,43,34,916,106,174,28,38,88,16,8,24,13,500,22,54,15,13,30,13,9,9,3,156,6,9,4,3,3,4,0,0,0,31,0,0,0,0,0,0,0,0,0,4,730,1777,397,497,735,265,94,315,115,4918
POA2607,10,9,28,120,30,133,12,58,7,408,30,88,96,144,99,81,10,32,14,593,143,434,115,133,150,79,24,58,21,1166,305,593,106,98,224,58,24,52,31,1489,416,548,114,121,300,50,26,43,55,1664,231,391,63,54,195,33,22,26,27,1037,47,121,20,16,66,17,10,14,0,304,3,13,3,0,8,5,0,0,3,35,3,0,0,0,0,0,0,0,0,0,1179,2212,541,684,1076,450,123,273,161,6701
POA2609,3,0,0,0,0,4,0,0,0,15,0,0,8,10,7,0,4,3,0,33,3,13,9,10,5,5,0,4,3,60,14,7,16,0,8,4,4,12,0,62,12,20,17,8,13,3,16,18,3,99,10,7,6,6,9,3,10,15,0,73,12,8,0,6,7,0,0,5,0,36,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,59,49,60,39,43,21,35,59,10,375
POA2611,10,21,73,178,41,227,15,81,8,649,56,159,152,211,197,135,22,81,21,1024,441,1318,328,252,524,133,35,95,64,3187,791,1437,288,233,596,99,53,104,93,3699,700,950,235,221,552,97,57,96,65,2980,291,587,124,119,335,65,38,74,37,1672,63,192,49,41,96,35,29,23,10,531,8,13,3,3,12,9,0,3,4,61,0,0,0,0,0,0,0,4,0,5,2355,4684,1261,1251,2350,788,251,564,304,13801
POA2612,287,43,10,116,15,69,4,32,11,581,568,416,81,321,230,154,8,80,37,1903,538,1707,206,288,453,118,12,138,75,3530,372,617,61,91,159,39,13,56,46,1444,345,441,36,60,169,34,11,36,40,1163,181,312,19,27,99,23,8,14,25,715,41,75,10,9,26,10,0,8,3,184,5,14,0,0,8,3,0,0,0,30,0,0,0,0,0,0,0,0,0,4,2337,3633,417,907,1160,440,49,368,237,9553
POA2614,9,9,31,129,20,152,3,62,4,420,50,128,109,198,109,136,20,83,18,845,242,698,222,210,287,105,45,106,55,1967,438,934,177,149,326,59,38,81,68,2276,472,776,149,144,321,66,32,67,57,2077,219,465,77,88,162,44,29,38,18,1136,47,127,24,20,58,19,8,14,13,337,8,32,3,3,9,0,0,3,3,65,0,0,0,0,0,0,0,0,0,4,1487,3171,787,949,1296,581,163,455,243,9129
POA2615,17,23,124,245,71,409,22,206,19,1140,92,216,355,427,262,312,54,197,32,1943,610,1533,842,586,1012,287,130,261,133,5396,938,1734,689,495,1187,207,157,253,173,5825,712,1092,467,437,914,198,185,232,106,4348,408,675,256,240,608,127,149,198,69,2728,68,157,78,64,132,46,51,41,20,657,0,11,0,7,6,4,4,6,3,39,0,0,3,0,4,0,0,0,5,8,2843,5443,2815,2505,4190,1591,751,1380,561,22086
POA2617,21,33,50,221,49,299,20,104,7,799,118,368,259,609,313,438,41,175,36,2359,578,1838,503,569,790,289,76,231,102,4982,684,1312,360,274,554,107,56,149,96,3589,557,823,247,207,523,106,66,125,69,2723,341,563,178,134,400,81,64,97,47,1908,59,125,42,48,95,37,16,44,18,484,0,6,5,3,4,0,0,0,4,29,0,0,0,0,0,0,0,0,0,4,2357,5089,1644,2056,2721,1356,351,925,374,16879
POA2618,4,3,8,19,4,6,0,11,4,65,0,3,15,11,14,10,3,3,0,64,12,19,11,8,14,0,3,3,6,76,45,36,24,15,36,5,3,8,3,166,52,45,15,8,39,8,9,7,0,191,28,33,12,11,18,10,4,4,0,122,31,20,3,0,7,3,4,0,0,60,8,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,176,168,97,66,125,50,23,52,10,760
POA2900,0,0,0,8,5,9,0,9,0,26,12,15,23,16,20,14,0,10,0,112,34,172,32,32,51,14,10,4,3,346,27,93,22,12,39,7,7,5,9,217,39,48,10,23,31,6,6,5,5,169,17,35,12,6,39,8,11,12,0,144,4,8,3,3,6,4,0,0,0,29,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,137,372,99,98,189,60,26,42,15,1051
POA2902,12,8,39,107,15,136,10,66,6,409,25,58,93,117,101,94,14,44,3,556,163,394,232,153,245,63,26,72,43,1380,306,555,161,138,324,63,38,64,55,1709,322,477,147,148,318,64,54,64,45,1638,164,301,95,109,251,57,48,71,33,1143,39,116,25,29,70,9,18,19,5,342,3,3,3,3,9,3,0,6,0,25,0,0,0,0,0,0,0,0,0,0,1027,1912,801,806,1328,494,214,403,207,7200
POA2903,4,7,20,57,14,100,10,57,3,274,19,47,49,81,90,61,13,35,15,396,98,283,133,95,169,49,28,33,12,894,177,330,102,90,193,43,26,41,33,1039,181,276,95,95,216,47,27,51,22,1014,131,218,57,78,193,47,42,28,16,814,18,53,20,13,39,16,20,10,10,205,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,631,1213,484,510,918,354,160,254,110,4641
POA2904,3,6,34,115,22,135,11,59,8,388,31,88,98,111,118,88,18,44,13,610,150,356,182,100,258,52,27,45,35,1192,271,435,140,95,244,45,16,47,27,1324,389,442,121,139,291,36,46,44,49,1558,248,388,102,120,312,70,37,51,25,1356,38,74,27,19,52,15,14,19,0,256,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1127,1783,701,694,1314,439,168,310,152,6695
