POA_CODE_2016,M_Mng_0,M_Mng_1_15,M_Mng_16_24,M_Mng_25_34,M_Mng_35_39,M_Mng_40,M_Mng_41_48,M_Mng_49over,M_Mng_hours_NS,M_Mng_Tot,M_Pro_0,M_Pro_1_15,M_Pro_16_24,M_Pro_25_34,M_Pro_35_39,M_Pro_40,M_Pro_41_48,M_Pro_49over,M_Pro_hours_NS,M_Pro_Tot,M_TTW_0,M_TTW_1_15,M_TTW_16_24,M_TTW_25_34,M_TTW_35_39,M_TTW_40,M_TTW_41_48,M_TTW_49over,M_TTW_hours_NS,M_TTW_Tot,M_CPS_0,M_CPS_1_15,M_CPS_16_24,M_CPS_25_34,M_CPS_35_39,M_CPS_40,M_CPS_41_48,M_CPS_49over,M_CPS_hours_NS,M_CPS_Tot,M_CA_0,M_CA_1_15,M_CA_16_24,M_CA_25_34,M_CA_35_39,M_CA_40,M_CA_41_48,M_CA_49over,M_CA_hours_NS,M_CA_Tot,M_Sal_0,M_Sal_1_15,M_Sal_16_24,M_Sal_25_34,M_Sal_35_39,M_Sal_40,M_Sal_41_48,M_Sal_49over,M_Sal_hours_NS,M_Sal_Tot,M_MOD_0,M_MOD_1_15,M_MOD_16_24,M_MOD_25_34,M_MOD_35_39,M_MOD_40,M_MOD_41_48,M_MOD_49over,M_MOD_hours_NS,M_MOD_Tot,M_Lab_0,M_Lab_1_15,M_Lab_16_24,M_Lab_25_34,M_Lab_35_39,M_Lab_40,M_Lab_41_48,M_Lab_49over,M_Lab_hours_NS,M_Lab_Tot,M_ID_NS_0,M_ID_NS_1_15,M_ID_NS_16_24,M_ID_NS_25_34,M_ID_NS_35_39,M_ID_NS_40,M_ID_NS_41_48,M_ID_NS_49over,M_ID_NS_hours_NS,M_ID_NS_Tot,M_Tot_0,M_Tot_1_15,M_Tot_16_24,M_Tot_25_34,M_Tot_35_39,M_Tot_40,M_Tot_41_48,M_Tot_49over,M_Tot_hours_NS,M_Tot_Tot,F_Mng_0,F_Mng_1_15,F_Mng_16_24,F_Mng_25_34,F_Mng_35_39,F_Mng_40,F_Mng_41_48,F_Mng_49over,F_Mng_hours_NS,F_Mng_Tot,F_Pro_0,F_Pro_1_15,F_Pro_16_24,F_Pro_25_34,F_Pro_35_39,F_Pro_40,F_Pro_41_48,F_Pro_49over,F_Pro_hours_NS,F_Pro_Tot,F_TTW_0,F_TTW_1_15,F_TTW_16_24,F_TTW_25_34,F_TTW_35_39,F_TTW_40,F_TTW_41_48,F_TTW_49over,F_TTW_hours_NS,F_TTW_Tot,F_CPS_0,F_CPS_1_15,F_CPS_16_24,F_CPS_25_34,F_CPS_35_39,F_CPS_40,F_CPS_41_48,F_CPS_49over,F_CPS_hours_NS,F_CPS_Tot,F_CA_0,F_CA_1_15,F_CA_16_24,F_CA_25_34,F_CA_35_39,F_CA_40,F_CA_41_48,F_CA_49over,F_CA_hours_NS,F_CA_Tot,F_Sal_0,F_Sal_1_15,F_Sal_16_24,F_Sal_25_34,F_Sal_35_39,F_Sal_40,F_Sal_41_48,F_Sal_49over,F_Sal_hours_NS,F_Sal_Tot,F_MOD_0,F_MOD_1_15,F_MOD_16_24,F_MOD_25_34,F_MOD_35_39,F_MOD_40,F_MOD_41_48,F_MOD_49over,F_MOD_hours_NS,F_MOD_Tot,F_Lab_0,F_Lab_1_15,F_Lab_16_24,F_Lab_25_34,F_Lab_35_39,F_Lab_40,F_Lab_41_48,F_Lab_49over,F_Lab_hours_NS,F_Lab_Tot,F_ID_NS_0,F_ID_NS_1_15,F_ID_NS_16_24,F_ID_NS_25_34,F_ID_NS_35_39,F_ID_NS_40,F_ID_NS_41_48,F_ID_NS_49over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_15,F_Tot_16_24,F_Tot_25_34,F_Tot_35_39,F_Tot_40,F_Tot_41_48,F_Tot_49over,F_Tot_hours_NS,F_Tot_Tot
POA2600,16,11,15,13,40,97,81,200,3,478,18,49,27,45,120,214,108,230,3,820,4,4,8,3,19,21,17,22,4,107,3,28,5,18,7,18,14,18,0,113,0,12,7,8,41,37,12,19,0,143,0,24,3,10,10,6,3,21,3,75,0,9,3,0,0,3,0,3,0,26,0,14,5,5,8,0,6,9,0,43,3,3,6,4,8,18,5,11,5,62,45,161,77,106,257,424,249,534,24,1868,13,19,19,27,42,74,59,101,4,350,47,57,84,80,129,126,86,129,3,749,0,0,0,0,8,3,0,4,3,23,9,60,27,17,13,9,4,6,5,147,19,49,39,39,87,68,32,18,4,355,7,33,17,16,5,6,3,8,0,96,0,0,0,0,0,0,0,0,0,5,0,8,3,7,5,0,0,3,0,23,0,4,0,3,9,9,8,6,3,46,92,236,186,188,296,304,185,286,19,1798
POA2601,9,12,5,5,20,39,30,69,3,189,9,73,20,32,100,124,61,83,22,530,0,7,4,3,17,13,6,11,3,65,12,76,20,12,15,6,4,5,35,195,13,28,16,6,31,15,10,7,6,127,7,32,16,8,3,3,3,4,15,90,0,8,3,0,0,0,3,0,0,14,4,30,22,3,3,0,3,0,9,71,0,0,0,3,4,10,3,7,0,33,60,258,106,67,202,214,127,188,95,1314,9,0,4,3,23,27,26,32,0,124,19,79,12,28,88,92,43,51,33,441,0,3,3,4,3,3,3,9,4,29,19,106,59,17,5,6,3,9,51,279,15,51,33,12,33,25,13,10,15,211,16,87,41,9,3,0,3,3,41,205,0,0,0,0,0,0,0,0,0,0,0,20,14,3,0,0,0,0,10,50,0,0,0,0,0,4,3,0,3,11,81,353,164,72,162,161,97,107,158,1351
POA2602,37,30,34,86,232,315,239,426,3,1396,91,173,141,191,697,742,379,481,12,2897,29,60,67,59,207,194,99,146,11,863,20,152,84,60,82,85,62,60,3,622,29,38,45,72,258,140,78,80,4,744,9,119,56,36,41,36,17,31,3,344,0,31,18,10,32,24,13,32,3,175,11,121,129,65,59,57,17,54,9,517,4,13,10,9,45,45,20,37,37,210,222,731,581,582,1654,1648,924,1335,91,7773,79,42,80,161,223,258,231,217,7,1282,164,306,320,423,630,578,326,355,21,3127,5,28,38,41,75,34,20,21,0,265,28,278,183,124,120,67,41,43,9,891,56,150,164,169,422,235,106,71,6,1384,24,193,80,59,51,25,16,13,7,469,0,5,0,3,0,0,3,0,0,18,6,86,88,29,35,19,8,18,8,299,13,4,12,17,37,19,12,20,26,168,383,1091,960,1037,1595,1241,757,760,74,7907
POA2603,18,16,3,16,70,128,118,272,0,644,29,52,27,49,165,241,145,252,7,961,6,17,6,12,40,42,15,26,0,167,0,39,13,13,20,20,11,21,0,137,7,17,9,16,66,38,29,33,0,212,3,21,21,7,26,20,10,30,0,135,0,4,3,0,6,14,3,4,3,40,0,31,10,5,13,7,3,13,0,82,3,7,8,3,12,18,5,21,11,75,64,201,105,134,409,520,336,671,22,2463,23,19,21,38,70,97,61,113,0,447,32,72,80,93,202,214,126,140,7,967,0,0,3,3,14,5,3,3,0,43,8,52,36,29,20,16,10,12,3,189,14,47,61,46,152,90,33,28,4,469,9,52,18,11,11,16,11,4,3,132,0,3,0,0,0,0,0,0,0,4,0,5,8,6,6,3,0,0,0,32,3,9,3,0,8,8,4,10,11,61,92,261,229,230,494,450,246,323,23,2346
POA2604,20,20,16,14,87,146,121,251,3,668,32,37,28,56,261,346,172,213,4,1161,6,8,7,13,45,72,31,58,4,249,16,43,19,21,22,35,17,30,3,203,13,19,9,18,87,73,41,47,3,308,0,27,7,10,13,24,12,18,5,122,0,4,3,9,10,12,3,5,7,57,9,23,9,14,15,16,9,9,0,100,0,3,0,0,16,14,4,11,3,51,91,184,101,156,556,739,413,637,33,2912,48,8,19,36,91,115,93,132,6,549,65,64,56,108,336,286,191,186,7,1298,4,5,8,8,16,7,13,9,5,65,15,55,33,40,36,29,19,6,3,235,22,33,31,57,166,110,56,36,3,504,3,54,26,14,23,12,11,11,3,156,0,0,0,0,0,0,0,0,0,5,0,20,11,9,9,0,0,0,0,53,7,8,0,0,12,22,6,7,11,80,164,248,183,272,688,585,377,379,33,2943
POA2605,20,19,14,21,75,121,103,197,0,570,35,56,37,73,216,273,129,206,3,1027,10,17,7,20,47,59,23,51,3,229,7,39,23,20,23,34,9,20,0,188,18,19,12,15,59,50,32,38,0,240,7,54,14,14,15,13,10,20,0,138,5,6,5,3,11,12,6,9,0,68,7,38,16,22,15,14,5,11,0,124,4,4,3,5,11,21,7,12,14,73,102,244,131,192,476,585,330,557,27,2645,21,15,26,57,67,78,62,95,3,428,80,79,129,191,224,208,118,150,7,1193,0,6,10,12,7,9,5,6,0,61,15,84,48,44,43,19,6,17,3,282,27,51,49,57,129,107,32,34,4,490,9,74,30,23,11,14,3,0,0,163,0,3,0,0,3,0,0,0,0,8,0,15,9,10,3,7,0,3,0,55,0,0,3,3,9,12,0,6,12,43,161,338,301,394,499,450,235,315,33,2725
POA2606,5,11,4,16,63,107,64,121,4,401,17,30,34,45,242,256,96,110,3,839,12,16,16,14,82,88,44,40,3,316,6,35,32,33,44,15,20,19,4,200,13,19,9,18,105,56,29,15,3,271,3,18,9,17,31,15,10,18,3,132,0,5,3,14,15,8,9,16,0,84,9,47,44,38,26,23,10,13,7,207,3,6,0,3,13,11,6,9,10,61,67,186,161,205,625,574,285,362,47,2512,14,11,16,39,76,57,43,71,3,325,51,39,68,111,292,193,75,95,11,938,0,5,10,10,26,18,5,6,0,80,10,67,59,47,69,20,11,17,0,291,21,41,46,62,151,89,34,14,3,463,3,43,23,16,22,13,6,9,0,136,0,0,0,0,0,0,0,3,0,7,0,26,35,15,16,9,0,8,3,105,0,4,5,4,10,8,5,5,11,57,106,231,262,292,671,410,180,223,26,2407
POA2607,20,17,28,27,102,160,119,225,8,704,31,48,48,67,236,287,116,203,13,1049,8,20,33,25,83,132,63,67,10,442,12,81,22,36,40,47,23,29,3,297,9,19,22,12,110,94,27,38,3,337,4,56,31,31,26,23,13,25,0,214,12,21,11,11,22,9,12,20,0,116,3,51,31,24,32,13,15,10,4,188,4,3,4,3,14,19,10,13,9,82,93,316,227,242,676,788,396,638,48,3421,23,14,21,51,82,93,69,108,4,473,77,101,116,179,239,229,96,117,13,1163,4,17,15,15,23,16,5,10,0,106,12,104,76,59,73,31,15,19,4,390,32,72,75,121,209,122,56,36,8,736,6,102,38,41,24,17,3,6,4,238,0,0,3,0,0,0,0,0,0,6,0,28,20,14,17,3,3,0,0,86,7,3,5,9,12,15,11,8,3,80,166,438,364,492,683,530,266,305,40,3276
POA2609,0,0,0,0,3,5,0,20,0,32,3,3,0,0,7,6,4,3,0,25,0,4,0,0,10,14,4,10,0,50,0,4,0,4,0,7,5,3,0,22,0,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,3,0,6,0,3,7,9,7,7,3,8,0,38,0,8,0,6,7,6,3,10,0,35,0,0,0,0,0,3,0,0,8,10,4,23,12,19,41,46,20,54,11,234,0,3,0,0,8,0,0,4,0,25,0,3,3,5,3,9,0,5,0,20,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,3,0,11,3,11,0,0,4,3,4,3,0,33,0,3,0,6,7,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,7,3,9,0,0,0,3,18,0,0,0,0,0,0,0,0,0,3,8,24,13,17,27,21,9,12,4,141
POA2611,36,23,29,43,221,346,225,389,7,1322,54,90,82,121,545,628,299,347,25,2192,29,57,37,72,241,280,113,199,14,1047,23,94,50,45,75,87,50,76,11,504,29,37,35,51,223,165,68,72,0,674,9,93,39,32,39,48,28,36,7,328,13,31,12,21,42,43,28,41,4,228,13,81,49,50,55,69,30,39,10,394,3,10,4,14,29,34,15,20,15,147,205,512,332,459,1473,1690,861,1220,91,6834,87,31,69,113,215,188,154,163,7,1041,193,175,259,400,545,416,234,260,10,2492,13,29,31,33,43,26,14,13,0,212,38,192,121,138,116,60,38,34,12,752,110,147,168,238,496,297,117,86,15,1673,21,169,83,60,54,28,13,15,10,460,3,3,0,10,4,0,0,3,0,27,5,69,33,21,15,12,9,3,9,168,12,5,9,17,36,37,13,10,15,149,473,835,771,1033,1530,1070,595,596,73,6968
