POA_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
POA2600,28,29,26,38,82,179,134,301,3,832,71,114,117,130,247,342,194,366,3,1567,4,9,5,8,21,28,17,32,5,127,9,87,34,33,21,28,22,22,3,264,16,63,44,51,131,114,46,41,4,498,3,56,19,21,16,12,6,24,6,168,0,11,3,0,5,3,0,4,3,33,0,25,10,11,7,0,4,13,0,67,7,9,6,6,20,25,6,17,10,106,140,392,266,299,555,730,433,812,42,3664
POA2601,10,10,11,7,41,69,53,101,5,315,26,154,36,54,192,214,110,137,50,969,0,5,8,5,21,14,11,15,9,93,37,188,82,25,18,14,7,17,84,469,23,81,49,19,68,44,27,12,22,341,25,121,60,13,9,4,3,5,55,296,0,8,3,0,0,0,3,0,0,14,8,47,31,7,5,3,3,0,16,124,3,0,0,3,11,11,6,7,3,40,135,610,275,138,361,375,218,297,250,2668
POA2602,119,73,114,243,448,569,464,639,13,2684,255,474,463,610,1328,1318,711,837,31,6025,33,85,98,101,286,229,115,168,13,1125,48,429,271,182,206,152,97,104,13,1513,87,189,206,235,682,381,183,148,14,2127,30,309,139,92,91,65,33,47,5,809,6,37,27,15,30,25,17,29,3,188,20,210,217,102,94,80,25,64,16,818,21,15,19,29,89,68,31,57,59,386,612,1821,1542,1618,3252,2887,1682,2097,172,15679
POA2603,43,37,22,54,141,226,183,381,0,1094,61,121,102,141,368,452,264,392,17,1926,6,17,10,19,58,48,21,36,0,205,9,93,56,44,44,36,15,31,4,326,25,63,70,64,220,128,59,63,5,683,13,71,39,26,34,34,22,35,3,271,0,9,3,0,6,16,3,4,3,48,0,42,13,14,17,14,3,18,0,115,3,8,10,4,21,27,18,29,14,135,158,461,331,362,905,972,583,990,46,4815
POA2604,59,29,40,50,183,265,211,377,5,1213,98,101,86,165,597,635,364,398,9,2456,10,18,17,21,59,79,41,61,3,312,30,95,49,60,60,70,33,40,4,442,35,51,47,72,251,184,90,81,5,817,4,85,29,25,36,34,22,25,9,275,0,4,3,11,10,12,3,11,7,62,9,49,17,22,24,17,11,12,3,157,10,9,0,5,28,40,9,12,11,128,257,437,284,432,1252,1329,790,1017,65,5858
POA2605,44,33,40,77,147,194,168,297,4,995,112,136,164,265,437,478,244,355,11,2217,10,21,13,31,58,65,29,58,3,296,24,128,73,61,62,52,22,37,7,465,40,67,64,73,185,155,67,71,4,725,12,133,42,38,25,27,10,20,0,309,3,11,11,5,17,12,6,9,0,73,4,56,22,33,14,22,4,13,0,172,3,4,8,9,25,26,9,12,21,114,262,581,434,590,973,1037,563,872,59,5371
POA2606,22,18,22,54,139,166,110,191,9,730,74,71,106,155,532,447,171,209,10,1777,9,21,32,26,111,101,47,43,3,397,18,101,83,77,110,43,24,31,9,497,36,58,55,72,265,144,57,33,6,735,7,62,41,40,51,26,18,26,3,265,0,5,7,18,15,10,9,20,0,94,4,74,75,49,39,33,8,15,10,315,3,5,5,3,25,22,9,16,25,115,168,418,430,493,1295,986,467,581,76,4918
POA2607,47,34,48,83,182,257,193,332,10,1179,106,150,161,241,477,515,214,325,26,2212,13,35,49,37,104,142,65,74,10,541,27,182,94,99,118,82,39,45,7,684,42,96,93,130,321,213,86,78,12,1076,10,158,63,72,50,39,18,37,6,450,12,21,14,15,19,15,12,20,5,123,8,73,51,41,47,18,17,10,3,273,5,7,14,12,30,36,18,23,13,161,265,757,592,732,1362,1319,660,941,87,6701
POA2609,0,8,0,3,12,5,4,27,0,59,3,3,3,7,4,16,4,7,0,49,0,4,3,7,9,9,4,15,0,60,3,9,3,4,3,6,5,3,0,39,3,11,3,3,13,5,4,3,0,43,0,3,0,4,7,3,0,3,0,21,0,3,7,9,7,5,3,8,0,35,0,6,3,9,11,8,3,6,3,59,0,0,0,0,0,3,0,0,8,10,14,49,29,42,63,70,30,70,9,375
POA2611,119,57,93,160,442,530,383,554,16,2355,249,271,339,523,1089,1040,533,610,36,4684,46,90,73,104,281,305,131,214,18,1261,58,287,168,181,191,147,87,116,22,1251,139,184,205,286,714,461,184,160,17,2350,31,265,118,92,100,79,46,52,14,788,12,34,15,32,43,40,28,45,9,251,21,152,82,71,71,76,34,41,12,564,18,13,19,28,73,70,27,30,32,304,680,1343,1106,1486,3002,2757,1451,1813,162,13801
POA2612,61,55,59,112,257,475,332,963,19,2337,108,233,134,223,930,854,483,636,28,3633,8,23,38,41,87,92,54,69,4,417,41,189,139,76,105,101,54,163,40,907,48,95,97,74,391,235,116,102,9,1160,17,167,63,46,43,28,22,45,14,440,0,5,8,7,3,10,11,4,0,49,11,103,107,48,36,26,9,27,5,368,7,19,8,17,59,32,19,38,35,237,305,886,655,640,1919,1856,1094,2043,156,9553
POA2614,61,50,63,129,279,330,235,335,4,1487,152,241,254,370,728,642,354,405,16,3171,16,52,40,71,199,177,95,123,14,787,45,217,149,135,165,92,60,74,13,949,63,113,106,153,401,252,116,86,7,1296,21,183,100,76,66,48,34,38,7,581,0,20,18,21,21,32,26,30,3,163,20,111,96,64,63,61,16,33,9,455,13,17,10,16,51,50,28,22,35,243,393,994,829,1034,1969,1692,959,1146,108,9129
POA2615,103,70,102,183,635,662,453,604,26,2843,288,322,365,567,1418,1207,593,651,32,5443,71,142,136,201,685,776,338,435,37,2815,114,449,353,412,473,290,180,204,32,2505,228,266,300,470,1439,817,349,291,32,4190,63,465,236,221,256,149,83,93,23,1591,32,64,52,59,135,128,110,164,12,751,47,318,172,161,262,191,100,118,22,1380,28,23,21,37,158,104,55,53,82,561,973,2123,1728,2315,5452,4325,2260,2613,298,22086
POA2617,91,80,96,160,480,546,365,519,20,2357,197,331,290,435,1410,1295,523,567,37,5089,36,99,110,102,417,410,193,261,12,1644,91,475,375,311,290,186,108,148,71,2056,141,193,231,288,916,534,225,164,24,2721,63,402,257,180,197,91,61,62,41,1356,13,46,36,42,48,66,38,53,15,351,23,218,187,117,153,105,47,43,23,925,13,20,19,28,78,70,35,43,59,374,672,1866,1603,1670,3986,3314,1601,1865,299,16879
POA2618,3,12,9,16,21,28,14,67,0,176,16,12,12,30,21,31,16,23,4,168,0,9,3,4,8,28,10,27,4,97,8,19,11,13,8,5,5,3,0,66,10,13,16,21,28,27,4,3,3,125,3,19,6,3,4,10,0,4,0,50,0,3,3,4,0,3,4,10,0,23,0,11,4,4,5,7,3,9,4,52,3,0,0,0,3,0,0,0,5,10,43,99,57,88,106,141,63,141,25,760
