POA_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
POA2600,4,0,11,70,99,169,0,0,0,4,0,4,8,9,11,1103,952,2056,74,134,213,11,0,15,24,4,28,96,24,122,16,12,27,196,188,380,1609,1423,3026,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,5,10,0,0,3,4,12,17,17,17,37,24,33,54,0,0,0,3,0,3,3,0,7,3,0,4,105,140,242,124,202,322,10,4,19,1868,1798,3664
POA2601,3,0,3,88,143,226,0,0,0,0,0,0,5,3,6,391,282,677,25,43,69,0,0,0,19,3,17,79,62,147,15,4,20,439,421,855,1061,960,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,5,7,9,12,8,15,21,10,8,14,12,18,37,0,0,0,3,0,3,0,0,0,4,3,7,44,39,79,185,321,512,5,3,9,1314,1351,2668
POA2602,4,7,15,563,656,1218,3,0,3,0,0,0,15,11,29,4187,4123,8302,315,573,891,40,0,43,147,31,182,1051,657,1707,60,28,85,334,326,658,6726,6416,13136,0,0,0,0,0,0,0,0,0,3,4,11,0,0,0,0,0,0,9,4,12,0,0,0,0,0,0,23,19,43,18,30,50,31,32,57,69,81,152,78,61,141,157,149,306,3,4,5,9,6,18,8,6,13,24,17,41,239,325,563,582,958,1542,50,48,97,7773,7907,15679
POA2603,10,3,14,107,116,227,0,0,0,0,0,3,5,5,12,1545,1347,2895,106,190,290,11,0,11,27,4,32,109,66,175,16,14,24,194,207,402,2143,1952,4096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,7,4,9,5,7,6,17,11,25,24,17,36,37,27,65,3,0,3,0,0,3,0,0,0,4,3,6,122,139,262,135,218,353,14,11,28,2463,2346,4815
POA2604,8,3,17,185,188,376,0,0,0,0,0,0,9,10,27,1746,1679,3426,134,257,389,17,3,19,50,8,55,179,78,250,21,12,31,259,239,500,2610,2480,5091,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,3,5,7,5,9,12,7,5,13,10,23,32,31,22,49,39,40,80,0,0,0,3,4,7,3,0,3,3,4,10,76,96,176,173,301,473,13,15,25,2912,2943,5858
POA2605,3,0,3,167,161,332,0,0,3,0,0,3,5,3,10,1657,1571,3227,104,210,317,14,0,14,39,4,43,129,37,169,19,14,28,115,189,299,2253,2190,4445,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,3,4,11,5,18,23,7,5,6,14,22,41,33,20,48,47,43,99,0,0,0,3,0,4,3,3,3,8,3,5,110,122,235,203,345,548,16,20,32,2645,2725,5371
POA2606,3,0,3,219,220,444,0,0,0,0,0,0,3,4,11,1492,1210,2702,97,215,314,14,0,14,41,4,48,62,27,90,17,7,26,264,326,591,2213,2011,4223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,8,9,14,3,14,23,8,8,7,17,30,42,15,19,32,31,44,72,0,0,0,0,3,3,0,0,0,0,3,3,73,82,150,177,244,418,22,22,46,2512,2407,4918
POA2607,4,0,3,195,198,395,0,0,0,0,3,3,0,3,8,2354,2074,4429,133,294,429,34,0,29,50,3,57,93,23,116,13,13,25,82,47,131,2959,2671,5630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,21,23,40,16,20,30,5,3,10,34,46,81,22,20,41,63,66,128,3,3,4,4,9,15,0,0,0,9,9,19,128,139,269,251,368,619,19,19,40,3421,3276,6701
POA2609,0,0,0,8,3,11,0,0,0,0,0,0,3,0,3,154,84,240,6,11,16,3,0,3,0,0,0,0,0,3,8,0,8,19,3,27,206,104,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,12,6,22,17,25,34,8,0,4,234,141,375
POA2611,3,0,9,266,308,574,0,0,3,0,0,0,11,12,22,4838,4540,9377,294,549,835,69,0,70,116,22,134,225,52,275,31,16,53,89,83,169,5945,5575,11522,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,22,36,59,24,42,59,9,12,20,55,89,139,63,50,107,113,139,252,0,0,3,6,3,9,3,0,3,7,6,14,220,268,481,513,951,1461,39,33,77,6834,6968,13801
