POA_CODE_2016,Suburb,Population,Age_0_4_yr_P,Age_5_14_yr_P,Age_15_19_yr_P,Age_20_24_yr_P,Age_25_34_yr_P,Age_35_44_yr_P,Age_45_54_yr_P,Age_55_64_yr_P,Age_65_74_yr_P,Age_75_84_yr_P,Age_85_ov_P
POA2600,YARRALUMLA,1207.833333,54.33333333,122.5,68.66666667,52.66666667,143.1666667,151.1666667,180.6666667,165,158.3333333,70,42.33333333
POA2600,CAPITAL HILL,1207.833333,54.33333333,122.5,68.66666667,52.66666667,143.1666667,151.1666667,180.6666667,165,158.3333333,70,42.33333333
POA2600,DEAKIN,1207.833333,54.33333333,122.5,68.66666667,52.66666667,143.1666667,151.1666667,180.6666667,165,158.3333333,70,42.33333333
POA2600,BARTON,1207.833333,54.33333333,122.5,68.66666667,52.66666667,143.1666667,151.1666667,180.6666667,165,158.3333333,70,42.33333333
POA2600,RUSSELL,1207.833333,54.33333333,122.5,68.66666667,52.66666667,143.1666667,151.1666667,180.6666667,165,158.3333333,70,42.33333333
POA2600,PARKES,1207.833333,54.33333333,122.5,68.66666667,52.66666667,143.1666667,151.1666667,180.6666667,165,158.3333333,70,42.33333333
POA2601,ACTON,1590.75,19,10,343.75,558.25,388.5,104,69,56.5,28.75,6.25,7.75
POA2601,MOLONGLO,1590.75,19,10,343.75,558.25,388.5,104,69,56.5,28.75,6.25,7.75
POA2601,CITY,1590.75,19,10,343.75,558.25,388.5,104,69,56.5,28.75,6.25,7.75
POA2601,SCULLIN,1590.75,19,10,343.75,558.25,388.5,104,69,56.5,28.75,6.25,7.75
POA2602,LYNEHAM,3806.25,220.125,418,187.875,340.75,673.375,561.625,502.75,379.75,244.75,176.875,99.875
POA2602,AINSLIE,3806.25,220.125,418,187.875,340.75,673.375,561.625,502.75,379.75,244.75,176.875,99.875
POA2602,DICKSON,3806.25,220.125,418,187.875,340.75,673.375,561.625,502.75,379.75,244.75,176.875,99.875
POA2602,DOWNER,3806.25,220.125,418,187.875,340.75,673.375,561.625,502.75,379.75,244.75,176.875,99.875
POA2602,O'CONNOR,3806.25,220.125,418,187.875,340.75,673.375,561.625,502.75,379.75,244.75,176.875,99.875
POA2602,HACKETT,3806.25,220.125,418,187.875,340.75,673.375,561.625,502.75,379.75,244.75,176.875,99.875
POA2602,CURTIN,3806.25,220.125,418,187.875,340.75,673.375,561.625,502.75,379.75,244.75,176.875,99.875
POA2602,WATSON,3806.25,220.125,418,187.875,340.75,673.375,561.625,502.75,379.75,244.75,176.875,99.875
POA2603,GRIFFITH,3119.666667,131.3333333,364,190.3333333,174.6666667,457,385,490,401.3333333,283,135.3333333,105
POA2603,FORREST,3119.666667,131.3333333,364,190.3333333,174.6666667,457,385,490,401.3333333,283,135.3333333,105
POA2603,RED HILL,3119.666667,131.3333333,364,190.3333333,174.6666667,457,385,490,401.3333333,283,135.3333333,105
POA2604,KINGSTON,2355.5,131,232.75,110.75,150.25,518.75,349.75,288,217.75,184.5,129,44.25
POA2604,NARRABUNDAH,2355.5,131,232.75,110.75,150.25,518.75,349.75,288,217.75,184.5,129,44.25
POA2605,GARRAN,3908.333333,215.3333333,556,221,173.6666667,382,520,584,448.6666667,346.3333333,285.6666667,177.3333333
POA2605,HUGHES,3908.333333,215.3333333,556,221,173.6666667,382,520,584,448.6666667,346.3333333,285.6666667,177.3333333
POA2605,FARRER,3908.333333,215.3333333,556,221,173.6666667,382,520,584,448.6666667,346.3333333,285.6666667,177.3333333
POA2606,O'MALLEY,2355.5,131,232.75,110.75,150.25,518.75,349.75,288,217.75,184.5,129,44.25
POA2606,PHILLIP,2355.5,131,232.75,110.75,150.25,518.75,349.75,288,217.75,184.5,129,44.25
POA2606,LYONS,2355.5,131,232.75,110.75,150.25,518.75,349.75,288,217.75,184.5,129,44.25
POA2606,CHIFLEY,2355.5,131,232.75,110.75,150.25,518.75,349.75,288,217.75,184.5,129,44.25
