POA_CODE_2016,P_Neg_Nil_income_Tot,P_1_149_Tot,P_150_299_Tot,P_300_399_Tot,P_400_499_Tot,P_500_649_Tot,P_650_799_Tot,P_800_999_Tot,P_1000_1249_Tot,P_1250_1499_Tot,P_1500_1749_Tot,P_1750_1999_Tot,P_2000_2999_Tot,P_3000_more_Tot
POA2600,448,222,222,194,207,237,223,292,494,501,474,411,903,947
POA2601,1534,539,731,376,332,372,165,181,262,249,227,160,362,224
POA2602,1691,940,1393,1492,1584,1615,1427,1651,2040,1899,1974,1358,3056,1347
POA2603,607,270,259,280,311,316,279,368,576,565,625,479,1005,1121
POA2604,526,242,333,328,360,361,328,482,663,804,845,580,1379,736
POA2605,676,403,407,398,525,479,488,591,725,629,663,503,1245,870
POA2606,612,231,326,401,436,457,525,584,756,716,638,411,799,397
POA2607,849,499,570,541,607,651,687,897,1006,853,825,597,1368,700
POA2609,35,14,46,81,69,53,64,73,48,39,32,20,28,20
POA2611,1389,839,1033,1073,1172,1208,1294,1621,1969,1893,1901,1366,2753,1118
POA2612,1002,464,705,616,692,895,835,1027,1356,1223,1212,755,1585,862
POA2614,1160,678,816,889,908,971,974,1215,1387,1192,1150,881,1816,736
POA2615,2631,1438,1884,1998,2014,2114,2368,2832,3654,3097,2878,1874,3095,734
POA2617,2697,1081,1577,1488,1573,1754,1807,1995,2558,2252,1991,1373,2503,851
POA2618,61,52,70,68,54,81,68,92,105,69,76,58,90,100
POA2900,136,37,79,95,74,98,122,129,172,166,132,85,173,75
POA2902,861,513,658,694,740,732,812,1005,1108,989,870,586,1191,426
POA2903,522,364,402,413,435,496,482,618,698,612,585,416,738,240
POA2904,768,468,502,469,527,585,702,834,977,902,844,606,1244,470
POA2905,1790,910,1113,1185,1297,1398,1606,2051,2383,2084,1949,1193,2062,532
POA2906,1119,562,717,744,721,794,933,1197,1422,1339,1223,679,1432,337
POA2911,330,84,109,87,84,108,187,256,380,341,370,245,478,164
POA2912,638,165,242,215,203,269,365,390,466,382,336,239,513,147
POA2913,2595,1116,1313,1243,1195,1430,1676,2173,2677,2546,2344,1548,2912,1043
POA2914,1939,733,734,605,646,803,1011,1361,1702,1651,1611,1171,2434,803
