POA_CODE_2016,Suburb,Population,P_Neg_Nil_income_Tot,P_1_149_Tot,P_150_299_Tot,P_300_399_Tot,P_400_499_Tot,P_500_649_Tot,P_650_799_Tot,P_800_999_Tot,P_1000_1249_Tot,P_1250_1499_Tot,P_1500_1749_Tot,P_1750_1999_Tot,P_2000_2999_Tot,P_3000_more_Tot
POA2600,YARRALUMLA,1207.833333,74.66666667,37,37,32.33333333,34.5,39.5,37.16666667,48.66666667,82.33333333,83.5,79,68.5,150.5,157.8333333
POA2600,CAPITAL HILL,1207.833333,74.66666667,37,37,32.33333333,34.5,39.5,37.16666667,48.66666667,82.33333333,83.5,79,68.5,150.5,157.8333333
POA2600,DEAKIN,1207.833333,74.66666667,37,37,32.33333333,34.5,39.5,37.16666667,48.66666667,82.33333333,83.5,79,68.5,150.5,157.8333333
POA2600,BARTON,1207.833333,74.66666667,37,37,32.33333333,34.5,39.5,37.16666667,48.66666667,82.33333333,83.5,79,68.5,150.5,157.8333333
POA2600,RUSSELL,1207.833333,74.66666667,37,37,32.33333333,34.5,39.5,37.16666667,48.66666667,82.33333333,83.5,79,68.5,150.5,157.8333333
POA2600,PARKES,1207.833333,74.66666667,37,37,32.33333333,34.5,39.5,37.16666667,48.66666667,82.33333333,83.5,79,68.5,150.5,157.8333333
POA2601,ACTON,1590.75,383.5,134.75,182.75,94,83,93,41.25,45.25,65.5,62.25,56.75,40,90.5,56
POA2601,MOLONGLO,1590.75,383.5,134.75,182.75,94,83,93,41.25,45.25,65.5,62.25,56.75,40,90.5,56
POA2601,CITY,1590.75,383.5,134.75,182.75,94,83,93,41.25,45.25,65.5,62.25,56.75,40,90.5,56
POA2601,SCULLIN,1590.75,383.5,134.75,182.75,94,83,93,41.25,45.25,65.5,62.25,56.75,40,90.5,56
POA2602,LYNEHAM,3806.25,211.375,117.5,174.125,186.5,198,201.875,178.375,206.375,255,237.375,246.75,169.75,382,168.375
POA2602,AINSLIE,3806.25,211.375,117.5,174.125,186.5,198,201.875,178.375,206.375,255,237.375,246.75,169.75,382,168.375
POA2602,DICKSON,3806.25,211.375,117.5,174.125,186.5,198,201.875,178.375,206.375,255,237.375,246.75,169.75,382,168.375
POA2602,DOWNER,3806.25,211.375,117.5,174.125,186.5,198,201.875,178.375,206.375,255,237.375,246.75,169.75,382,168.375
POA2602,O'CONNOR,3806.25,211.375,117.5,174.125,186.5,198,201.875,178.375,206.375,255,237.375,246.75,169.75,382,168.375
POA2602,HACKETT,3806.25,211.375,117.5,174.125,186.5,198,201.875,178.375,206.375,255,237.375,246.75,169.75,382,168.375
POA2602,CURTIN,3806.25,211.375,117.5,174.125,186.5,198,201.875,178.375,206.375,255,237.375,246.75,169.75,382,168.375
POA2602,WATSON,3806.25,211.375,117.5,174.125,186.5,198,201.875,178.375,206.375,255,237.375,246.75,169.75,382,168.375
POA2603,GRIFFITH,3119.666667,202.3333333,90,86.33333333,93.33333333,103.6666667,105.3333333,93,122.6666667,192,188.3333333,208.3333333,159.6666667,335,373.6666667
POA2603,FORREST,3119.666667,202.3333333,90,86.33333333,93.33333333,103.6666667,105.3333333,93,122.6666667,192,188.3333333,208.3333333,159.6666667,335,373.6666667
POA2603,RED HILL,3119.666667,202.3333333,90,86.33333333,93.33333333,103.6666667,105.3333333,93,122.6666667,192,188.3333333,208.3333333,159.6666667,335,373.6666667
POA2604,KINGSTON,2355.5,263,121,166.5,164,180,180.5,164,241,331.5,402,422.5,290,689.5,368
POA2604,NARRABUNDAH,2355.5,263,121,166.5,164,180,180.5,164,241,331.5,402,422.5,290,689.5,368
POA2605,GARRAN,3908.333333,225.3333333,134.3333333,135.6666667,132.6666667,175,159.6666667,162.6666667,197,241.6666667,209.6666667,221,167.6666667,415,290
POA2605,HUGHES,3908.333333,225.3333333,134.3333333,135.6666667,132.6666667,175,159.6666667,162.6666667,197,241.6666667,209.6666667,221,167.6666667,415,290
POA2605,FARRER,3908.333333,225.3333333,134.3333333,135.6666667,132.6666667,175,159.6666667,162.6666667,197,241.6666667,209.6666667,221,167.6666667,415,290
POA2606,O'MALLEY,2355.5,153,57.75,81.5,100.25,109,114.25,131.25,146,189,179,159.5,102.75,199.75,99.25
POA2606,PHILLIP,2355.5,153,57.75,81.5,100.25,109,114.25,131.25,146,189,179,159.5,102.75,199.75,99.25
POA2606,LYONS,2355.5,153,57.75,81.5,100.25,109,114.25,131.25,146,189,179,159.5,102.75,199.75,99.25
POA2606,CHIFLEY,2355.5,153,57.75,81.5,100.25,109,114.25,131.25,146,189,179,159.5,102.75,199.75,99.25
POA2607,TORRENS,3403.5,212.25,124.75,142.5,135.25,151.75,162.75,171.75,224.25,251.5,213.25,206.25,149.25,342,175
POA2607,ISAACS,3403.5,212.25,124.75,142.5,135.25,151.75,162.75,171.75,224.25,251.5,213.25,206.25,149.25,342,175
POA2607,MAWSON,3403.5,212.25,124.75,142.5,135.25,151.75,162.75,171.75,224.25,251.5,213.25,206.25,149.25,342,175
POA2607,PEARCE,3403.5,212.25,124.75,142.5,135.25,151.75,162.75,171.75,224.25,251.5,213.25,206.25,149.25,342,175
POA2609,PIALLIGO,221.75,8.75,3.5,11.5,20.25,17.25,13.25,16,18.25,12,9.75,8,5,7,5
POA2609,FYSHWICK,221.75,8.75,3.5,11.5,20.25,17.25,13.25,16,18.25,12,9.75,8,5,7,5
POA2609,CANBERRA AIRPORT,221.75,8.75,3.5,11.5,20.25,17.25,13.25,16,18.25,12,9.75,8,5,7,5
POA2609,SYMONSTON,221.75,8.75,3.5,11.5,20.25,17.25,13.25,16,18.25,12,9.75,8,5,7,5
POA2611,URIARRA VILLAGE,2334.833333,115.75,69.91666667,86.08333333,89.41666667,97.66666667,100.6666667,107.8333333,135.0833333,164.0833333,157.75,158.4166667,113.8333333,229.4166667,93.16666667
POA2611,DENMAN PROSPECT,2334.833333,115.75,69.91666667,86.08333333,89.41666667,97.66666667,100.6666667,107.8333333,135.0833333,164.0833333,157.75,158.4166667,113.8333333,229.4166667,93.16666667
POA2611,WRIGHT,2334.833333,115.75,69.91666667,86.08333333,89.41666667,97.66666667,100.6666667,107.8333333,135.0833333,164.0833333,157.75,158.4166667,113.8333333,229.4166667,93.16666667
POA2611,DUFFY,2334.833333,115.75,69.91666667,86.08333333,89.41666667,97.66666667,100.6666667,107.8333333,135.0833333,164.0833333,157.75,158.4166667,113.8333333,229.4166667,93.16666667
